"基金名稱","亞洲債券基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2013/01/01","106.78"	
"2013/01/02","106.87"	
"2013/01/03","106.97"	
"2013/01/04","106.37"	
"2013/01/05","106.37"	
"2013/01/06","106.37"	
"2013/01/07","106.56"	
"2013/01/08","106.65"	
"2013/01/09","106.75"	
"2013/01/10","106.93"	
"2013/01/11","106.93"	
"2013/01/12","106.93"	
"2013/01/13","106.93"	
"2013/01/14","107.01"	
"2013/01/15","107.2"	
"2013/01/16","107.29"	
"2013/01/17","107.29"	
"2013/01/18","106.92"	
"2013/01/19","106.92"	
"2013/01/20","106.92"	
"2013/01/21","106.91"	
"2013/01/22","106.91"	
"2013/01/23","106.9"	
"2013/01/24","106.81"	
"2013/01/25","106.61"	
"2013/01/26","106.61"	
"2013/01/27","106.61"	
"2013/01/28","106.04"	
"2013/01/29","106.13"	
"2013/01/30","105.85"	
"2013/01/31","105.85"	
"2013/02/01","105.65"	
"2013/02/02","105.65"	
"2013/02/03","105.65"	
"2013/02/04","105.75"	
"2013/02/05","105.84"	
"2013/02/06","105.74"	
"2013/02/07","105.74"	
"2013/02/08","105.83"	
"2013/02/09","105.83"	
"2013/02/10","105.83"	
"2013/02/11","105.83"	
"2013/02/12","105.83"	
"2013/02/13","105.83"	
"2013/02/14","105.82"	
"2013/02/15","105.91"	
"2013/02/16","105.91"	
"2013/02/17","105.91"	
"2013/02/18","105.81"	
"2013/02/19","105.81"	
"2013/02/20","105.71"	
"2013/02/21","105.61"	
"2013/02/22","105.8"	
"2013/02/23","105.8"	
"2013/02/24","105.8"	
"2013/02/25","105.89"	
"2013/02/26","105.89"	
"2013/02/27","106.07"	
"2013/02/28","106.17"	
"2013/03/01","106.07"	
"2013/03/02","106.07"	
"2013/03/03","106.07"	
"2013/03/04","105.88"	
"2013/03/05","105.97"	
"2013/03/06","105.97"	
"2013/03/07","105.87"	
"2013/03/08","105.59"	
"2013/03/09","105.59"	
"2013/03/10","105.59"	
"2013/03/11","105.49"	
"2013/03/12","105.58"	
"2013/03/13","105.67"	
"2013/03/14","105.57"	
"2013/03/15","105.67"	
"2013/03/16","105.67"	
"2013/03/17","105.67"	
"2013/03/18","105.85"	
"2013/03/19","105.85"	
"2013/03/20","105.94"	
"2013/03/21","106.04"	
"2013/03/22","106.13"	
"2013/03/23","106.13"	
"2013/03/24","106.13"	
"2013/03/25","106.12"	
"2013/03/26","106.31"	
"2013/03/27","106.21"	
"2013/03/28","106.49"	
"2013/03/29","106.49"	
"2013/03/30","106.49"	
"2013/03/31","106.49"	
"2013/04/01","106.49"	
"2013/04/02","106.58"	
"2013/04/03","106.67"	
"2013/04/04","106.67"	
"2013/04/05","106.85"	
"2013/04/06","106.85"	
"2013/04/07","106.85"	
"2013/04/08","106.85"	
"2013/04/09","107.13"	
"2013/04/10","107.32"	
"2013/04/11","107.41"	
"2013/04/12","107.31"	
"2013/04/13","107.31"	
"2013/04/14","107.31"	
"2013/04/15","107.3"	
"2013/04/16","107.3"	
"2013/04/17","107.3"	
"2013/04/18","107.39"	
"2013/04/19","107.49"	
"2013/04/20","107.49"	
"2013/04/21","107.49"	
"2013/04/22","107.29"	
"2013/04/23","107.29"	
"2013/04/24","107.38"	
"2013/04/25","107.56"	
"2013/04/26","107.56"	
"2013/04/27","107.56"	
"2013/04/28","107.56"	
"2013/04/29","107.83"	
"2013/04/30","107.93"	
"2013/05/01","107.93"	
"2013/05/02","107.73"	
"2013/05/03","107.92"	
"2013/05/04","107.92"	
"2013/05/05","107.92"	
"2013/05/06","107.82"	
"2013/05/07","107.63"	
"2013/05/08","107.81"	
"2013/05/09","107.81"	
"2013/05/10","106.97"	
"2013/05/11","106.97"	
"2013/05/12","106.97"	
"2013/05/13","106.68"	
"2013/05/14","106.68"	
"2013/05/15","106.39"	
"2013/05/16","106.39"	
"2013/05/17","106.39"	
"2013/05/18","106.39"	
"2013/05/19","106.39"	
"2013/05/20","106.09"	
"2013/05/21","106.0"	
"2013/05/22","105.8"	
"2013/05/23","105.41"	
"2013/05/24","105.31"	
"2013/05/25","105.31"	
"2013/05/26","105.31"	
"2013/05/27","105.31"	
"2013/05/28","104.92"	
"2013/05/29","104.16"	
"2013/05/30","104.54"	
"2013/05/31","104.15"	
"2013/06/01","104.15"	
"2013/06/02","104.15"	
"2013/06/03","104.34"	
"2013/06/04","104.24"	
"2013/06/05","104.24"	
"2013/06/06","104.33"	
"2013/06/07","104.33"	
"2013/06/08","104.33"	
"2013/06/09","104.33"	
"2013/06/10","103.66"	
"2013/06/11","103.08"	
"2013/06/12","103.08"	
"2013/06/13","103.45"	
"2013/06/14","103.93"	
"2013/06/15","103.93"	
"2013/06/16","103.93"	
"2013/06/17","103.64"	
"2013/06/18","103.26"	
"2013/06/19","103.44"	
"2013/06/20","101.45"	
"2013/06/21","101.06"	
"2013/06/22","101.06"	
"2013/06/23","101.06"	
"2013/06/24","100.19"	
"2013/06/25","100.76"	
"2013/06/26","100.85"	
"2013/06/27","101.14"	
"2013/06/28","101.24"	
"2013/06/29","101.24"	
"2013/06/30","101.24"	
"2013/07/01","101.24"	
"2013/07/02","101.23"	
"2013/07/03","100.84"	
"2013/07/04","100.75"	
"2013/07/05","100.27"	
"2013/07/06","100.27"	
"2013/07/07","100.27"	
"2013/07/08","99.79"	
"2013/07/09","100.16"	
"2013/07/10","100.54"	
"2013/07/11","101.01"	
"2013/07/12","101.01"	
"2013/07/13","101.01"	
"2013/07/14","101.01"	
"2013/07/15","101.0"	
"2013/07/16","101.29"	
"2013/07/17","101.19"	
"2013/07/18","101.28"	
"2013/07/19","101.38"	
"2013/07/20","101.38"	
"2013/07/21","101.38"	
"2013/07/22","101.66"	
"2013/07/23","101.65"	
"2013/07/24","101.46"	
"2013/07/25","101.17"	
"2013/07/26","101.36"	
"2013/07/27","101.36"	
"2013/07/28","101.36"	
"2013/07/29","101.26"	
"2013/07/30","100.97"	
"2013/07/31","100.58"	
"2013/08/01","100.49"	
"2013/08/02","100.11"	
"2013/08/03","100.11"	
"2013/08/04","100.11"	
"2013/08/05","100.67"	
"2013/08/06","100.85"	
"2013/08/07","100.85"	
"2013/08/08","101.23"	
"2013/08/09","101.32"	
"2013/08/10","101.32"	
"2013/08/11","101.32"	
"2013/08/12","101.32"	
"2013/08/13","100.75"	
"2013/08/14","100.75"	
"2013/08/15","100.38"	
"2013/08/16","100.56"	
"2013/08/17","100.56"	
"2013/08/18","100.56"	
"2013/08/19","100.0"	
"2013/08/20","99.9"	
"2013/08/21","99.71"	
"2013/08/22","99.14"	
"2013/08/23","99.33"	
"2013/08/24","99.33"	
"2013/08/25","99.33"	
"2013/08/26","99.62"	
"2013/08/27","99.52"	
"2013/08/28","99.52"	
"2013/08/29","99.62"	
"2013/08/30","99.71"	
"2013/08/31","99.71"	
"2013/09/01","99.71"	
"2013/09/02","99.8"	
"2013/09/03","99.8"	
"2013/09/04","99.99"	
"2013/09/05","99.52"	
"2013/09/06","99.61"	
"2013/09/07","99.61"	
"2013/09/08","99.61"	
"2013/09/09","100.08"	
"2013/09/10","100.27"	
"2013/09/11","100.37"	
"2013/09/12","100.65"	
"2013/09/13","100.46"	
"2013/09/14","100.46"	
"2013/09/15","100.46"	
"2013/09/16","101.12"	
"2013/09/17","101.21"	
"2013/09/18","101.21"	
"2013/09/19","102.44"	
"2013/09/20","102.44"	
"2013/09/21","102.44"	
"2013/09/22","102.44"	
"2013/09/23","102.16"	
"2013/09/24","102.16"	
"2013/09/25","102.06"	
