"基金名稱","亞歐基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","173.43"	
"2020/01/02","175.18"	
"2020/01/03","173.25"	
"2020/01/04","173.25"	
"2020/01/05","173.25"	
"2020/01/06","173.41"	
"2020/01/07","173.06"	
"2020/01/08","173.26"	
"2020/01/09","174.19"	
"2020/01/10","173.58"	
"2020/01/11","173.58"	
"2020/01/12","173.58"	
"2020/01/13","174.8"	
"2020/01/14","174.83"	
"2020/01/15","174.75"	
"2020/01/16","175.28"	
"2020/01/17","175.94"	
"2020/01/18","175.94"	
"2020/01/19","175.94"	
"2020/01/20","175.6"	
"2020/01/21","173.54"	
"2020/01/22","174.31"	
"2020/01/23","173.29"	
"2020/01/24","172.81"	
"2020/01/25","172.81"	
"2020/01/26","172.81"	
"2020/01/27","172.81"	
"2020/01/28","172.81"	
"2020/01/29","170.25"	
"2020/01/30","169.24"	
"2020/01/31","166.76"	
"2020/02/01","166.76"	
"2020/02/02","166.76"	
"2020/02/03","167.05"	
"2020/02/04","169.75"	
"2020/02/05","171.12"	
"2020/02/06","172.42"	
"2020/02/07","170.89"	
"2020/02/08","170.89"	
"2020/02/09","170.89"	
"2020/02/10","171.03"	
"2020/02/11","172.37"	
"2020/02/12","173.28"	
"2020/02/13","172.19"	
"2020/02/14","171.99"	
"2020/02/15","171.99"	
"2020/02/16","171.99"	
"2020/02/17","172.16"	
"2020/02/18","170.74"	
"2020/02/19","171.42"	
"2020/02/20","170.57"	
"2020/02/21","169.8"	
"2020/02/22","169.8"	
"2020/02/23","169.8"	
"2020/02/24","163.86"	
"2020/02/25","161.71"	
"2020/02/26","161.71"	
"2020/02/27","158.24"	
"2020/02/28","156.62"	
"2020/02/29","156.62"	
"2020/03/01","156.62"	
"2020/03/02","158.21"	
"2020/03/03","157.16"	
"2020/03/04","160.62"	
"2020/03/05","157.92"	
"2020/03/06","155.38"	
"2020/03/07","155.38"	
"2020/03/08","155.38"	
"2020/03/09","144.55"	
"2020/03/10","149.03"	
"2020/03/11","142.9"	
"2020/03/12","129.59"	
"2020/03/13","135.11"	
"2020/03/14","135.11"	
"2020/03/15","135.11"	
"2020/03/16","123.25"	
"2020/03/17","127.95"	
"2020/03/18","121.09"	
"2020/03/19","121.71"	
"2020/03/20","121.86"	
"2020/03/21","121.86"	
"2020/03/22","121.86"	
"2020/03/23","119.38"	
"2020/03/24","128.5"	
"2020/03/25","132.69"	
"2020/03/26","137.04"	
"2020/03/27","134.14"	
"2020/03/28","134.14"	
"2020/03/29","134.14"	
"2020/03/30","135.83"	
"2020/03/31","135.46"	
"2020/04/01","130.08"	
"2020/04/02","132.3"	
"2020/04/03","129.9"	
"2020/04/04","129.9"	
"2020/04/05","129.9"	
"2020/04/06","135.85"	
"2020/04/07","137.12"	
"2020/04/08","137.6"	
"2020/04/09","140.41"	
"2020/04/10","140.41"	
"2020/04/11","140.41"	
"2020/04/12","140.41"	
"2020/04/13","140.41"	
"2020/04/14","141.52"	
"2020/04/15","137.56"	
"2020/04/16","137.55"	
"2020/04/17","140.76"	
"2020/04/18","140.76"	
"2020/04/19","140.76"	
"2020/04/20","139.18"	
"2020/04/21","136.31"	
"2020/04/22","138.23"	
"2020/04/23","137.96"	
"2020/04/24","139.08"	
"2020/04/25","139.08"	
"2020/04/26","139.08"	
"2020/04/27","141.07"	
"2020/04/28","142.33"	
"2020/04/29","145.11"	
"2020/04/30","145.11"	
"2020/05/01","145.11"	
"2020/05/02","145.11"	
"2020/05/03","145.11"	
"2020/05/04","139.05"	
"2020/05/05","139.57"	
"2020/05/06","139.27"	
"2020/05/07","140.65"	
"2020/05/08","142.83"	
"2020/05/09","142.83"	
"2020/05/10","142.83"	
"2020/05/11","143.23"	
"2020/05/12","141.37"	
"2020/05/13","140.39"	
"2020/05/14","138.91"	
"2020/05/15","139.01"	
"2020/05/16","139.01"	
"2020/05/17","139.01"	
"2020/05/18","143.64"	
"2020/05/19","142.58"	
"2020/05/20","144.96"	
"2020/05/21","143.38"	
"2020/05/22","141.51"	
"2020/05/23","141.51"	
"2020/05/24","141.51"	
"2020/05/25","141.46"	
"2020/05/26","145.26"	
"2020/05/27","146.47"	
"2020/05/28","147.39"	
"2020/05/29","146.79"	
"2020/05/30","146.79"	
"2020/05/31","146.79"	
"2020/06/01","150.37"	
"2020/06/02","151.84"	
"2020/06/03","155.25"	
"2020/06/04","154.77"	
"2020/06/05","157.42"	
"2020/06/06","157.42"	
"2020/06/07","157.42"	
"2020/06/08","159.04"	
"2020/06/09","157.77"	
"2020/06/10","157.52"	
"2020/06/11","150.05"	
"2020/06/12","151.89"	
"2020/06/13","151.89"	
"2020/06/14","151.89"	
"2020/06/15","151.25"	
"2020/06/16","153.47"	
"2020/06/17","154.05"	
"2020/06/18","153.37"	
"2020/06/19","153.0"	
"2020/06/20","153.0"	
"2020/06/21","153.0"	
"2020/06/22","154.36"	
"2020/06/23","155.48"	
"2020/06/24","152.18"	
"2020/06/25","152.18"	
"2020/06/26","151.82"	
"2020/06/27","151.82"	
"2020/06/28","151.82"	
"2020/06/29","152.48"	
"2020/06/30","152.44"	
"2020/07/01","152.44"	
"2020/07/02","155.22"	
"2020/07/03","155.49"	
"2020/07/04","155.49"	
"2020/07/05","155.49"	
"2020/07/06","158.75"	
"2020/07/07","156.56"	
"2020/07/08","157.71"	
"2020/07/09","156.48"	
"2020/07/10","157.11"	
"2020/07/11","157.11"	
"2020/07/12","157.11"	
"2020/07/13","156.49"	
"2020/07/14","157.88"	
"2020/07/15","159.32"	
"2020/07/16","157.87"	
"2020/07/17","158.78"	
"2020/07/18","158.78"	
"2020/07/19","158.78"	
"2020/07/20","159.29"	
"2020/07/21","160.23"	
"2020/07/22","159.8"	
"2020/07/23","159.07"	
"2020/07/24","157.68"	
"2020/07/25","157.68"	
"2020/07/26","157.68"	
"2020/07/27","159.32"	
"2020/07/28","158.62"	
"2020/07/29","160.02"	
"2020/07/30","157.9"	
"2020/07/31","155.12"	
"2020/08/01","155.12"	
"2020/08/02","155.12"	
"2020/08/03","157.34"	
"2020/08/04","158.66"	
"2020/08/05","159.31"	
"2020/08/06","159.19"	
"2020/08/07","158.14"	
"2020/08/08","158.14"	
"2020/08/09","158.14"	
"2020/08/10","158.44"	
"2020/08/11","159.48"	
"2020/08/12","162.69"	
"2020/08/13","162.14"	
"2020/08/14","161.25"	
"2020/08/15","161.25"	
"2020/08/16","161.25"	
"2020/08/17","162.43"	
"2020/08/18","162.38"	
"2020/08/19","161.62"	
"2020/08/20","160.64"	
"2020/08/21","160.41"	
"2020/08/22","160.41"	
"2020/08/23","160.41"	
"2020/08/24","162.6"	
"2020/08/25","162.62"	
"2020/08/26","163.32"	
"2020/08/27","161.79"	
"2020/08/28","162.9"	
"2020/08/29","162.9"	
"2020/08/30","162.9"	
"2020/08/31","161.55"	
"2020/09/01","161.74"	
"2020/09/02","163.38"	
"2020/09/03","160.3"	
"2020/09/04","160.23"	
"2020/09/05","160.23"	
"2020/09/06","160.23"	
"2020/09/07","160.12"	
"2020/09/08","158.47"	
"2020/09/09","160.66"	
"2020/09/10","159.02"	
"2020/09/11","160.43"	
"2020/09/12","160.43"	
"2020/09/13","160.43"	
"2020/09/14","161.29"	
"2020/09/15","162.27"	
"2020/09/16","162.22"	
"2020/09/17","161.94"	
"2020/09/18","161.03"	
"2020/09/19","161.03"	
"2020/09/20","161.03"	
"2020/09/21","157.09"	
"2020/09/22","156.78"	
"2020/09/23","155.74"	
"2020/09/24","155.12"	
