"基金名稱","美洲基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2016/01/01","142.37"	
"2016/01/02","142.37"	
"2016/01/03","142.37"	
"2016/01/04","140.2"	
"2016/01/05","140.55"	
"2016/01/06","138.57"	
"2016/01/07","135.03"	
"2016/01/08","133.62"	
"2016/01/09","133.62"	
"2016/01/10","133.62"	
"2016/01/11","133.73"	
"2016/01/12","134.69"	
"2016/01/13","131.62"	
"2016/01/14","133.88"	
"2016/01/15","131.02"	
"2016/01/16","131.02"	
"2016/01/17","131.02"	
"2016/01/18","131.07"	
"2016/01/19","131.19"	
"2016/01/20","129.76"	
"2016/01/21","130.11"	
"2016/01/22","132.84"	
"2016/01/23","132.84"	
"2016/01/24","132.84"	
"2016/01/25","130.62"	
"2016/01/26","132.62"	
"2016/01/27","131.43"	
"2016/01/28","132.36"	
"2016/01/29","135.96"	
"2016/01/30","135.96"	
"2016/01/31","135.96"	
"2016/02/01","135.9"	
"2016/02/02","132.83"	
"2016/02/03","134.35"	
"2016/02/04","134.93"	
"2016/02/05","132.35"	
"2016/02/06","132.35"	
"2016/02/07","132.35"	
"2016/02/08","132.35"	
"2016/02/09","132.35"	
"2016/02/10","132.35"	
"2016/02/11","128.21"	
"2016/02/12","130.93"	
"2016/02/13","130.93"	
"2016/02/14","130.93"	
"2016/02/15","130.88"	
"2016/02/16","132.95"	
"2016/02/17","135.5"	
"2016/02/18","134.7"	
"2016/02/19","134.62"	
"2016/02/20","134.62"	
"2016/02/21","134.62"	
"2016/02/22","136.95"	
"2016/02/23","134.98"	
"2016/02/24","135.53"	
"2016/02/25","136.94"	
"2016/02/26","136.45"	
"2016/02/27","136.45"	
"2016/02/28","136.45"	
"2016/02/29","135.83"	
"2016/03/01","139.42"	
"2016/03/02","140.42"	
"2016/03/03","141.72"	
"2016/03/04","142.82"	
"2016/03/05","142.82"	
"2016/03/06","142.82"	
"2016/03/07","142.93"	
"2016/03/08","141.22"	
"2016/03/09","142.01"	
"2016/03/10","142.32"	
"2016/03/11","144.62"	
"2016/03/12","144.62"	
"2016/03/13","144.62"	
"2016/03/14","144.03"	
"2016/03/15","142.87"	
"2016/03/16","144.11"	
"2016/03/17","146.22"	
"2016/03/18","146.7"	
"2016/03/19","146.7"	
"2016/03/20","146.7"	
"2016/03/21","146.95"	
"2016/03/22","146.82"	
"2016/03/23","145.12"	
"2016/03/24","144.99"	
"2016/03/25","144.99"	
"2016/03/26","144.99"	
"2016/03/27","144.99"	
"2016/03/28","144.99"	
"2016/03/29","147.07"	
"2016/03/30","147.71"	
"2016/03/31","147.16"	
"2016/04/01","148.16"	
"2016/04/02","148.16"	
"2016/04/03","148.16"	
"2016/04/04","148.16"	
"2016/04/05","145.5"	
"2016/04/06","146.71"	
"2016/04/07","144.82"	
"2016/04/08","146.04"	
"2016/04/09","146.04"	
"2016/04/10","146.04"	
"2016/04/11","146.16"	
"2016/04/12","148.06"	
"2016/04/13","149.8"	
"2016/04/14","149.53"	
"2016/04/15","149.27"	
"2016/04/16","149.27"	
"2016/04/17","149.27"	
"2016/04/18","149.87"	
"2016/04/19","151.03"	
"2016/04/20","151.06"	
"2016/04/21","150.09"	
"2016/04/22","149.98"	
"2016/04/23","149.98"	
"2016/04/24","149.98"	
"2016/04/25","149.42"	
"2016/04/26","150.17"	
"2016/04/27","150.99"	
"2016/04/28","149.82"	
"2016/04/29","149.36"	
"2016/04/30","149.36"	
"2016/05/01","149.36"	
"2016/05/02","149.36"	
"2016/05/03","147.92"	
"2016/05/04","147.22"	
"2016/05/05","146.9"	
"2016/05/06","147.57"	
"2016/05/07","147.57"	
"2016/05/08","147.57"	
"2016/05/09","147.15"	
"2016/05/10","149.61"	
"2016/05/11","148.43"	
"2016/05/12","148.45"	
"2016/05/13","146.53"	
"2016/05/14","146.53"	
"2016/05/15","146.53"	
"2016/05/16","148.01"	
"2016/05/17","146.64"	
"2016/05/18","146.09"	
"2016/05/19","145.42"	
"2016/05/20","146.34"	
"2016/05/21","146.34"	
"2016/05/22","146.34"	
"2016/05/23","145.81"	
"2016/05/24","147.53"	
"2016/05/25","148.47"	
"2016/05/26","148.63"	
"2016/05/27","148.87"	
"2016/05/28","148.87"	
"2016/05/29","148.87"	
"2016/05/30","148.89"	
"2016/05/31","148.23"	
"2016/06/01","148.71"	
"2016/06/02","149.32"	
"2016/06/03","149.48"	
"2016/06/04","149.48"	
"2016/06/05","149.48"	
"2016/06/06","150.17"	
"2016/06/07","150.66"	
"2016/06/08","151.79"	
"2016/06/09","151.79"	
"2016/06/10","149.04"	
"2016/06/11","149.04"	
"2016/06/12","149.04"	
"2016/06/13","147.83"	
"2016/06/14","147.18"	
"2016/06/15","147.25"	
"2016/06/16","147.77"	
"2016/06/17","147.61"	
"2016/06/18","147.61"	
"2016/06/19","147.61"	
"2016/06/20","148.86"	
"2016/06/21","149.03"	
"2016/06/22","148.88"	
"2016/06/23","151.25"	
"2016/06/24","145.44"	
"2016/06/25","145.44"	
"2016/06/26","145.44"	
"2016/06/27","142.56"	
"2016/06/28","145.71"	
"2016/06/29","148.63"	
"2016/06/30","150.67"	
"2016/07/01","150.67"	
"2016/07/02","150.67"	
"2016/07/03","150.67"	
"2016/07/04","151.22"	
"2016/07/05","149.57"	
"2016/07/06","150.14"	
"2016/07/07","149.89"	
"2016/07/08","152.68"	
"2016/07/09","152.68"	
"2016/07/10","152.68"	
"2016/07/11","153.38"	
"2016/07/12","154.59"	
"2016/07/13","154.67"	
"2016/07/14","155.73"	
"2016/07/15","155.47"	
"2016/07/16","155.47"	
"2016/07/17","155.47"	
"2016/07/18","156.26"	
"2016/07/19","156.03"	
"2016/07/20","156.73"	
"2016/07/21","156.02"	
"2016/07/22","156.86"	
"2016/07/23","156.86"	
"2016/07/24","156.86"	
"2016/07/25","156.13"	
"2016/07/26","156.26"	
"2016/07/27","156.06"	
"2016/07/28","155.9"	
"2016/07/29","156.57"	
"2016/07/30","156.57"	
"2016/07/31","156.57"	
"2016/08/01","156.02"	
"2016/08/02","156.02"	
"2016/08/03","155.98"	
"2016/08/04","156.39"	
"2016/08/05","157.67"	
"2016/08/06","157.67"	
"2016/08/07","157.67"	
"2016/08/08","157.74"	
"2016/08/09","158.11"	
"2016/08/10","157.59"	
"2016/08/11","158.79"	
"2016/08/12","158.48"	
"2016/08/13","158.48"	
"2016/08/14","158.48"	
"2016/08/15","159.27"	
"2016/08/16","158.48"	
"2016/08/17","158.61"	
"2016/08/18","158.88"	
"2016/08/19","158.64"	
"2016/08/20","158.64"	
"2016/08/21","158.64"	
"2016/08/22","158.13"	
"2016/08/23","158.16"	
"2016/08/24","157.52"	
"2016/08/25","157.37"	
"2016/08/26","156.78"	
"2016/08/27","156.78"	
"2016/08/28","156.78"	
"2016/08/29","157.88"	
"2016/08/30","157.49"	
"2016/08/31","156.89"	
"2016/09/01","157.0"	
"2016/09/02","158.1"	
"2016/09/03","158.1"	
"2016/09/04","158.1"	
"2016/09/05","158.08"	
"2016/09/06","158.95"	
"2016/09/07","158.78"	
"2016/09/08","158.36"	
"2016/09/09","154.0"	
"2016/09/10","154.0"	
"2016/09/11","154.0"	
"2016/09/12","156.28"	
"2016/09/13","153.28"	
"2016/09/14","153.15"	
"2016/09/15","154.82"	
"2016/09/16","154.82"	
"2016/09/17","154.82"	
"2016/09/18","154.82"	
"2016/09/19","154.11"	
"2016/09/20","154.35"	
"2016/09/21","156.6"	
"2016/09/22","157.77"	
"2016/09/23","156.59"	
"2016/09/24","156.59"	
