"基金名稱","香港股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2006/01/01","160.25"	
"2006/01/02","160.25"	
"2006/01/03","161.31"	
"2006/01/04","163.87"	
"2006/01/05","164.66"	
"2006/01/06","165.65"	
"2006/01/07","165.65"	
"2006/01/08","165.65"	
"2006/01/09","167.51"	
"2006/01/10","167.4"	
"2006/01/11","167.39"	
"2006/01/12","168.27"	
"2006/01/13","169.44"	
"2006/01/14","169.44"	
"2006/01/15","169.44"	
"2006/01/16","170.2"	
"2006/01/17","167.93"	
"2006/01/18","167.13"	
"2006/01/19","169.79"	
"2006/01/20","169.78"	
"2006/01/21","169.78"	
"2006/01/22","169.78"	
"2006/01/23","167.68"	
"2006/01/24","169.36"	
"2006/01/25","169.45"	
"2006/01/26","168.65"	
"2006/01/27","171.21"	
"2006/01/28","171.21"	
"2006/01/29","171.21"	
"2006/01/30","171.21"	
"2006/01/31","171.21"	
"2006/02/01","172.06"	
"2006/02/02","171.46"	
"2006/02/03","168.68"	
"2006/02/04","168.68"	
"2006/02/05","168.68"	
"2006/02/06","170.33"	
"2006/02/07","170.82"	
"2006/02/08","169.13"	
"2006/02/09","169.91"	
"2006/02/10","170.1"	
"2006/02/11","170.1"	
"2006/02/12","170.1"	
"2006/02/13","169.58"	
"2006/02/14","171.25"	
"2006/02/15","171.44"	
"2006/02/16","171.13"	
"2006/02/17","171.22"	
"2006/02/18","171.22"	
"2006/02/19","171.22"	
"2006/02/20","172.87"	
"2006/02/21","172.96"	
"2006/02/22","173.44"	
"2006/02/23","174.81"	
"2006/02/24","174.8"	
"2006/02/25","174.8"	
"2006/02/26","174.8"	
"2006/02/27","175.76"	
"2006/02/28","174.96"	
"2006/03/01","174.66"	
"2006/03/02","176.23"	
"2006/03/03","176.61"	
"2006/03/04","176.61"	
"2006/03/05","176.61"	
"2006/03/06","175.9"	
"2006/03/07","173.02"	
"2006/03/08","170.84"	
"2006/03/09","170.93"	
"2006/03/10","171.02"	
"2006/03/11","171.02"	
"2006/03/12","171.02"	
"2006/03/13","172.76"	
"2006/03/14","172.65"	
"2006/03/15","174.71"	
"2006/03/16","175.29"	
"2006/03/17","176.97"	
"2006/03/18","176.97"	
"2006/03/19","176.97"	
"2006/03/20","177.74"	
"2006/03/21","177.92"	
"2006/03/22","175.56"	
