"基金名稱","基金經理精選退休基金"	
"貨幣","HKD"	
"成立日期","2008/08/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","113.67"	
"2010/01/02","113.67"	
"2010/01/03","113.67"	
"2010/01/04","114.6"	
"2010/01/05","115.89"	
"2010/01/06","116.07"	
"2010/01/07","115.73"	
"2010/01/08","115.86"	
"2010/01/09","115.86"	
"2010/01/10","115.86"	
"2010/01/11","116.7"	
"2010/01/12","116.31"	
"2010/01/13","115.1"	
"2010/01/14","115.61"	
"2010/01/15","115.14"	
"2010/01/16","115.14"	
"2010/01/17","115.14"	
"2010/01/18","114.76"	
"2010/01/19","115.39"	
"2010/01/20","114.01"	
"2010/01/21","112.18"	
"2010/01/22","110.76"	
"2010/01/23","110.76"	
"2010/01/24","110.76"	
"2010/01/25","110.44"	
"2010/01/26","109.17"	
"2010/01/27","108.21"	
"2010/01/28","108.67"	
"2010/01/29","107.73"	
"2010/01/30","107.73"	
"2010/01/31","107.73"	
"2010/02/01","107.97"	
"2010/02/02","108.64"	
"2010/02/03","109.56"	
"2010/02/04","106.87"	
"2010/02/05","105.14"	
"2010/02/06","105.14"	
"2010/02/07","105.14"	
"2010/02/08","104.73"	
"2010/02/09","105.69"	
"2010/02/10","106.2"	
"2010/02/11","107.22"	
"2010/02/12","107.17"	
"2010/02/13","107.17"	
"2010/02/14","107.17"	
"2010/02/15","107.17"	
"2010/02/16","107.17"	
"2010/02/17","108.91"	
"2010/02/18","108.65"	
"2010/02/19","107.29"	
"2010/02/20","107.29"	
"2010/02/21","107.29"	
"2010/02/22","108.94"	
"2010/02/23","109.03"	
"2010/02/24","108.51"	
"2010/02/25","107.85"	
"2010/02/26","108.58"	
"2010/02/27","108.58"	
"2010/02/28","108.58"	
"2010/03/01","109.92"	
"2010/03/02","110.21"	
"2010/03/03","110.58"	
"2010/03/04","110.08"	
"2010/03/05","111.06"	
"2010/03/06","111.06"	
"2010/03/07","111.06"	
"2010/03/08","112.42"	
"2010/03/09","112.48"	
"2010/03/10","112.72"	
"2010/03/11","112.85"	
"2010/03/12","112.92"	
"2010/03/13","112.92"	
"2010/03/14","112.92"	
"2010/03/15","112.32"	
"2010/03/16","112.57"	
"2010/03/17","114.17"	
"2010/03/18","113.89"	
"2010/03/19","113.91"	
"2010/03/20","113.91"	
"2010/03/21","113.91"	
"2010/03/22","113.02"	
"2010/03/23","113.4"	
"2010/03/24","113.2"	
"2010/03/25","112.59"	
"2010/03/26","113.24"	
"2010/03/27","113.24"	
"2010/03/28","113.24"	
"2010/03/29","114.06"	
"2010/03/30","114.64"	
"2010/03/31","114.03"	
"2010/04/01","115.17"	
"2010/04/02","115.17"	
"2010/04/03","115.17"	
"2010/04/04","115.17"	
"2010/04/05","115.17"	
"2010/04/06","115.17"	
"2010/04/07","116.14"	
"2010/04/08","115.62"	
"2010/04/09","116.37"	
"2010/04/10","116.37"	
"2010/04/11","116.37"	
"2010/04/12","116.62"	
"2010/04/13","116.19"	
"2010/04/14","116.74"	
"2010/04/15","117.22"	
"2010/04/16","116.06"	
"2010/04/17","116.06"	
"2010/04/18","116.06"	
"2010/04/19","114.59"	
"2010/04/20","115.1"	
"2010/04/21","115.36"	
"2010/04/22","114.98"	
"2010/04/23","114.5"	
"2010/04/24","114.5"	
"2010/04/25","114.5"	
"2010/04/26","115.52"	
"2010/04/27","114.17"	
"2010/04/28","113.46"	
"2010/04/29","113.34"	
"2010/04/30","113.86"	
"2010/05/01","113.86"	
"2010/05/02","113.86"	
"2010/05/03","113.47"	
"2010/05/04","112.63"	
"2010/05/05","111.39"	
"2010/05/06","108.46"	
"2010/05/07","108.51"	
"2010/05/08","108.51"	
"2010/05/09","108.51"	
"2010/05/10","110.65"	
"2010/05/11","109.66"	
"2010/05/12","109.85"	
"2010/05/13","110.9"	
"2010/05/14","109.76"	
"2010/05/15","109.76"	
"2010/05/16","109.76"	
"2010/05/17","108.09"	
"2010/05/18","108.17"	
"2010/05/19","107.15"	
"2010/05/20","105.22"	
"2010/05/21","105.22"	
"2010/05/22","105.22"	
"2010/05/23","105.22"	
"2010/05/24","106.12"	
"2010/05/25","103.89"	
"2010/05/26","104.25"	
"2010/05/27","105.88"	
"2010/05/28","106.82"	
"2010/05/29","106.82"	
"2010/05/30","106.82"	
"2010/05/31","106.84"	
"2010/06/01","105.95"	
"2010/06/02","105.59"	
"2010/06/03","107.14"	
"2010/06/04","105.62"	
"2010/06/05","105.62"	
"2010/06/06","105.62"	
"2010/06/07","104.51"	
"2010/06/08","104.93"	
"2010/06/09","104.85"	
"2010/06/10","105.9"	
"2010/06/11","106.55"	
"2010/06/12","106.55"	
"2010/06/13","106.55"	
"2010/06/14","107.53"	
"2010/06/15","107.98"	
"2010/06/16","107.98"	
"2010/06/17","108.73"	
"2010/06/18","109.1"	
"2010/06/19","109.1"	
"2010/06/20","109.1"	
"2010/06/21","110.99"	
"2010/06/22","110.19"	
"2010/06/23","109.78"	
"2010/06/24","109.43"	
"2010/06/25","108.79"	
"2010/06/26","108.79"	
"2010/06/27","108.79"	
"2010/06/28","108.82"	
"2010/06/29","107.11"	
"2010/06/30","106.46"	
"2010/07/01","106.46"	
"2010/07/02","105.77"	
"2010/07/03","105.77"	
"2010/07/04","105.77"	
"2010/07/05","105.85"	
"2010/07/06","107.07"	
"2010/07/07","107.64"	
"2010/07/08","108.22"	
"2010/07/09","109.05"	
"2010/07/10","109.05"	
"2010/07/11","109.05"	
"2010/07/12","109.13"	
"2010/07/13","109.31"	
"2010/07/14","110.09"	
"2010/07/15","109.42"	
"2010/07/16","108.71"	
"2010/07/17","108.71"	
"2010/07/18","108.71"	
"2010/07/19","108.46"	
"2010/07/20","109.07"	
"2010/07/21","109.31"	
"2010/07/22","109.75"	
"2010/07/23","110.89"	
"2010/07/24","110.89"	
"2010/07/25","110.89"	
"2010/07/26","111.18"	
"2010/07/27","111.49"	
"2010/07/28","111.82"	
"2010/07/29","111.87"	
"2010/07/30","111.62"	
"2010/07/31","111.62"	
"2010/08/01","111.62"	
"2010/08/02","113.18"	
"2010/08/03","113.5"	
"2010/08/04","113.5"	
"2010/08/05","113.59"	
"2010/08/06","113.91"	
"2010/08/07","113.91"	
"2010/08/08","113.91"	
"2010/08/09","114.38"	
"2010/08/10","113.25"	
"2010/08/11","111.97"	
"2010/08/12","111.18"	
"2010/08/13","111.4"	
"2010/08/14","111.4"	
"2010/08/15","111.4"	
"2010/08/16","111.54"	
"2010/08/17","111.89"	
"2010/08/18","112.03"	
"2010/08/19","112.1"	
"2010/08/20","111.56"	
"2010/08/21","111.56"	
"2010/08/22","111.56"	
"2010/08/23","111.19"	
"2010/08/24","110.42"	
"2010/08/25","110.02"	
"2010/08/26","109.93"	
"2010/08/27","110.26"	
"2010/08/28","110.26"	
"2010/08/29","110.26"	
"2010/08/30","110.65"	
"2010/08/31","110.03"	
"2010/09/01","111.22"	
"2010/09/02","112.14"	
"2010/09/03","112.86"	
"2010/09/04","112.86"	
"2010/09/05","112.86"	
"2010/09/06","113.93"	
"2010/09/07","113.75"	
"2010/09/08","113.09"	
"2010/09/09","113.64"	
"2010/09/10","113.93"	
"2010/09/11","113.93"	
"2010/09/12","113.93"	
"2010/09/13","115.62"	
"2010/09/14","115.98"	
"2010/09/15","116.25"	
"2010/09/16","115.7"	
"2010/09/17","116.56"	
"2010/09/18","116.56"	
"2010/09/19","116.56"	
"2010/09/20","117.07"	
"2010/09/21","117.25"	
"2010/09/22","117.45"	
"2010/09/23","117.45"	
"2010/09/24","117.82"	
"2010/09/25","117.82"	
"2010/09/26","117.82"	
"2010/09/27","118.53"	
"2010/09/28","118.19"	
"2010/09/29","119.03"	
"2010/09/30","118.88"	
"2010/10/01","118.88"	
"2010/10/02","118.88"	
"2010/10/03","118.88"	
"2010/10/04","119.72"	
"2010/10/05","120.21"	
"2010/10/06","121.26"	
"2010/10/07","121.31"	
"2010/10/08","121.42"	
"2010/10/09","121.42"	
"2010/10/10","121.42"	
"2010/10/11","122.05"	
"2010/10/12","121.57"	
"2010/10/13","122.73"	
"2010/10/14","124.09"	
"2010/10/15","123.63"	
"2010/10/16","123.63"	
"2010/10/17","123.63"	
"2010/10/18","122.88"	
"2010/10/19","122.87"	
"2010/10/20","122.69"	
"2010/10/21","123.14"	
"2010/10/22","123.12"	
"2010/10/23","123.12"	
