"基金名稱","強積金保守基金"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","112.45"	
"2019/01/02","112.45"	
"2019/01/03","112.45"	
"2019/01/04","112.45"	
"2019/01/05","112.45"	
"2019/01/06","112.45"	
"2019/01/07","112.45"	
"2019/01/08","112.45"	
"2019/01/09","112.45"	
"2019/01/10","112.45"	
"2019/01/11","112.45"	
"2019/01/12","112.45"	
"2019/01/13","112.45"	
"2019/01/14","112.45"	
"2019/01/15","112.45"	
"2019/01/16","112.45"	
"2019/01/17","112.45"	
"2019/01/18","112.45"	
"2019/01/19","112.45"	
"2019/01/20","112.45"	
"2019/01/21","112.51"	
"2019/01/22","112.51"	
"2019/01/23","112.51"	
"2019/01/24","112.51"	
"2019/01/25","112.51"	
"2019/01/26","112.51"	
"2019/01/27","112.51"	
"2019/01/28","112.51"	
"2019/01/29","112.51"	
"2019/01/30","112.61"	
"2019/01/31","112.61"	
"2019/02/01","112.61"	
"2019/02/02","112.61"	
"2019/02/03","112.61"	
"2019/02/04","112.61"	
"2019/02/05","112.61"	
"2019/02/06","112.61"	
"2019/02/07","112.61"	
"2019/02/08","112.61"	
"2019/02/09","112.61"	
"2019/02/10","112.61"	
"2019/02/11","112.61"	
"2019/02/12","112.61"	
"2019/02/13","112.61"	
"2019/02/14","112.61"	
"2019/02/15","112.61"	
"2019/02/16","112.61"	
"2019/02/17","112.61"	
"2019/02/18","112.61"	
"2019/02/19","112.61"	
"2019/02/20","112.61"	
"2019/02/21","112.61"	
"2019/02/22","112.61"	
"2019/02/23","112.61"	
"2019/02/24","112.61"	
"2019/02/25","112.68"	
"2019/02/26","112.68"	
"2019/02/27","112.68"	
"2019/02/28","112.68"	
"2019/03/01","112.68"	
"2019/03/02","112.68"	
"2019/03/03","112.68"	
"2019/03/04","112.68"	
"2019/03/05","112.68"	
"2019/03/06","112.69"	
"2019/03/07","112.69"	
"2019/03/08","112.69"	
"2019/03/09","112.69"	
"2019/03/10","112.69"	
"2019/03/11","112.69"	
"2019/03/12","112.69"	
"2019/03/13","112.69"	
"2019/03/14","112.69"	
"2019/03/15","112.69"	
"2019/03/16","112.69"	
"2019/03/17","112.69"	
"2019/03/18","112.69"	
"2019/03/19","112.69"	
"2019/03/20","112.69"	
"2019/03/21","112.75"	
"2019/03/22","112.75"	
"2019/03/23","112.75"	
"2019/03/24","112.75"	
"2019/03/25","112.75"	
"2019/03/26","112.75"	
"2019/03/27","112.75"	
"2019/03/28","112.75"	
"2019/03/29","112.75"	
"2019/03/30","112.75"	
"2019/03/31","112.75"	
"2019/04/01","112.75"	
"2019/04/02","112.75"	
"2019/04/03","112.75"	
"2019/04/04","112.75"	
"2019/04/05","112.75"	
"2019/04/06","112.75"	
"2019/04/07","112.75"	
"2019/04/08","112.75"	
"2019/04/09","112.75"	
"2019/04/10","112.75"	
"2019/04/11","112.75"	
"2019/04/12","112.75"	
"2019/04/13","112.75"	
"2019/04/14","112.75"	
"2019/04/15","112.76"	
"2019/04/16","112.8"	
"2019/04/17","112.8"	
"2019/04/18","112.8"	
