"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","109.58"	
"2014/01/02","109.19"	
"2014/01/03","109.0"	
"2014/01/04","109.0"	
"2014/01/05","109.0"	
"2014/01/06","108.89"	
"2014/01/07","108.98"	
"2014/01/08","109.16"	
"2014/01/09","108.96"	
"2014/01/10","109.44"	
"2014/01/11","109.44"	
"2014/01/12","109.44"	
"2014/01/13","109.52"	
"2014/01/14","109.42"	
"2014/01/15","109.41"	
"2014/01/16","109.5"	
"2014/01/17","109.5"	
"2014/01/18","109.5"	
"2014/01/19","109.5"	
"2014/01/20","109.48"	
"2014/01/21","109.57"	
"2014/01/22","109.66"	
"2014/01/23","109.66"	
"2014/01/24","109.17"	
"2014/01/25","109.17"	
"2014/01/26","109.17"	
"2014/01/27","108.58"	
"2014/01/28","108.68"	
"2014/01/29","108.96"	
"2014/01/30","108.67"	
"2014/01/31","108.67"	
"2014/02/01","108.67"	
"2014/02/02","108.67"	
"2014/02/03","108.67"	
"2014/02/04","107.68"	
"2014/02/05","107.77"	
"2014/02/06","108.05"	
"2014/02/07","108.62"	
"2014/02/08","108.62"	
"2014/02/09","108.62"	
"2014/02/10","108.7"	
"2014/02/11","109.07"	
"2014/02/12","109.16"	
"2014/02/13","109.34"	
"2014/02/14","109.53"	
"2014/02/15","109.53"	
"2014/02/16","109.53"	
"2014/02/17","109.8"	
"2014/02/18","110.18"	
"2014/02/19","110.07"	
"2014/02/20","109.69"	
"2014/02/21","109.97"	
"2014/02/22","109.97"	
"2014/02/23","109.97"	
"2014/02/24","109.95"	
"2014/02/25","110.04"	
"2014/02/26","110.04"	
"2014/02/27","110.41"	
"2014/02/28","110.69"	
"2014/03/01","110.69"	
"2014/03/02","110.69"	
"2014/03/03","110.3"	
"2014/03/04","110.39"	
"2014/03/05","110.48"	
"2014/03/06","110.75"	
"2014/03/07","110.66"	
"2014/03/08","110.66"	
"2014/03/09","110.66"	
"2014/03/10","110.35"	
"2014/03/11","110.35"	
"2014/03/12","110.06"	
"2014/03/13","110.05"	
"2014/03/14","109.77"	
"2014/03/15","109.77"	
"2014/03/16","109.77"	
"2014/03/17","109.85"	
"2014/03/18","110.13"	
"2014/03/19","109.93"	
"2014/03/20","109.16"	
"2014/03/21","109.25"	
"2014/03/22","109.25"	
"2014/03/23","109.25"	
"2014/03/24","109.52"	
"2014/03/25","109.42"	
"2014/03/26","109.7"	
"2014/03/27","109.7"	
"2014/03/28","109.88"	
"2014/03/29","109.88"	
"2014/03/30","109.88"	
"2014/03/31","110.15"	
"2014/04/01","110.43"	
"2014/04/02","110.42"	
"2014/04/03","110.42"	
"2014/04/04","110.41"	
"2014/04/05","110.41"	
"2014/04/06","110.41"	
"2014/04/07","110.11"	
"2014/04/08","110.39"	
"2014/04/09","110.68"	
"2014/04/10","110.86"	
"2014/04/11","110.48"	
"2014/04/12","110.48"	
"2014/04/13","110.48"	
"2014/04/14","110.27"	
"2014/04/15","110.17"	
"2014/04/16","110.45"	
"2014/04/17","110.45"	
"2014/04/18","110.45"	
"2014/04/19","110.45"	
"2014/04/20","110.45"	
"2014/04/21","110.45"	
"2014/04/22","110.51"	
"2014/04/23","110.6"	
"2014/04/24","110.6"	
"2014/04/25","110.5"	
"2014/04/26","110.5"	
"2014/04/27","110.5"	
"2014/04/28","110.29"	
"2014/04/29","110.48"	
"2014/04/30","110.57"	
"2014/05/01","110.57"	
"2014/05/02","110.94"	
"2014/05/03","110.94"	
"2014/05/04","110.94"	
"2014/05/05","110.83"	
"2014/05/06","110.83"	
"2014/05/07","110.72"	
"2014/05/08","110.72"	
"2014/05/09","110.43"	
"2014/05/10","110.43"	
"2014/05/11","110.43"	
"2014/05/12","110.6"	
"2014/05/13","110.78"	
"2014/05/14","111.25"	
"2014/05/15","111.24"	
"2014/05/16","111.05"	
"2014/05/17","111.05"	
"2014/05/18","111.05"	
"2014/05/19","111.03"	
"2014/05/20","110.93"	
"2014/05/21","110.93"	
"2014/05/22","111.21"	
"2014/05/23","111.3"	
"2014/05/24","111.3"	
"2014/05/25","111.3"	
"2014/05/26","111.47"	
"2014/05/27","111.47"	
