"基金名稱","富達穩定增長基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","125.83"	
"2019/01/02","125.18"	
"2019/01/03","125.08"	
"2019/01/04","125.8"	
"2019/01/05","125.8"	
"2019/01/06","125.8"	
"2019/01/07","126.51"	
"2019/01/08","126.59"	
"2019/01/09","127.76"	
"2019/01/10","127.76"	
"2019/01/11","127.93"	
"2019/01/12","127.93"	
"2019/01/13","127.93"	
"2019/01/14","127.55"	
"2019/01/15","128.27"	
"2019/01/16","128.35"	
"2019/01/17","128.25"	
"2019/01/18","128.97"	
"2019/01/19","128.97"	
"2019/01/20","128.97"	
"2019/01/21","129.04"	
"2019/01/22","128.58"	
"2019/01/23","128.58"	
"2019/01/24","128.84"	
"2019/01/25","129.74"	
"2019/01/26","129.74"	
"2019/01/27","129.74"	
"2019/01/28","129.54"	
"2019/01/29","129.45"	
"2019/01/30","129.89"	
"2019/01/31","130.97"	
"2019/02/01","130.96"	
"2019/02/02","130.96"	
"2019/02/03","130.96"	
"2019/02/04","130.94"	
"2019/02/05","130.94"	
"2019/02/06","130.94"	
"2019/02/07","130.94"	
"2019/02/08","130.47"	
"2019/02/09","130.47"	
"2019/02/10","130.47"	
"2019/02/11","130.45"	
"2019/02/12","130.98"	
"2019/02/13","131.52"	
"2019/02/14","131.42"	
"2019/02/15","131.15"	
"2019/02/16","131.15"	
"2019/02/17","131.15"	
"2019/02/18","131.94"	
"2019/02/19","131.93"	
"2019/02/20","132.38"	
"2019/02/21","132.37"	
"2019/02/22","132.81"	
"2019/02/23","132.81"	
"2019/02/24","132.81"	
"2019/02/25","133.34"	
"2019/02/26","133.24"	
"2019/02/27","133.05"	
"2019/02/28","132.6"	
"2019/03/01","132.95"	
"2019/03/02","132.95"	
"2019/03/03","132.95"	
"2019/03/04","133.2"	
"2019/03/05","133.11"	
"2019/03/06","133.28"	
"2019/03/07","132.73"	
"2019/03/08","131.73"	
"2019/03/09","131.73"	
"2019/03/10","131.73"	
"2019/03/11","132.35"	
"2019/03/12","133.15"	
"2019/03/13","133.23"	
"2019/03/14","133.23"	
"2019/03/15","133.76"	
"2019/03/16","133.76"	
"2019/03/17","133.76"	
"2019/03/18","134.46"	
"2019/03/19","134.55"	
"2019/03/20","134.45"	
"2019/03/21","134.53"	
"2019/03/22","134.35"	
"2019/03/23","134.35"	
"2019/03/24","134.35"	
"2019/03/25","133.61"	
"2019/03/26","133.87"	
"2019/03/27","134.23"	
"2019/03/28","134.04"	
"2019/03/29","134.57"	
"2019/03/30","134.57"	
"2019/03/31","134.57"	
"2019/04/01","135.19"	
"2019/04/02","135.27"	
"2019/04/03","135.89"	
"2019/04/04","135.8"	
"2019/04/05","135.8"	
"2019/04/06","135.8"	
"2019/04/07","135.8"	
"2019/04/08","136.04"	
"2019/04/09","136.13"	
"2019/04/10","136.21"	
"2019/04/11","135.84"	
"2019/04/12","135.93"	
"2019/04/13","135.93"	
"2019/04/14","135.93"	
"2019/04/15","135.91"	
"2019/04/16","136.17"	
"2019/04/17","136.25"	
"2019/04/18","135.98"	
"2019/04/19","135.98"	
"2019/04/20","135.98"	
"2019/04/21","135.98"	
"2019/04/22","135.98"	
"2019/04/23","136.03"	
"2019/04/24","136.03"	
"2019/04/25","135.57"	
"2019/04/26","135.83"	
"2019/04/27","135.83"	
"2019/04/28","135.83"	
"2019/04/29","135.99"	
"2019/04/30","136.17"	
"2019/05/01","136.17"	
"2019/05/02","135.89"	
"2019/05/03","136.42"	
"2019/05/04","136.42"	
"2019/05/05","136.42"	
"2019/05/06","135.32"	
"2019/05/07","135.04"	
"2019/05/08","134.5"	
"2019/05/09","133.59"	
"2019/05/10","134.04"	
"2019/05/11","134.04"	
"2019/05/12","134.04"	
"2019/05/13","134.04"	
"2019/05/14","133.11"	
"2019/05/15","133.64"	
"2019/05/16","133.91"	
"2019/05/17","133.45"	
"2019/05/18","133.45"	
"2019/05/19","133.45"	
"2019/05/20","132.89"	
"2019/05/21","132.98"	
"2019/05/22","132.97"	
"2019/05/23","132.34"	
"2019/05/24","132.78"	
"2019/05/25","132.78"	
"2019/05/26","132.78"	
"2019/05/27","132.67"	
