"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2008/01/01","228.27"	
"2008/01/02","226.51"	
"2008/01/03","221.47"	
"2008/01/04","225.42"	
"2008/01/05","225.42"	
"2008/01/06","225.42"	
"2008/01/07","220.85"	
"2008/01/08","220.74"	
"2008/01/09","224.3"	
"2008/01/10","222.36"	
"2008/01/11","219.64"	
"2008/01/12","219.64"	
"2008/01/13","219.64"	
"2008/01/14","216.53"	
"2008/01/15","214.49"	
"2008/01/16","204.49"	
"2008/01/17","206.89"	
"2008/01/18","207.84"	
"2008/01/19","207.84"	
"2008/01/20","207.84"	
"2008/01/21","199.42"	
"2008/01/22","183.78"	
"2008/01/23","193.37"	
"2008/01/24","191.22"	
"2008/01/25","201.94"	
"2008/01/26","201.94"	
"2008/01/27","201.94"	
"2008/01/28","195.07"	
"2008/01/29","196.7"	
"2008/01/30","192.72"	
"2008/01/31","192.51"	
"2008/02/01","197.23"	
"2008/02/02","197.23"	
"2008/02/03","197.23"	
"2008/02/04","203.19"	
"2008/02/05","202.79"	
"2008/02/06","195.44"	
"2008/02/07","195.44"	
"2008/02/08","195.44"	
"2008/02/09","195.44"	
"2008/02/10","195.44"	
"2008/02/11","190.66"	
"2008/02/12","192.39"	
"2008/02/13","193.63"	
"2008/02/14","200.07"	
"2008/02/15","202.18"	
"2008/02/16","202.18"	
"2008/02/17","202.18"	
"2008/02/18","200.14"	
"2008/02/19","203.19"	
"2008/02/20","199.53"	
"2008/02/21","201.06"	
"2008/02/22","199.41"	
"2008/02/23","199.41"	
"2008/02/24","199.41"	
"2008/02/25","200.64"	
"2008/02/26","202.17"	
"2008/02/27","206.97"	
"2008/02/28","208.21"	
"2008/02/29","206.66"	
"2008/03/01","206.66"	
"2008/03/02","206.66"	
"2008/03/03","201.07"	
"2008/03/04","198.48"	
"2008/03/05","197.7"	
"2008/03/06","200.48"	
"2008/03/07","195.36"	
"2008/03/08","195.36"	
"2008/03/09","195.36"	
"2008/03/10","191.86"	
"2008/03/11","193.49"	
"2008/03/12","195.6"	
"2008/03/13","187.11"	
"2008/03/14","185.47"	
"2008/03/15","185.47"	
"2008/03/16","185.47"	
"2008/03/17","177.3"	
"2008/03/18","177.19"	
"2008/03/19","181.55"	
"2008/03/20","177.85"	
"2008/03/21","177.85"	
"2008/03/22","177.85"	
"2008/03/23","177.85"	
"2008/03/24","177.85"	
"2008/03/25","189.9"	
"2008/03/26","191.04"	
"2008/03/27","190.65"	
"2008/03/28","194.88"	
"2008/03/29","194.88"	
"2008/03/30","194.88"	
"2008/03/31","192.16"	
"2008/04/01","191.09"	
"2008/04/02","196.76"	
"2008/04/03","198.68"	
"2008/04/04","198.68"	
"2008/04/05","198.68"	
"2008/04/06","198.68"	
"2008/04/07","201.53"	
"2008/04/08","199.88"	
"2008/04/09","197.38"	
"2008/04/10","200.06"	
"2008/04/11","204.0"	
"2008/04/12","204.0"	
"2008/04/13","204.0"	
"2008/04/14","199.83"	
"2008/04/15","200.31"	
"2008/04/16","201.16"	
"2008/04/17","203.07"	
"2008/04/18","202.19"	
"2008/04/19","202.19"	
"2008/04/20","202.19"	
"2008/04/21","204.66"	
"2008/04/22","206.38"	
"2008/04/23","208.67"	
"2008/04/24","211.35"	
"2008/04/25","209.14"	
"2008/04/26","209.14"	
"2008/04/27","209.14"	
"2008/04/28","210.83"	
"2008/04/29","209.76"	
"2008/04/30","209.37"	
"2008/05/01","209.37"	
"2008/05/02","213.02"	
"2008/05/03","213.02"	
"2008/05/04","213.02"	
"2008/05/05","211.92"	
"2008/05/06","212.3"	
"2008/05/07","209.41"	
"2008/05/08","207.76"	
"2008/05/09","205.05"	
"2008/05/10","205.05"	
"2008/05/11","205.05"	
"2008/05/12","205.05"	
"2008/05/13","209.22"	
"2008/05/14","209.11"	
"2008/05/15","210.64"	
"2008/05/16","211.97"	
"2008/05/17","211.97"	
"2008/05/18","211.97"	
"2008/05/19","214.72"	
"2008/05/20","209.34"	
"2008/05/21","209.91"	
"2008/05/22","207.87"	
"2008/05/23","205.27"	
"2008/05/24","205.27"	
"2008/05/25","205.27"	
"2008/05/26","199.96"	
"2008/05/27","201.59"	
"2008/05/28","200.43"	
"2008/05/29","201.18"	
"2008/05/30","201.85"	
"2008/05/31","201.85"	
"2008/06/01","201.85"	
"2008/06/02","204.51"	
"2008/06/03","201.13"	
"2008/06/04","200.16"	
"2008/06/05","201.39"	
"2008/06/06","201.86"	
"2008/06/07","201.86"	
"2008/06/08","201.86"	
"2008/06/09","201.86"	
"2008/06/10","192.78"	
"2008/06/11","190.94"	
"2008/06/12","186.61"	
"2008/06/13","184.12"	
"2008/06/14","184.12"	
"2008/06/15","184.12"	
"2008/06/16","187.43"	
"2008/06/17","188.19"	
"2008/06/18","190.38"	
"2008/06/19","185.77"	
"2008/06/20","184.33"	
"2008/06/21","184.33"	
"2008/06/22","184.33"	
"2008/06/23","183.73"	
"2008/06/24","180.95"	
"2008/06/25","182.95"	
