"基金名稱","綠色退休基金"	
"貨幣","HKD"	
"成立日期","2006/03/31"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","130.05"	
"2014/01/02","128.78"	
"2014/01/03","128.87"	
"2014/01/04","128.87"	
"2014/01/05","128.87"	
"2014/01/06","128.48"	
"2014/01/07","128.67"	
"2014/01/08","128.87"	
"2014/01/09","128.58"	
"2014/01/10","129.35"	
"2014/01/11","129.35"	
"2014/01/12","129.35"	
"2014/01/13","128.66"	
"2014/01/14","129.24"	
"2014/01/15","129.63"	
"2014/01/16","129.83"	
"2014/01/17","129.63"	
"2014/01/18","129.63"	
"2014/01/19","129.63"	
"2014/01/20","129.63"	
"2014/01/21","129.73"	
"2014/01/22","129.82"	
"2014/01/23","129.04"	
"2014/01/24","126.61"	
"2014/01/25","126.61"	
"2014/01/26","126.61"	
"2014/01/27","125.73"	
"2014/01/28","126.22"	
"2014/01/29","125.63"	
"2014/01/30","125.72"	
"2014/01/31","125.72"	
"2014/02/01","125.72"	
"2014/02/02","125.72"	
"2014/02/03","125.72"	
"2014/02/04","122.98"	
"2014/02/05","123.18"	
"2014/02/06","124.74"	
"2014/02/07","126.11"	
"2014/02/08","126.11"	
"2014/02/09","126.11"	
"2014/02/10","126.4"	
"2014/02/11","127.76"	
"2014/02/12","127.95"	
"2014/02/13","128.34"	
"2014/02/14","128.92"	
"2014/02/15","128.92"	
"2014/02/16","128.92"	
"2014/02/17","129.11"	
"2014/02/18","129.4"	
"2014/02/19","129.01"	
"2014/02/20","129.31"	
"2014/02/21","129.5"	
"2014/02/22","129.5"	
"2014/02/23","129.5"	
"2014/02/24","130.08"	
"2014/02/25","130.47"	
"2014/02/26","129.98"	
"2014/02/27","130.26"	
"2014/02/28","130.82"	
"2014/03/01","130.82"	
"2014/03/02","130.82"	
"2014/03/03","129.25"	
"2014/03/04","130.82"	
"2014/03/05","131.01"	
"2014/03/06","131.6"	
"2014/03/07","131.3"	
"2014/03/08","131.3"	
"2014/03/09","131.3"	
"2014/03/10","131.0"	
"2014/03/11","130.71"	
"2014/03/12","130.22"	
"2014/03/13","129.14"	
"2014/03/14","128.46"	
"2014/03/15","128.46"	
"2014/03/16","128.46"	
"2014/03/17","129.72"	
"2014/03/18","130.8"	
"2014/03/19","130.31"	
"2014/03/20","130.02"	
"2014/03/21","129.82"	
"2014/03/22","129.82"	
"2014/03/23","129.82"	
"2014/03/24","129.42"	
"2014/03/25","130.1"	
"2014/03/26","130.0"	
"2014/03/27","129.8"	
"2014/03/28","130.48"	
"2014/03/29","130.48"	
"2014/03/30","130.48"	
"2014/03/31","131.54"	
"2014/04/01","132.41"	
"2014/04/02","132.7"	
"2014/04/03","132.4"	
"2014/04/04","131.91"	
"2014/04/05","131.91"	
"2014/04/06","131.91"	
"2014/04/07","130.44"	
"2014/04/08","130.43"	
"2014/04/09","131.31"	
"2014/04/10","129.74"	
"2014/04/11","128.47"	
"2014/04/12","128.47"	
"2014/04/13","128.47"	
"2014/04/14","128.75"	
"2014/04/15","128.95"	
"2014/04/16","130.51"	
"2014/04/17","130.99"	
"2014/04/18","130.99"	
"2014/04/19","130.99"	
"2014/04/20","130.99"	
"2014/04/21","130.99"	
"2014/04/22","132.35"	
"2014/04/23","132.13"	
"2014/04/24","131.93"	
