"基金名稱","增長組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","120.56"	
"2005/01/02","120.56"	
"2005/01/03","120.4"	
"2005/01/04","119.45"	
"2005/01/05","117.84"	
"2005/01/06","117.66"	
"2005/01/07","117.11"	
"2005/01/08","117.11"	
"2005/01/09","117.11"	
"2005/01/10","117.2"	
"2005/01/11","117.32"	
"2005/01/12","117.66"	
"2005/01/13","117.6"	
"2005/01/14","117.67"	
"2005/01/15","117.67"	
"2005/01/16","117.67"	
"2005/01/17","118.43"	
"2005/01/18","118.49"	
"2005/01/19","118.44"	
"2005/01/20","117.46"	
"2005/01/21","117.07"	
"2005/01/22","117.07"	
"2005/01/23","117.07"	
"2005/01/24","116.91"	
"2005/01/25","117.42"	
"2005/01/26","117.99"	
"2005/01/27","118.12"	
"2005/01/28","118.07"	
"2005/01/29","118.07"	
"2005/01/30","118.07"	
"2005/01/31","118.8"	
"2005/02/01","118.62"	
"2005/02/02","118.94"	
"2005/02/03","118.66"	
"2005/02/04","119.23"	
"2005/02/05","119.23"	
"2005/02/06","119.23"	
"2005/02/07","119.87"	
"2005/02/08","119.65"	
"2005/02/09","119.65"	
"2005/02/10","119.65"	
"2005/02/11","119.65"	
"2005/02/12","119.65"	
"2005/02/13","119.65"	
"2005/02/14","121.08"	
"2005/02/15","121.31"	
"2005/02/16","121.15"	
"2005/02/17","120.82"	
"2005/02/18","121.35"	
"2005/02/19","121.35"	
"2005/02/20","121.35"	
"2005/02/21","121.51"	
"2005/02/22","121.21"	
"2005/02/23","120.91"	
"2005/02/24","121.47"	
"2005/02/25","122.45"	
"2005/02/26","122.45"	
"2005/02/27","122.45"	
"2005/02/28","123.05"	
"2005/03/01","123.04"	
"2005/03/02","122.31"	
"2005/03/03","122.46"	
"2005/03/04","122.56"	
"2005/03/05","122.56"	
"2005/03/06","122.56"	
"2005/03/07","122.88"	
"2005/03/08","123.07"	
"2005/03/09","123.37"	
"2005/03/10","122.92"	
"2005/03/11","123.17"	
"2005/03/12","123.17"	
"2005/03/13","123.17"	
"2005/03/14","122.87"	
"2005/03/15","122.11"	
"2005/03/16","122.35"	
"2005/03/17","122.18"	
"2005/03/18","122.18"	
"2005/03/19","122.18"	
"2005/03/20","122.18"	
"2005/03/21","121.84"	
"2005/03/22","121.16"	
"2005/03/23","119.74"	
"2005/03/24","119.35"	
"2005/03/25","119.35"	
"2005/03/26","119.35"	
"2005/03/27","119.35"	
"2005/03/28","119.35"	
"2005/03/29","118.27"	
"2005/03/30","118.43"	
"2005/03/31","119.06"	
"2005/04/01","119.28"	
"2005/04/02","119.28"	
"2005/04/03","119.28"	
"2005/04/04","119.04"	
"2005/04/05","119.04"	
"2005/04/06","119.56"	
"2005/04/07","120.0"	
"2005/04/08","120.09"	
"2005/04/09","120.09"	
"2005/04/10","120.09"	
"2005/04/11","120.12"	
"2005/04/12","119.96"	
"2005/04/13","120.25"	
"2005/04/14","119.47"	
"2005/04/15","118.04"	
"2005/04/16","118.04"	
"2005/04/17","118.04"	
"2005/04/18","116.31"	
"2005/04/19","117.41"	
