"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2007/01/01","213.66"	
"2007/01/02","218.24"	
"2007/01/03","216.85"	
"2007/01/04","213.89"	
"2007/01/05","210.81"	
"2007/01/06","210.81"	
"2007/01/07","210.81"	
"2007/01/08","211.02"	
"2007/01/09","211.43"	
"2007/01/10","209.17"	
"2007/01/11","211.47"	
"2007/01/12","213.33"	
"2007/01/13","213.33"	
"2007/01/14","213.33"	
"2007/01/15","214.53"	
"2007/01/16","213.09"	
"2007/01/17","213.34"	
"2007/01/18","213.26"	
"2007/01/19","214.74"	
"2007/01/20","214.74"	
"2007/01/21","214.74"	
"2007/01/22","214.34"	
"2007/01/23","215.54"	
"2007/01/24","216.73"	
"2007/01/25","215.85"	
"2007/01/26","213.37"	
"2007/01/27","213.37"	
"2007/01/28","213.37"	
"2007/01/29","214.54"	
"2007/01/30","215.61"	
"2007/01/31","215.54"	
"2007/02/01","218.57"	
"2007/02/02","219.01"	
"2007/02/03","219.01"	
"2007/02/04","219.01"	
"2007/02/05","218.4"	
"2007/02/06","219.56"	
"2007/02/07","221.47"	
"2007/02/08","220.07"	
"2007/02/09","220.69"	
"2007/02/10","220.69"	
"2007/02/11","220.69"	
"2007/02/12","218.5"	
"2007/02/13","219.63"	
"2007/02/14","223.34"	
"2007/02/15","222.61"	
"2007/02/16","222.22"	
"2007/02/17","222.22"	
"2007/02/18","222.22"	
"2007/02/19","222.22"	
"2007/02/20","222.22"	
"2007/02/21","221.16"	
"2007/02/22","221.67"	
"2007/02/23","222.62"	
"2007/02/24","222.62"	
"2007/02/25","222.62"	
"2007/02/26","223.98"	
"2007/02/27","217.07"	
"2007/02/28","214.32"	
"2007/03/01","211.37"	
"2007/03/02","210.75"	
"2007/03/03","210.75"	
"2007/03/04","210.75"	
"2007/03/05","206.76"	
"2007/03/06","209.69"	
"2007/03/07","211.63"	
"2007/03/08","214.43"	
"2007/03/09","214.65"	
"2007/03/10","214.65"	
"2007/03/11","214.65"	
"2007/03/12","214.45"	
"2007/03/13","211.89"	
"2007/03/14","207.0"	
"2007/03/15","211.07"	
"2007/03/16","211.67"	
"2007/03/17","211.67"	
"2007/03/18","211.67"	
"2007/03/19","214.34"	
"2007/03/20","215.54"	
"2007/03/21","217.43"	
"2007/03/22","220.95"	
