"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2006/01/01","128.06"	
"2006/01/02","128.06"	
"2006/01/03","128.6"	
"2006/01/04","129.96"	
"2006/01/05","130.29"	
"2006/01/06","130.72"	
"2006/01/07","130.72"	
"2006/01/08","130.72"	
"2006/01/09","131.19"	
"2006/01/10","130.7"	
"2006/01/11","130.73"	
"2006/01/12","131.12"	
"2006/01/13","131.08"	
"2006/01/14","131.08"	
"2006/01/15","131.08"	
"2006/01/16","131.47"	
"2006/01/17","130.57"	
"2006/01/18","129.89"	
"2006/01/19","130.36"	
"2006/01/20","130.07"	
"2006/01/21","130.07"	
"2006/01/22","130.07"	
"2006/01/23","130.07"	
"2006/01/24","130.69"	
"2006/01/25","130.6"	
"2006/01/26","130.56"	
"2006/01/27","130.84"	
"2006/01/28","130.84"	
"2006/01/29","130.84"	
"2006/01/30","130.84"	
"2006/01/31","130.84"	
"2006/02/01","130.77"	
"2006/02/02","130.4"	
"2006/02/03","130.0"	
"2006/02/04","130.0"	
"2006/02/05","130.0"	
"2006/02/06","130.18"	
"2006/02/07","129.9"	
"2006/02/08","129.49"	
"2006/02/09","129.74"	
"2006/02/10","129.53"	
"2006/02/11","129.53"	
"2006/02/12","129.53"	
"2006/02/13","128.99"	
"2006/02/14","129.23"	
"2006/02/15","129.2"	
"2006/02/16","129.19"	
"2006/02/17","129.25"	
"2006/02/18","129.25"	
"2006/02/19","129.25"	
"2006/02/20","129.35"	
"2006/02/21","129.5"	
"2006/02/22","129.56"	
"2006/02/23","129.9"	
"2006/02/24","130.14"	
"2006/02/25","130.14"	
"2006/02/26","130.14"	
"2006/02/27","130.26"	
"2006/02/28","130.18"	
"2006/03/01","130.37"	
"2006/03/02","130.24"	
"2006/03/03","130.08"	
"2006/03/04","130.08"	
"2006/03/05","130.08"	
"2006/03/06","130.13"	
"2006/03/07","129.18"	
"2006/03/08","128.62"	
"2006/03/09","128.97"	
"2006/03/10","128.77"	
"2006/03/11","128.77"	
"2006/03/12","128.77"	
"2006/03/13","129.21"	
"2006/03/14","129.59"	
"2006/03/15","130.07"	
"2006/03/16","130.34"	
"2006/03/17","130.88"	
"2006/03/18","130.88"	
"2006/03/19","130.88"	
"2006/03/20","131.21"	
"2006/03/21","130.88"	
"2006/03/22","130.54"	
"2006/03/23","130.37"	
"2006/03/24","130.32"	
"2006/03/25","130.32"	
"2006/03/26","130.32"	
"2006/03/27","130.86"	
"2006/03/28","130.74"	
"2006/03/29","130.33"	
"2006/03/30","130.9"	
"2006/03/31","131.01"	
"2006/04/01","131.01"	
"2006/04/02","131.01"	
"2006/04/03","131.26"	
"2006/04/04","131.6"	
"2006/04/05","131.6"	
"2006/04/06","132.34"	
"2006/04/07","131.93"	
"2006/04/08","131.93"	
"2006/04/09","131.93"	
"2006/04/10","131.66"	
"2006/04/11","131.47"	
"2006/04/12","131.31"	
"2006/04/13","131.08"	
"2006/04/14","131.08"	
"2006/04/15","131.08"	
"2006/04/16","131.08"	
"2006/04/17","131.08"	
"2006/04/18","132.16"	
