"基金名稱","中港動態資產配置基金"	
"貨幣","HKD"	
"成立日期","2017/07/04"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","110.06"	
"2018/01/02","111.48"	
"2018/01/03","111.72"	
"2018/01/04","112.17"	
"2018/01/05","112.23"	
"2018/01/06","112.23"	
"2018/01/07","112.23"	
"2018/01/08","112.36"	
"2018/01/09","112.67"	
"2018/01/10","112.79"	
"2018/01/11","112.87"	
"2018/01/12","113.58"	
"2018/01/13","113.58"	
"2018/01/14","113.58"	
"2018/01/15","113.48"	
"2018/01/16","114.86"	
"2018/01/17","115.15"	
"2018/01/18","115.65"	
"2018/01/19","116.11"	
"2018/01/20","116.11"	
"2018/01/21","116.11"	
"2018/01/22","116.58"	
"2018/01/23","117.91"	
"2018/01/24","118.09"	
"2018/01/25","117.12"	
"2018/01/26","118.31"	
"2018/01/27","118.31"	
"2018/01/28","118.31"	
"2018/01/29","117.76"	
"2018/01/30","116.85"	
"2018/01/31","117.5"	
"2018/02/01","116.85"	
"2018/02/02","116.59"	
"2018/02/03","116.59"	
"2018/02/04","116.59"	
"2018/02/05","115.85"	
"2018/02/06","111.68"	
"2018/02/07","111.0"	
"2018/02/08","111.31"	
"2018/02/09","109.27"	
"2018/02/10","109.27"	
"2018/02/11","109.27"	
"2018/02/12","109.32"	
"2018/02/13","110.14"	
"2018/02/14","111.51"	
"2018/02/15","112.65"	
"2018/02/16","112.65"	
"2018/02/17","112.65"	
"2018/02/18","112.65"	
"2018/02/19","112.65"	
"2018/02/20","112.21"	
"2018/02/21","113.39"	
"2018/02/22","112.62"	
"2018/02/23","113.26"	
"2018/02/24","113.26"	
"2018/02/25","113.26"	
"2018/02/26","113.6"	
"2018/02/27","113.06"	
"2018/02/28","112.25"	
"2018/03/01","112.62"	
"2018/03/02","111.75"	
"2018/03/03","111.75"	
"2018/03/04","111.75"	
"2018/03/05","110.55"	
"2018/03/06","111.6"	
"2018/03/07","111.2"	
"2018/03/08","111.75"	
"2018/03/09","111.93"	
"2018/03/10","111.93"	
"2018/03/11","111.93"	
"2018/03/12","112.39"	
"2018/03/13","112.42"	
"2018/03/14","112.35"	
"2018/03/15","112.43"	
"2018/03/16","112.37"	
"2018/03/17","112.37"	
"2018/03/18","112.37"	
"2018/03/19","112.29"	
"2018/03/20","112.34"	
"2018/03/21","112.19"	
"2018/03/22","112.02"	
"2018/03/23","111.53"	
"2018/03/24","111.53"	
"2018/03/25","111.53"	
"2018/03/26","111.68"	
"2018/03/27","111.95"	
"2018/03/28","111.3"	
"2018/03/29","111.28"	
"2018/03/30","111.28"	
"2018/03/31","111.28"	
"2018/04/01","111.28"	
"2018/04/02","111.28"	
"2018/04/03","111.49"	
"2018/04/04","111.05"	
"2018/04/05","111.05"	
"2018/04/06","111.18"	
"2018/04/07","111.18"	
"2018/04/08","111.18"	
"2018/04/09","111.48"	
"2018/04/10","111.83"	
"2018/04/11","112.01"	
"2018/04/12","111.87"	
"2018/04/13","111.71"	
"2018/04/14","111.71"	
"2018/04/15","111.71"	
"2018/04/16","111.36"	
"2018/04/17","111.09"	
"2018/04/18","111.23"	
"2018/04/19","111.56"	
"2018/04/20","111.21"	
"2018/04/21","111.21"	
"2018/04/22","111.21"	
"2018/04/23","111.02"	
"2018/04/24","111.24"	
"2018/04/25","111.06"	
"2018/04/26","110.88"	
"2018/04/27","111.0"	
"2018/04/28","111.0"	
"2018/04/29","111.0"	
"2018/04/30","111.47"	
