"基金名稱","中港基金"	
"貨幣","HKD"	
"成立日期","2011/09/23"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/01/01","176.9"	
"2018/01/02","180.8"	
"2018/01/03","181.15"	
"2018/01/04","182.44"	
"2018/01/05","182.56"	
"2018/01/06","182.56"	
"2018/01/07","182.56"	
"2018/01/08","183.08"	
"2018/01/09","183.93"	
"2018/01/10","184.28"	
"2018/01/11","184.22"	
"2018/01/12","185.92"	
"2018/01/13","185.92"	
"2018/01/14","185.92"	
"2018/01/15","186.15"	
"2018/01/16","189.37"	
"2018/01/17","189.94"	
"2018/01/18","191.49"	
"2018/01/19","192.28"	
"2018/01/20","192.28"	
"2018/01/21","192.28"	
"2018/01/22","192.68"	
"2018/01/23","196.47"	
"2018/01/24","197.1"	
"2018/01/25","195.23"	
"2018/01/26","198.3"	
"2018/01/27","198.3"	
"2018/01/28","198.3"	
"2018/01/29","197.08"	
"2018/01/30","194.95"	
"2018/01/31","196.66"	
"2018/02/01","195.12"	
"2018/02/02","195.1"	
"2018/02/03","195.1"	
"2018/02/04","195.1"	
"2018/02/05","193.12"	
"2018/02/06","183.43"	
"2018/02/07","180.56"	
"2018/02/08","181.16"	
"2018/02/09","175.31"	
"2018/02/10","175.31"	
"2018/02/11","175.31"	
"2018/02/12","175.32"	
"2018/02/13","177.72"	
"2018/02/14","181.35"	
"2018/02/15","184.59"	
"2018/02/16","184.59"	
"2018/02/17","184.59"	
"2018/02/18","184.59"	
"2018/02/19","184.59"	
"2018/02/20","183.28"	
"2018/02/21","186.86"	
"2018/02/22","184.32"	
"2018/02/23","186.29"	
"2018/02/24","186.29"	
"2018/02/25","186.29"	
"2018/02/26","188.07"	
"2018/02/27","186.31"	
"2018/02/28","183.37"	
"2018/03/01","184.48"	
"2018/03/02","181.8"	
"2018/03/03","181.8"	
"2018/03/04","181.8"	
"2018/03/05","177.95"	
"2018/03/06","181.71"	
"2018/03/07","179.97"	
"2018/03/08","182.77"	
"2018/03/09","184.34"	
"2018/03/10","184.34"	
"2018/03/11","184.34"	
"2018/03/12","187.64"	
"2018/03/13","188.09"	
"2018/03/14","187.4"	
"2018/03/15","187.72"	
"2018/03/16","187.36"	
"2018/03/17","187.36"	
"2018/03/18","187.36"	
"2018/03/19","187.55"	
"2018/03/20","187.62"	
"2018/03/21","186.46"	
"2018/03/22","184.73"	
"2018/03/23","179.85"	
"2018/03/24","179.85"	
"2018/03/25","179.85"	
"2018/03/26","181.68"	
"2018/03/27","182.88"	
"2018/03/28","178.51"	
"2018/03/29","178.8"	
"2018/03/30","178.8"	
"2018/03/31","178.8"	
"2018/04/01","178.8"	
"2018/04/02","178.8"	
"2018/04/03","179.86"	
"2018/04/04","175.28"	
"2018/04/05","175.28"	
"2018/04/06","177.15"	
"2018/04/07","177.15"	
"2018/04/08","177.15"	
"2018/04/09","179.84"	
"2018/04/10","182.68"	
"2018/04/11","183.62"	
"2018/04/12","183.29"	
"2018/04/13","183.09"	
"2018/04/14","183.09"	
"2018/04/15","183.09"	
"2018/04/16","179.62"	
"2018/04/17","178.18"	
"2018/04/18","179.69"	
"2018/04/19","182.62"	
"2018/04/20","180.2"	
"2018/04/21","180.2"	
"2018/04/22","180.2"	
"2018/04/23","179.3"	
"2018/04/24","182.08"	
"2018/04/25","180.08"	
"2018/04/26","178.24"	
"2018/04/27","179.5"	
"2018/04/28","179.5"	
"2018/04/29","179.5"	
"2018/04/30","183.38"	
"2018/05/01","183.38"	
"2018/05/02","182.03"	
"2018/05/03","179.67"	
"2018/05/04","177.67"	
"2018/05/05","177.67"	
"2018/05/06","177.67"	
"2018/05/07","178.35"	
"2018/05/08","180.91"	
"2018/05/09","181.53"	
"2018/05/10","182.84"	
"2018/05/11","184.53"	
"2018/05/12","184.53"	
"2018/05/13","184.53"	
"2018/05/14","187.26"	
"2018/05/15","185.59"	
"2018/05/16","185.07"	
"2018/05/17","184.25"	
"2018/05/18","184.9"	
"2018/05/19","184.9"	
"2018/05/20","184.9"	
"2018/05/21","186.06"	
"2018/05/22","186.06"	
"2018/05/23","182.45"	
"2018/05/24","183.09"	
"2018/05/25","182.7"	
"2018/05/26","182.7"	
"2018/05/27","182.7"	
"2018/05/28","183.57"	
"2018/05/29","181.68"	
"2018/05/30","178.8"	
"2018/05/31","181.93"	
"2018/06/01","182.09"	
"2018/06/02","182.09"	
"2018/06/03","182.09"	
"2018/06/04","184.81"	
"2018/06/05","185.4"	
"2018/06/06","186.38"	
"2018/06/07","188.04"	
"2018/06/08","184.48"	
"2018/06/09","184.48"	
"2018/06/10","184.48"	
"2018/06/11","185.45"	
"2018/06/12","185.67"	
"2018/06/13","183.45"	
"2018/06/14","182.01"	
"2018/06/15","180.82"	
"2018/06/16","180.82"	
"2018/06/17","180.82"	
"2018/06/18","180.82"	
"2018/06/19","176.17"	
"2018/06/20","177.34"	
"2018/06/21","174.57"	
"2018/06/22","174.96"	
"2018/06/23","174.96"	
"2018/06/24","174.96"	
"2018/06/25","172.92"	
"2018/06/26","172.16"	
"2018/06/27","168.85"	
"2018/06/28","169.67"	
"2018/06/29","172.16"	
"2018/06/30","172.16"	
"2018/07/01","172.16"	
"2018/07/02","172.16"	
"2018/07/03","170.02"	
"2018/07/04","168.0"	
"2018/07/05","168.19"	
"2018/07/06","168.65"	
"2018/07/07","168.65"	
"2018/07/08","168.65"	
"2018/07/09","171.86"	
"2018/07/10","171.76"	
"2018/07/11","169.43"	
"2018/07/12","170.67"	
"2018/07/13","170.83"	
"2018/07/14","170.83"	
"2018/07/15","170.83"	
"2018/07/16","170.66"	
"2018/07/17","168.98"	
"2018/07/18","168.19"	
"2018/07/19","167.63"	
"2018/07/20","169.24"	
"2018/07/21","169.24"	
"2018/07/22","169.24"	
"2018/07/23","169.71"	
"2018/07/24","172.23"	
"2018/07/25","173.93"	
"2018/07/26","172.61"	
"2018/07/27","172.68"	
"2018/07/28","172.68"	
"2018/07/29","172.68"	
"2018/07/30","172.47"	
"2018/07/31","171.9"	
"2018/08/01","170.32"	
"2018/08/02","166.8"	
"2018/08/03","166.44"	
"2018/08/04","166.44"	
"2018/08/05","166.44"	
"2018/08/06","167.35"	
"2018/08/07","169.71"	
"2018/08/08","170.26"	
"2018/08/09","171.79"	
"2018/08/10","170.21"	
"2018/08/11","170.21"	
"2018/08/12","170.21"	
"2018/08/13","168.04"	
"2018/08/14","167.25"	
"2018/08/15","164.27"	
"2018/08/16","163.64"	
"2018/08/17","163.93"	
"2018/08/18","163.93"	
"2018/08/19","163.93"	
"2018/08/20","166.12"	
"2018/08/21","167.16"	
"2018/08/22","168.21"	
"2018/08/23","167.18"	
"2018/08/24","166.91"	
"2018/08/25","166.91"	
"2018/08/26","166.91"	
"2018/08/27","170.72"	
"2018/08/28","171.31"	
"2018/08/29","171.47"	
"2018/08/30","170.05"	
"2018/08/31","168.33"	
"2018/09/01","168.33"	
"2018/09/02","168.33"	
"2018/09/03","167.72"	
"2018/09/04","169.27"	
"2018/09/05","164.86"	
"2018/09/06","164.0"	
"2018/09/07","163.38"	
"2018/09/08","163.38"	
"2018/09/09","163.38"	
"2018/09/10","161.86"	
"2018/09/11","160.41"	
"2018/09/12","160.09"	
"2018/09/13","163.68"	
"2018/09/14","165.02"	
"2018/09/15","165.02"	
"2018/09/16","165.02"	
"2018/09/17","163.11"	
"2018/09/18","164.0"	
"2018/09/19","165.99"	
"2018/09/20","166.64"	
"2018/09/21","169.74"	
"2018/09/22","169.74"	
"2018/09/23","169.74"	
"2018/09/24","166.8"	
"2018/09/25","166.8"	
