"基金名稱","日本股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2007/01/01","179.45"	
"2007/01/02","179.48"	
"2007/01/03","179.53"	
"2007/01/04","181.01"	
"2007/01/05","179.5"	
"2007/01/06","179.5"	
"2007/01/07","179.5"	
"2007/01/08","179.53"	
"2007/01/09","179.72"	
"2007/01/10","176.49"	
"2007/01/11","174.79"	
"2007/01/12","177.9"	
"2007/01/13","177.9"	
"2007/01/14","177.9"	
"2007/01/15","179.62"	
"2007/01/16","179.41"	
"2007/01/17","180.41"	
"2007/01/18","180.92"	
"2007/01/19","181.31"	
"2007/01/20","181.31"	
"2007/01/21","181.31"	
"2007/01/22","182.56"	
"2007/01/23","183.0"	
"2007/01/24","184.07"	
"2007/01/25","183.17"	
"2007/01/26","181.59"	
"2007/01/27","181.59"	
"2007/01/28","181.59"	
"2007/01/29","181.66"	
"2007/01/30","182.22"	
"2007/01/31","182.3"	
"2007/02/01","184.6"	
"2007/02/02","183.52"	
"2007/02/03","183.52"	
"2007/02/04","183.52"	
"2007/02/05","181.9"	
"2007/02/06","182.38"	
"2007/02/07","181.38"	
"2007/02/08","180.0"	
"2007/02/09","181.93"	
"2007/02/10","181.93"	
"2007/02/11","181.93"	
"2007/02/12","181.92"	
"2007/02/13","183.18"	
"2007/02/14","184.77"	
"2007/02/15","188.2"	
"2007/02/16","187.89"	
"2007/02/17","187.89"	
"2007/02/18","187.89"	
"2007/02/19","187.89"	
"2007/02/20","187.89"	
"2007/02/21","186.84"	
"2007/02/22","187.67"	
"2007/02/23","188.83"	
"2007/02/24","188.83"	
"2007/02/25","188.83"	
"2007/02/26","189.45"	
"2007/02/27","192.12"	
"2007/02/28","186.77"	
"2007/03/01","186.38"	
"2007/03/02","185.15"	
"2007/03/03","185.15"	
"2007/03/04","185.15"	
"2007/03/05","180.53"	
"2007/03/06","183.13"	
"2007/03/07","182.43"	
"2007/03/08","184.5"	
"2007/03/09","183.95"	
"2007/03/10","183.95"	
"2007/03/11","183.95"	
"2007/03/12","186.08"	
"2007/03/13","185.42"	
"2007/03/14","181.29"	
"2007/03/15","181.61"	
"2007/03/16","180.57"	
"2007/03/17","180.57"	
"2007/03/18","180.57"	
"2007/03/19","181.39"	
"2007/03/20","183.04"	
"2007/03/21","183.03"	
"2007/03/22","184.5"	
