"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","159.1"	
"2014/01/02","157.65"	
"2014/01/03","157.48"	
"2014/01/04","157.48"	
"2014/01/05","157.48"	
"2014/01/06","157.03"	
"2014/01/07","158.03"	
"2014/01/08","157.85"	
"2014/01/09","158.1"	
"2014/01/10","158.42"	
"2014/01/11","158.42"	
"2014/01/12","158.42"	
"2014/01/13","156.22"	
"2014/01/14","158.05"	
"2014/01/15","158.8"	
"2014/01/16","158.71"	
"2014/01/17","158.03"	
"2014/01/18","158.03"	
"2014/01/19","158.03"	
"2014/01/20","158.08"	
"2014/01/21","158.66"	
"2014/01/22","159.07"	
"2014/01/23","157.96"	
"2014/01/24","154.99"	
"2014/01/25","154.99"	
"2014/01/26","154.99"	
"2014/01/27","154.21"	
"2014/01/28","155.2"	
"2014/01/29","153.86"	
"2014/01/30","155.34"	
"2014/01/31","155.34"	
"2014/02/01","155.34"	
"2014/02/02","155.34"	
"2014/02/03","155.34"	
"2014/02/04","151.81"	
"2014/02/05","151.47"	
"2014/02/06","153.24"	
"2014/02/07","155.17"	
"2014/02/08","155.17"	
"2014/02/09","155.17"	
"2014/02/10","155.32"	
"2014/02/11","156.98"	
"2014/02/12","157.07"	
"2014/02/13","157.97"	
"2014/02/14","158.71"	
"2014/02/15","158.71"	
"2014/02/16","158.71"	
"2014/02/17","158.7"	
"2014/02/18","158.86"	
"2014/02/19","157.93"	
"2014/02/20","159.09"	
"2014/02/21","158.88"	
"2014/02/22","158.88"	
"2014/02/23","158.88"	
"2014/02/24","159.86"	
"2014/02/25","159.81"	
"2014/02/26","160.09"	
"2014/02/27","160.81"	
"2014/02/28","161.26"	
"2014/03/01","161.26"	
"2014/03/02","161.26"	
"2014/03/03","160.49"	
"2014/03/04","163.0"	
"2014/03/05","163.02"	
"2014/03/06","163.41"	
"2014/03/07","163.48"	
"2014/03/08","163.48"	
"2014/03/09","163.48"	
"2014/03/10","163.29"	
"2014/03/11","162.37"	
"2014/03/12","162.43"	
"2014/03/13","160.49"	
"2014/03/14","160.22"	
"2014/03/15","160.22"	
"2014/03/16","160.22"	
"2014/03/17","161.87"	
"2014/03/18","162.95"	
"2014/03/19","162.12"	
"2014/03/20","163.19"	
"2014/03/21","162.69"	
"2014/03/22","162.69"	
