Date,65歲後基金_Price
2017/04/01,1.0
2017/04/02,1.0
2017/04/03,1.0
2017/04/04,1.0
2017/04/05,0.9999
2017/04/06,1.0003
2017/04/07,1.0002
2017/04/08,1.0002
2017/04/09,1.0002
2017/04/10,1.0003
2017/04/11,1.0012
2017/04/12,1.0014
2017/04/13,1.0016
2017/04/14,1.0016
2017/04/15,1.0016
2017/04/16,1.0016
2017/04/17,1.0016
2017/04/18,1.0036
2017/04/19,1.0026
2017/04/20,1.0029
2017/04/21,1.0026
2017/04/22,1.0026
2017/04/23,1.0026
2017/04/24,1.0061
2017/04/25,1.0051
2017/04/26,1.0052
2017/04/27,1.0065
2017/04/28,1.0061
2017/04/29,1.0061
2017/04/30,1.0061
2017/05/01,1.0061
2017/05/02,1.0066
2017/05/03,1.0066
2017/05/04,1.0054
2017/05/05,1.0063
2017/05/06,1.0063
2017/05/07,1.0063
2017/05/08,1.0056
2017/05/09,1.0041
2017/05/10,1.0049
2017/05/11,1.0046
2017/05/12,1.0069
2017/05/13,1.0069
2017/05/14,1.0069
2017/05/15,1.0068
2017/05/16,1.0078
2017/05/17,1.0094
2017/05/18,1.0089
2017/05/19,1.009
2017/05/20,1.009
2017/05/21,1.009
2017/05/22,1.0094
2017/05/23,1.0092
2017/05/24,1.0099
2017/05/25,1.0119
2017/05/26,1.0121
2017/05/27,1.0121
2017/05/28,1.0121
2017/05/29,1.0124
2017/05/30,1.0124
2017/05/31,1.0125
2017/06/01,1.0129
2017/06/02,1.0157
2017/06/03,1.0157
2017/06/04,1.0157
2017/06/05,1.0147
2017/06/06,1.0158
2017/06/07,1.0149
2017/06/08,1.0148
2017/06/09,1.0152
2017/06/10,1.0152
2017/06/11,1.0152
2017/06/12,1.0153
2017/06/13,1.0158
2017/06/14,1.0189
2017/06/15,1.0156
2017/06/16,1.0162
2017/06/17,1.0162
2017/06/18,1.0162
2017/06/19,1.0173
2017/06/20,1.0177
2017/06/21,1.0175
2017/06/22,1.0181
2017/06/23,1.0182
2017/06/24,1.0182
2017/06/25,1.0182
2017/06/26,1.0191
2017/06/27,1.0141
2017/06/28,1.015
2017/06/29,1.011
2017/06/30,1.0094
2017/07/01,1.0094
2017/07/02,1.0094
2017/07/03,1.0092
2017/07/04,1.0089
2017/07/05,1.009
2017/07/06,1.0051
2017/07/07,1.0045
2017/07/08,1.0045
2017/07/09,1.0045
2017/07/10,1.0064
2017/07/11,1.0062
2017/07/12,1.0097
2017/07/13,1.0094
2017/07/14,1.0111
2017/07/15,1.0111
2017/07/16,1.0111
2017/07/17,1.012
2017/07/18,1.0137
2017/07/19,1.015
2017/07/20,1.0162
2017/07/21,1.0169
2017/07/22,1.0169
2017/07/23,1.0169
2017/07/24,1.016
2017/07/25,1.0138
2017/07/26,1.0146
2017/07/27,1.015
2017/07/28,1.0146
2017/07/29,1.0146
2017/07/30,1.0146
2017/07/31,1.015
2017/08/01,1.0181
2017/08/02,1.0183
2017/08/03,1.0197
2017/08/04,1.0183
2017/08/05,1.0183
2017/08/06,1.0183
2017/08/07,1.0195
2017/08/08,1.0184
2017/08/09,1.0192
2017/08/10,1.0179
2017/08/11,1.0184
2017/08/12,1.0184
2017/08/13,1.0184
2017/08/14,1.0192
2017/08/15,1.0174
2017/08/16,1.0185
2017/08/17,1.0178
2017/08/18,1.0173
2017/08/19,1.0173
2017/08/20,1.0173
2017/08/21,1.0183
2017/08/22,1.0185
2017/08/23,1.0185
2017/08/24,1.0189
2017/08/25,1.0196
2017/08/26,1.0196
2017/08/27,1.0196
2017/08/28,1.0201
2017/08/29,1.0202
2017/08/30,1.02
2017/08/31,1.0218
2017/09/01,1.0211
2017/09/02,1.0211
2017/09/03,1.0211
2017/09/04,1.0213
2017/09/05,1.0229
2017/09/06,1.022
2017/09/07,1.0245
2017/09/08,1.024
2017/09/09,1.024
2017/09/10,1.024
2017/09/11,1.024
2017/09/12,1.0221
2017/09/13,1.0215
2017/09/14,1.0203
2017/09/15,1.0204
2017/09/16,1.0204
2017/09/17,1.0204
2017/09/18,1.0201
2017/09/19,1.0201
2017/09/20,1.0198
