"基金名稱","全球基金"	
"貨幣","HKD"	
"成立日期","2007/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2009/01/01","57.97"	
"2009/01/02","59.71"	
"2009/01/03","59.71"	
"2009/01/04","59.71"	
"2009/01/05","59.7"	
"2009/01/06","60.49"	
"2009/01/07","58.55"	
"2009/01/08","59.03"	
"2009/01/09","57.67"	
"2009/01/10","57.67"	
"2009/01/11","57.67"	
"2009/01/12","56.17"	
"2009/01/13","55.9"	
"2009/01/14","53.79"	
"2009/01/15","54.23"	
"2009/01/16","54.58"	
"2009/01/17","54.58"	
"2009/01/18","54.58"	
"2009/01/19","54.58"	
"2009/01/20","51.29"	
"2009/01/21","53.74"	
"2009/01/22","52.69"	
"2009/01/23","52.83"	
"2009/01/24","52.83"	
"2009/01/25","52.83"	
"2009/01/26","52.83"	
"2009/01/27","52.83"	
"2009/01/28","52.83"	
"2009/01/29","53.86"	
"2009/01/30","53.03"	
"2009/01/31","53.03"	
"2009/02/01","53.03"	
"2009/02/02","52.7"	
"2009/02/03","53.77"	
"2009/02/04","53.71"	
"2009/02/05","54.61"	
"2009/02/06","56.37"	
"2009/02/07","56.37"	
"2009/02/08","56.37"	
"2009/02/09","56.31"	
"2009/02/10","53.61"	
"2009/02/11","54.0"	
"2009/02/12","54.06"	
"2009/02/13","53.69"	
"2009/02/14","53.69"	
"2009/02/15","53.69"	
"2009/02/16","53.69"	
"2009/02/17","51.06"	
"2009/02/18","50.94"	
"2009/02/19","50.62"	
"2009/02/20","49.8"	
"2009/02/21","49.8"	
"2009/02/22","49.8"	
"2009/02/23","47.79"	
"2009/02/24","49.76"	
"2009/02/25","49.13"	
"2009/02/26","48.69"	
"2009/02/27","48.0"	
"2009/02/28","48.0"	
"2009/03/01","48.0"	
"2009/03/02","45.48"	
"2009/03/03","45.33"	
"2009/03/04","47.02"	
"2009/03/05","45.19"	
"2009/03/06","45.16"	
"2009/03/07","45.16"	
"2009/03/08","45.16"	
"2009/03/09","44.46"	
"2009/03/10","47.23"	
"2009/03/11","47.47"	
"2009/03/12","49.14"	
"2009/03/13","49.45"	
"2009/03/14","49.45"	
"2009/03/15","49.45"	
"2009/03/16","49.43"	
"2009/03/17","50.84"	
"2009/03/18","51.97"	
"2009/03/19","51.62"	
"2009/03/20","50.71"	
"2009/03/21","50.71"	
"2009/03/22","50.71"	
"2009/03/23","54.33"	
"2009/03/24","52.99"	
"2009/03/25","53.42"	
"2009/03/26","54.39"	
"2009/03/27","53.12"	
"2009/03/28","53.12"	
"2009/03/29","53.12"	
"2009/03/30","51.19"	
"2009/03/31","51.89"	
"2009/04/01","53.16"	
"2009/04/02","55.21"	
"2009/04/03","55.86"	
"2009/04/04","55.86"	
"2009/04/05","55.86"	
"2009/04/06","55.08"	
"2009/04/07","53.97"	
"2009/04/08","54.55"	
"2009/04/09","56.61"	
"2009/04/10","56.61"	
"2009/04/11","56.61"	
"2009/04/12","56.61"	
"2009/04/13","56.61"	
"2009/04/14","55.91"	
"2009/04/15","56.5"	
"2009/04/16","57.22"	
"2009/04/17","57.2"	
"2009/04/18","57.2"	
"2009/04/19","57.2"	
"2009/04/20","54.79"	
"2009/04/21","56.01"	
"2009/04/22","55.63"	
"2009/04/23","56.48"	
"2009/04/24","57.37"	
"2009/04/25","57.37"	
"2009/04/26","57.37"	
"2009/04/27","56.44"	
"2009/04/28","56.27"	
"2009/04/29","57.78"	
"2009/04/30","57.82"	
"2009/05/01","57.82"	
"2009/05/02","57.82"	
"2009/05/03","57.82"	
"2009/05/04","60.89"	
"2009/05/05","60.61"	
"2009/05/06","61.87"	
"2009/05/07","60.83"	
"2009/05/08","62.69"	
"2009/05/09","62.69"	
"2009/05/10","62.69"	
"2009/05/11","61.51"	
"2009/05/12","61.5"	
"2009/05/13","59.62"	
"2009/05/14","60.26"	
"2009/05/15","59.64"	
"2009/05/16","59.64"	
"2009/05/17","59.64"	
"2009/05/18","61.86"	
"2009/05/19","62.11"	
"2009/05/20","62.09"	
"2009/05/21","61.22"	
"2009/05/22","61.43"	
"2009/05/23","61.43"	
"2009/05/24","61.43"	
"2009/05/25","61.44"	
"2009/05/26","62.95"	
"2009/05/27","61.92"	
"2009/05/28","61.92"	
"2009/05/29","63.89"	
"2009/05/30","63.89"	
"2009/05/31","63.89"	
"2009/06/01","65.64"	
"2009/06/02","65.71"	
"2009/06/03","64.15"	
"2009/06/04","64.85"	
"2009/06/05","64.59"	
"2009/06/06","64.59"	
"2009/06/07","64.59"	
"2009/06/08","64.31"	
"2009/06/09","64.77"	
"2009/06/10","64.75"	
"2009/06/11","65.56"	
"2009/06/12","65.41"	
"2009/06/13","65.41"	
"2009/06/14","65.41"	
"2009/06/15","63.53"	
"2009/06/16","62.65"	
"2009/06/17","62.51"	
"2009/06/18","62.65"	
"2009/06/19","63.2"	
"2009/06/20","63.2"	
"2009/06/21","63.2"	
"2009/06/22","60.91"	
"2009/06/23","60.85"	
"2009/06/24","61.32"	
"2009/06/25","63.11"	
"2009/06/26","63.08"	
"2009/06/27","63.08"	
"2009/06/28","63.08"	
"2009/06/29","63.62"	
"2009/06/30","63.09"	
"2009/07/01","63.09"	
"2009/07/02","61.84"	
"2009/07/03","61.84"	
"2009/07/04","61.84"	
"2009/07/05","61.84"	
"2009/07/06","61.81"	
"2009/07/07","60.34"	
"2009/07/08","60.13"	
"2009/07/09","60.56"	
"2009/07/10","60.16"	
"2009/07/11","60.16"	
"2009/07/12","60.16"	
"2009/07/13","61.39"	
"2009/07/14","61.68"	
"2009/07/15","63.84"	
"2009/07/16","64.44"	
"2009/07/17","64.43"	
"2009/07/18","64.43"	
"2009/07/19","64.43"	
"2009/07/20","65.52"	
"2009/07/21","65.74"	
"2009/07/22","65.85"	
"2009/07/23","67.24"	
"2009/07/24","67.46"	
"2009/07/25","67.46"	
"2009/07/26","67.46"	
"2009/07/27","67.66"	
"2009/07/28","67.38"	
"2009/07/29","66.76"	
"2009/07/30","67.79"	
"2009/07/31","68.19"	
"2009/08/01","68.19"	
"2009/08/02","68.19"	
"2009/08/03","69.72"	
"2009/08/04","69.87"	
"2009/08/05","69.77"	
"2009/08/06","69.28"	
"2009/08/07","69.88"	
"2009/08/08","69.88"	
"2009/08/09","69.88"	
"2009/08/10","69.72"	
"2009/08/11","68.81"	
"2009/08/12","69.61"	
"2009/08/13","70.28"	
"2009/08/14","69.63"	
"2009/08/15","69.63"	
"2009/08/16","69.63"	
"2009/08/17","67.74"	
"2009/08/18","68.65"	
"2009/08/19","69.18"	
"2009/08/20","69.92"	
"2009/08/21","71.28"	
"2009/08/22","71.28"	
"2009/08/23","71.28"	
"2009/08/24","71.2"	
"2009/08/25","71.38"	
"2009/08/26","71.24"	
"2009/08/27","71.49"	
"2009/08/28","71.39"	
"2009/08/29","71.39"	
"2009/08/30","71.39"	
"2009/08/31","70.58"	
"2009/09/01","68.86"	
"2009/09/02","68.8"	
"2009/09/03","69.5"	
"2009/09/04","70.58"	
"2009/09/05","70.58"	
"2009/09/06","70.58"	
"2009/09/07","70.59"	
"2009/09/08","71.71"	
"2009/09/09","72.17"	
"2009/09/10","72.98"	
"2009/09/11","72.98"	
"2009/09/12","72.98"	
"2009/09/13","72.98"	
"2009/09/14","73.27"	
"2009/09/15","73.59"	
"2009/09/16","74.92"	
"2009/09/17","74.61"	
"2009/09/18","74.75"	
"2009/09/19","74.75"	
"2009/09/20","74.75"	
"2009/09/21","74.28"	
"2009/09/22","75.01"	
"2009/09/23","74.09"	
"2009/09/24","73.08"	
"2009/09/25","73.01"	
"2009/09/26","73.01"	
"2009/09/27","73.01"	
"2009/09/28","74.24"	
"2009/09/29","74.09"	
"2009/09/30","74.16"	
"2009/10/01","74.16"	
"2009/10/02","72.05"	
"2009/10/03","72.05"	
"2009/10/04","72.05"	
"2009/10/05","73.25"	
"2009/10/06","74.32"	
"2009/10/07","74.48"	
"2009/10/08","75.36"	
"2009/10/09","75.61"	
"2009/10/10","75.61"	
"2009/10/11","75.61"	
"2009/10/12","76.11"	
"2009/10/13","75.99"	
"2009/10/14","77.64"	
"2009/10/15","77.93"	
"2009/10/16","77.17"	
"2009/10/17","77.17"	
"2009/10/18","77.17"	
"2009/10/19","78.0"	
"2009/10/20","77.29"	
"2009/10/21","77.04"	
"2009/10/22","77.78"	
"2009/10/23","76.81"	
"2009/10/24","76.81"	
"2009/10/25","76.81"	
"2009/10/26","76.81"	
"2009/10/27","75.07"	
"2009/10/28","73.07"	
"2009/10/29","75.41"	
"2009/10/30","72.94"	
"2009/10/31","72.94"	
"2009/11/01","72.94"	
"2009/11/02","73.54"	
"2009/11/03","73.84"	
"2009/11/04","74.34"	
"2009/11/05","75.77"	
"2009/11/06","75.9"	
"2009/11/07","75.9"	
"2009/11/08","75.9"	
"2009/11/09","77.89"	
"2009/11/10","77.77"	
"2009/11/11","78.01"	
"2009/11/12","76.88"	
"2009/11/13","77.68"	
"2009/11/14","77.68"	
"2009/11/15","77.68"	
"2009/11/16","78.88"	
"2009/11/17","78.93"	
"2009/11/18","78.61"	
"2009/11/19","77.51"	
"2009/11/20","77.14"	
"2009/11/21","77.14"	
"2009/11/22","77.14"	
"2009/11/23","78.25"	
"2009/11/24","78.24"	
"2009/11/25","78.95"	
"2009/11/26","78.95"	
"2009/11/27","77.71"	
"2009/11/28","77.71"	
"2009/11/29","77.71"	
"2009/11/30","77.63"	
"2009/12/01","79.08"	
"2009/12/02","79.3"	
"2009/12/03","78.77"	
"2009/12/04","78.79"	
"2009/12/05","78.79"	
"2009/12/06","78.79"	
"2009/12/07","78.56"	
"2009/12/08","77.53"	
"2009/12/09","77.67"	
"2009/12/10","78.09"	
"2009/12/11","78.34"	
"2009/12/12","78.34"	
"2009/12/13","78.34"	
"2009/12/14","78.93"	
"2009/12/15","78.34"	
"2009/12/16","78.68"	
"2009/12/17","77.08"	
"2009/12/18","77.28"	
"2009/12/19","77.28"	
"2009/12/20","77.28"	
"2009/12/21","77.49"	
"2009/12/22","77.8"	
"2009/12/23","78.3"	
"2009/12/24","78.71"	
"2009/12/25","78.71"	
"2009/12/26","78.71"	
"2009/12/27","78.71"	
"2009/12/28","78.89"	
"2009/12/29","79.01"	
"2009/12/30","78.96"	
"2009/12/31","78.49"	
