"基金名稱","均衡組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2016/01/01","183.57"	
"2016/01/02","183.57"	
"2016/01/03","183.57"	
"2016/01/04","180.94"	
"2016/01/05","180.51"	
"2016/01/06","179.63"	
"2016/01/07","177.21"	
"2016/01/08","177.0"	
"2016/01/09","177.0"	
"2016/01/10","177.0"	
"2016/01/11","175.65"	
"2016/01/12","174.95"	
"2016/01/13","175.59"	
"2016/01/14","174.91"	
"2016/01/15","173.82"	
"2016/01/16","173.82"	
"2016/01/17","173.82"	
"2016/01/18","173.07"	
"2016/01/19","174.44"	
"2016/01/20","171.69"	
"2016/01/21","170.5"	
"2016/01/22","172.96"	
"2016/01/23","172.96"	
"2016/01/24","172.96"	
"2016/01/25","173.6"	
"2016/01/26","172.9"	
"2016/01/27","173.62"	
"2016/01/28","173.52"	
"2016/01/29","175.53"	
"2016/01/30","175.53"	
"2016/01/31","175.53"	
"2016/02/01","176.2"	
"2016/02/02","175.25"	
"2016/02/03","173.96"	
"2016/02/04","174.3"	
"2016/02/05","173.64"	
"2016/02/06","173.64"	
"2016/02/07","173.64"	
"2016/02/08","173.64"	
"2016/02/09","173.64"	
"2016/02/10","173.64"	
"2016/02/11","170.64"	
"2016/02/12","168.76"	
"2016/02/13","168.76"	
"2016/02/14","168.76"	
"2016/02/15","171.48"	
"2016/02/16","172.13"	
"2016/02/17","172.32"	
"2016/02/18","173.71"	
"2016/02/19","173.25"	
"2016/02/20","173.25"	
"2016/02/21","173.25"	
"2016/02/22","174.13"	
"2016/02/23","173.55"	
"2016/02/24","172.69"	
"2016/02/25","173.15"	
"2016/02/26","173.88"	
"2016/02/27","173.88"	
"2016/02/28","173.88"	
"2016/02/29","173.45"	
"2016/03/01","174.83"	
"2016/03/02","176.72"	
"2016/03/03","177.34"	
"2016/03/04","178.04"	
"2016/03/05","178.04"	
"2016/03/06","178.04"	
"2016/03/07","177.75"	
"2016/03/08","177.22"	
"2016/03/09","176.91"	
"2016/03/10","176.97"	
"2016/03/11","178.42"	
"2016/03/12","178.42"	
"2016/03/13","178.42"	
"2016/03/14","179.33"	
"2016/03/15","178.63"	
"2016/03/16","178.51"	
"2016/03/17","180.33"	
"2016/03/18","180.7"	
"2016/03/19","180.7"	
"2016/03/20","180.7"	
"2016/03/21","180.64"	
"2016/03/22","180.95"	
"2016/03/23","180.35"	
"2016/03/24","179.48"	
"2016/03/25","179.48"	
"2016/03/26","179.48"	
"2016/03/27","179.48"	
"2016/03/28","179.48"	
"2016/03/29","180.34"	
"2016/03/30","181.78"	
"2016/03/31","181.58"	
"2016/04/01","179.98"	
"2016/04/02","179.98"	
"2016/04/03","179.98"	
"2016/04/04","179.98"	
"2016/04/05","178.9"	
"2016/04/06","179.21"	
"2016/04/07","179.48"	
"2016/04/08","180.06"	
"2016/04/09","180.06"	
"2016/04/10","180.06"	
"2016/04/11","180.45"	
"2016/04/12","180.75"	
"2016/04/13","183.02"	
"2016/04/14","183.83"	
"2016/04/15","183.63"	
"2016/04/16","183.63"	
"2016/04/17","183.63"	
"2016/04/18","183.06"	
