"基金名稱","亞洲股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2012/01/01","168.04"	
"2012/01/02","168.04"	
"2012/01/03","171.58"	
"2012/01/04","172.68"	
"2012/01/05","170.8"	
"2012/01/06","168.8"	
"2012/01/07","168.8"	
"2012/01/08","168.8"	
"2012/01/09","168.27"	
"2012/01/10","171.47"	
"2012/01/11","171.84"	
"2012/01/12","172.17"	
"2012/01/13","173.27"	
"2012/01/14","173.27"	
"2012/01/15","173.27"	
"2012/01/16","171.08"	
"2012/01/17","174.94"	
"2012/01/18","175.37"	
"2012/01/19","176.92"	
"2012/01/20","178.67"	
"2012/01/21","178.67"	
"2012/01/22","178.67"	
"2012/01/23","178.67"	
"2012/01/24","178.67"	
"2012/01/25","178.67"	
"2012/01/26","178.58"	
"2012/01/27","182.44"	
"2012/01/28","182.44"	
"2012/01/29","182.44"	
"2012/01/30","181.34"	
"2012/01/31","183.08"	
"2012/02/01","183.12"	
"2012/02/02","185.13"	
"2012/02/03","184.98"	
"2012/02/04","184.98"	
"2012/02/05","184.98"	
"2012/02/06","185.04"	
"2012/02/07","185.56"	
"2012/02/08","187.61"	
"2012/02/09","187.58"	
"2012/02/10","184.42"	
"2012/02/11","184.42"	
"2012/02/12","184.42"	
"2012/02/13","186.64"	
"2012/02/14","185.31"	
"2012/02/15","187.6"	
"2012/02/16","183.88"	
"2012/02/17","185.97"	
"2012/02/18","185.97"	
"2012/02/19","185.97"	
"2012/02/20","188.2"	
"2012/02/21","188.61"	
"2012/02/22","188.41"	
"2012/02/23","187.25"	
"2012/02/24","188.14"	
"2012/02/25","188.14"	
"2012/02/26","188.14"	
"2012/02/27","186.37"	
"2012/02/28","187.81"	
"2012/02/29","191.09"	
"2012/03/01","189.84"	
"2012/03/02","190.21"	
"2012/03/03","190.21"	
"2012/03/04","190.21"	
"2012/03/05","188.08"	
"2012/03/06","184.62"	
"2012/03/07","182.13"	
"2012/03/08","185.35"	
"2012/03/09","186.82"	
"2012/03/10","186.82"	
"2012/03/11","186.82"	
"2012/03/12","184.58"	
"2012/03/13","187.28"	
"2012/03/14","188.22"	
"2012/03/15","188.91"	
"2012/03/16","188.88"	
"2012/03/17","188.88"	
"2012/03/18","188.88"	
"2012/03/19","189.86"	
"2012/03/20","188.12"	
"2012/03/21","186.98"	
"2012/03/22","186.97"	
"2012/03/23","187.3"	
"2012/03/24","187.3"	
"2012/03/25","187.3"	
"2012/03/26","186.82"	
"2012/03/27","189.52"	
"2012/03/28","189.31"	
"2012/03/29","187.47"	
"2012/03/30","188.21"	
"2012/03/31","188.21"	
"2012/04/01","188.21"	
"2012/04/02","189.02"	
"2012/04/03","190.21"	
"2012/04/04","190.21"	
"2012/04/05","187.39"	
"2012/04/06","187.39"	
"2012/04/07","187.39"	
"2012/04/08","187.39"	
"2012/04/09","187.39"	
"2012/04/10","184.55"	
"2012/04/11","183.94"	
"2012/04/12","185.69"	
"2012/04/13","187.55"	
"2012/04/14","187.55"	
"2012/04/15","187.55"	
"2012/04/16","186.04"	
"2012/04/17","185.31"	
"2012/04/18","187.52"	
"2012/04/19","187.71"	
"2012/04/20","186.73"	
"2012/04/21","186.73"	
"2012/04/22","186.73"	
"2012/04/23","185.16"	
"2012/04/24","185.53"	
"2012/04/25","186.1"	
"2012/04/26","187.26"	
"2012/04/27","187.92"	
"2012/04/28","187.92"	
"2012/04/29","187.92"	
"2012/04/30","189.03"	
"2012/05/01","189.03"	
"2012/05/02","190.06"	
"2012/05/03","189.05"	
"2012/05/04","186.76"	
"2012/05/05","186.76"	
"2012/05/06","186.76"	
"2012/05/07","182.46"	
"2012/05/08","182.61"	
"2012/05/09","179.73"	
"2012/05/10","180.51"	
"2012/05/11","178.64"	
"2012/05/12","178.64"	
"2012/05/13","178.64"	
"2012/05/14","177.95"	
"2012/05/15","177.34"	
"2012/05/16","171.97"	
"2012/05/17","172.52"	
"2012/05/18","167.05"	
"2012/05/19","167.05"	
"2012/05/20","167.05"	
"2012/05/21","168.01"	
"2012/05/22","170.7"	
"2012/05/23","166.85"	
"2012/05/24","166.74"	
"2012/05/25","165.65"	
"2012/05/26","165.65"	
"2012/05/27","165.65"	
"2012/05/28","167.09"	
"2012/05/29","169.83"	
"2012/05/30","167.98"	
"2012/05/31","167.25"	
"2012/06/01","165.03"	
"2012/06/02","165.03"	
"2012/06/03","165.03"	
"2012/06/04","161.45"	
"2012/06/05","163.58"	
"2012/06/06","165.74"	
"2012/06/07","168.68"	
"2012/06/08","166.46"	
"2012/06/09","166.46"	
"2012/06/10","166.46"	
"2012/06/11","169.54"	
"2012/06/12","168.32"	
"2012/06/13","169.76"	
"2012/06/14","168.94"	
"2012/06/15","169.79"	
"2012/06/16","169.79"	
"2012/06/17","169.79"	
"2012/06/18","173.08"	
"2012/06/19","173.67"	
"2012/06/20","174.66"	
"2012/06/21","171.89"	
"2012/06/22","168.94"	
"2012/06/23","168.94"	
"2012/06/24","168.94"	
