Date,65歲後基金_Price,大中華股票基金_Price,中港動態資產配置基金_Price,中港基金_Price,日本股票基金_Price,北美股票基金_Price,全球基金_Price,均衡組合_Price,亞洲股票基金_Price,亞洲債券基金_Price,亞歐基金_Price,美洲基金_Price,香港股票基金_Price,核心累積基金_Price,基金經理精選退休基金_Price,強積金保守基金_Price,富達增長基金_Price,富達穩定資本基金_Price,富達穩定增長基金_Price,綠色退休基金_Price,增長組合_Price,歐洲股票基金_Price,環球債券基金_Price,穩定資本組合_Price
1/12/2000,,,,,,,,100,,,,,,,,100,,,,,100,,,100
2/12/2000,,,,,,,,100,,,,,,,,100,,,,,100,,,100
3/12/2000,,,,,,,,100,,,,,,,,100,,,,,100,,,100
4/12/2000,,,,,,,,99.89,,,,,,,,100.03,,,,,99.9,,,99.89
5/12/2000,,,,,,,,100.56,,,,,,,,100.05,,,,,101,,,100.29
6/12/2000,,,,,,,,101.04,,,,,,,,100.06,,,,,101.63,,,100.7
7/12/2000,,,,,,,,100.98,,,,,,,,100.07,,,,,101.35,,,100.76
8/12/2000,,,,,,,,101.22,,,,,,,,100.09,,,,,101.83,,,100.85
9/12/2000,,,,,,,,101.67,,,,,,,,100.13,,,,,102.66,,,101.1
10/12/2000,,,,,,,,101.67,,,,,,,,100.13,,,,,102.66,,,101.1
11/12/2000,,,,,,,,101.67,,,,,,,,100.13,,,,,102.66,,,101.1
12/12/2000,,,,,,,,101.41,,,,,,,,100.14,,,,,102.33,,,100.88
13/12/2000,,,,,,,,101.62,,,,,,,,100.15,,,,,102.59,,,101.06
14/12/2000,,,,,,,,101.43,,,,,,,,100.16,,,,,101.91,,,101.14
15/12/2000,,,,,,,,100.58,,,,,,,,100.18,,,,,100.24,,,100.74
16/12/2000,,,,,,,,100.62,,,,,,,,100.22,,,,,100.25,,,100.8
17/12/2000,,,,,,,,100.62,,,,,,,,100.22,,,,,100.25,,,100.8
18/12/2000,,,,,,,,100.62,,,,,,,,100.22,,,,,100.25,,,100.8
19/12/2000,,,,,,,,100.4,,,,,,,,100.23,,,,,99.9,,,100.64
20/12/2000,,,,,,,,100.06,,,,,,,,100.24,,,,,99.15,,,100.51
21/12/2000,,,,,,,,99.83,,,,,,,,100.25,,,,,98.7,,,100.4
22/12/2000,,,,,,,,100.22,,,,,,,,100.26,,,,,99.25,,,100.69
23/12/2000,,,,,,,,100.74,,,,,,,,100.33,,,,,100.14,,,100.98
24/12/2000,,,,,,,,100.74,,,,,,,,100.33,,,,,100.14,,,100.98
25/12/2000,,,,,,,,100.74,,,,,,,,100.33,,,,,100.14,,,100.98
26/12/2000,,,,,,,,100.74,,,,,,,,100.33,,,,,100.14,,,100.98
27/12/2000,,,,,,,,100.74,,,,,,,,100.33,,,,,100.14,,,100.98
28/12/2000,,,,,,,,100.76,,,,,,,,100.34,,,,,100.29,,,100.92
29/12/2000,,,,,,,,101.12,,,,,,,,100.36,,,,,100.7,,,101.24
30/12/2000,,,,,,,,100.95,,,,,,,,100.41,,,,,100.06,,,101.31
31/12/2000,,,,,,,,100.95,,,,,,,,100.41,,,,,100.06,,,101.31
1/1/2001,,,,,,,,100.95,,,,,,,,100.41,,,,,100.06,,,101.31
2/1/2001,,,,,,,,100.95,,,,,,,,100.41,,,,,100.06,,,101.31
3/1/2001,,,,,,,,101.11,,,,,,,,100.42,,,,,100.29,,,101.45
4/1/2001,,,,,,,,101.99,,,,,,,,100.43,,,,,101.66,,,102.02
5/1/2001,,,,,,,,102.35,,,,,,,,100.45,,,,,102,,,102.4
6/1/2001,,,,,,,,102.33,,,,,,,,100.48,,,,,101.85,,,102.46
7/1/2001,,,,,,,,102.33,,,,,,,,100.48,,,,,101.85,,,102.46
8/1/2001,,,,,,,,102.33,,,,,,,,100.48,,,,,101.85,,,102.46
9/1/2001,,,,,,,,101.97,,,,,,,,100.49,,,,,101.43,,,102.14
10/1/2001,,,,,,,,101.75,,,,,,,,100.51,,,,,101.14,,,101.96
11/1/2001,,,,,,,,101.45,,,,,,,,100.52,,,,,100.55,,,101.8
12/1/2001,,,,,,,,101.52,,,,,,,,100.53,,,,,100.9,,,101.72
13/1/2001,,,,,,,,101.35,,,,,,,,100.57,,,,,100.79,,,101.52
14/1/2001,,,,,,,,101.35,,,,,,,,100.57,,,,,100.79,,,101.52
15/1/2001,,,,,,,,101.35,,,,,,,,100.57,,,,,100.79,,,101.52
16/1/2001,,,,,,,,101.57,,,,,,,,100.58,,,,,101.19,,,101.64
17/1/2001,,,,,,,,101.7,,,,,,,,100.59,,,,,101.52,,,101.66
18/1/2001,,,,,,,,102.62,,,,,,,,100.6,,,,,102.79,,,102.38
