Date,中港基金_Price
2011/09/23,100.0
2011/09/24,100.0
2011/09/25,100.0
2011/09/26,100.0
2011/09/27,100.0
2011/09/28,99.88
2011/09/29,99.88
2011/09/30,97.68
2011/10/01,97.68
2011/10/02,97.68
2011/10/03,94.18
2011/10/04,91.75
2011/10/05,91.75
2011/10/06,95.99
2011/10/07,98.44
2011/10/08,98.44
2011/10/09,98.44
2011/10/10,98.49
2011/10/11,100.75
2011/10/12,101.87
2011/10/13,104.08
2011/10/14,102.39
2011/10/15,102.39
2011/10/16,102.39
2011/10/17,104.67
2011/10/18,99.05
2011/10/19,100.39
2011/10/20,98.9
2011/10/21,99.17
2011/10/22,99.17
2011/10/23,99.17
2011/10/24,102.83
2011/10/25,103.76
2011/10/26,104.81
2011/10/27,108.39
2011/10/28,110.03
2011/10/29,110.03
2011/10/30,110.03
2011/10/31,107.04
2011/11/01,106.28
2011/11/02,108.44
2011/11/03,105.48
2011/11/04,109.13
2011/11/05,109.13
2011/11/06,109.13
2011/11/07,108.24
2011/11/08,108.54
2011/11/09,109.95
2011/11/10,105.06
2011/11/11,106.1
2011/11/12,106.1
2011/11/13,106.1
2011/11/14,108.16
2011/11/15,106.99
2011/11/16,104.83
2011/11/17,104.19
2011/11/18,102.51
2011/11/19,102.51
2011/11/20,102.51
2011/11/21,101.08
2011/11/22,101.17
2011/11/23,99.04
2011/11/24,99.64
2011/11/25,98.17
2011/11/26,98.17
2011/11/27,98.17
2011/11/28,100.17
2011/11/29,101.13
2011/11/30,99.68
2011/12/01,104.97
2011/12/02,105.36
2011/12/03,105.36
2011/12/04,105.36
2011/12/05,105.95
2011/12/06,104.54
2011/12/07,106.29
2011/12/08,105.57
2011/12/09,102.37
2011/12/10,102.37
2011/12/11,102.37
2011/12/12,102.28
2011/12/13,101.75
2011/12/14,101.07
2011/12/15,99.37
2011/12/16,100.68
2011/12/17,100.68
2011/12/18,100.68
2011/12/19,99.71
2011/12/20,99.75
2011/12/21,101.49
2011/12/22,101.36
2011/12/23,102.95
2011/12/24,102.95
2011/12/25,102.95
2011/12/26,102.95
2011/12/27,102.95
2011/12/28,102.14
2011/12/29,101.54
2011/12/30,101.73
2011/12/31,101.73
2012/01/01,101.73
2012/01/02,101.73
2012/01/03,104.27
2012/01/04,103.47
2012/01/05,104.02
2012/01/06,102.54
2012/01/07,102.54
2012/01/08,102.54
2012/01/09,104.46
2012/01/10,105.18
2012/01/11,106.19
2012/01/12,105.93
2012/01/13,106.56
2012/01/14,106.56
2012/01/15,106.56
2012/01/16,105.34
2012/01/17,108.77
2012/01/18,109.01
2012/01/19,110.51
2012/01/20,110.96
2012/01/21,110.96
2012/01/22,110.96
2012/01/23,110.96
2012/01/24,110.96
2012/01/25,110.96
2012/01/26,112.93
2012/01/27,113.48
2012/01/28,113.48
2012/01/29,113.48
2012/01/30,111.08
2012/01/31,112.0
2012/02/01,112.13
2012/02/02,114.24
2012/02/03,114.26
2012/02/04,114.26
2012/02/05,114.26
2012/02/06,114.2
2012/02/07,113.89
2012/02/08,115.67
2012/02/09,115.58
2012/02/10,114.0
2012/02/11,114.0
2012/02/12,114.0
2012/02/13,114.81
2012/02/14,114.67
2012/02/15,117.23
2012/02/16,116.38
2012/02/17,117.5
2012/02/18,117.5
2012/02/19,117.5
2012/02/20,117.23
2012/02/21,117.45
2012/02/22,118.11
2012/02/23,117.28
2012/02/24,117.03
2012/02/25,117.03
2012/02/26,117.03
2012/02/27,116.11
2012/02/28,118.13
2012/02/29,118.36
2012/03/01,116.88
2012/03/02,118.0
2012/03/03,118.0
2012/03/04,118.0
2012/03/05,115.52
2012/03/06,113.44
2012/03/07,112.37
2012/03/08,113.91
2012/03/09,114.91
2012/03/10,114.91
2012/03/11,114.91
2012/03/12,115.08
2012/03/13,116.18
2012/03/14,116.06
2012/03/15,116.17
2012/03/16,116.13
2012/03/17,116.13
2012/03/18,116.13
2012/03/19,114.71
2012/03/20,113.54
2012/03/21,113.35
2012/03/22,113.35
