Date,亞歐基金_Price
2011/09/23,100.0
2011/09/24,100.0
2011/09/25,100.0
2011/09/26,100.0
2011/09/27,99.97
2011/09/28,99.97
2011/09/29,99.97
2011/09/30,99.99
2011/10/01,99.99
2011/10/02,99.99
2011/10/03,97.98
2011/10/04,99.22
2011/10/05,99.22
2011/10/06,102.42
2011/10/07,101.87
2011/10/08,101.87
2011/10/09,101.87
2011/10/10,104.49
2011/10/11,104.39
2011/10/12,105.17
2011/10/13,105.18
2011/10/14,105.75
2011/10/15,105.75
2011/10/16,105.75
2011/10/17,103.56
2011/10/18,104.88
2011/10/19,103.32
2011/10/20,103.56
2011/10/21,105.62
2011/10/22,105.62
2011/10/23,105.62
2011/10/24,107.16
2011/10/25,106.05
2011/10/26,107.28
2011/10/27,111.94
2011/10/28,112.01
2011/10/29,112.01
2011/10/30,112.01
2011/10/31,109.93
2011/11/01,108.93
2011/11/02,110.06
2011/11/03,111.47
2011/11/04,111.12
2011/11/05,111.12
2011/11/06,111.12
2011/11/07,111.28
2011/11/08,112.23
2011/11/09,108.79
2011/11/10,108.76
2011/11/11,111.08
2011/11/12,111.08
2011/11/13,111.08
2011/11/14,109.79
2011/11/15,109.35
2011/11/16,107.38
2011/11/17,106.38
2011/11/18,106.43
2011/11/19,106.43
2011/11/20,106.43
2011/11/21,104.19
2011/11/22,103.99
2011/11/23,101.59
2011/11/24,101.69
2011/11/25,101.12
2011/11/26,101.12
2011/11/27,101.12
2011/11/28,104.87
2011/11/29,105.61
2011/11/30,109.07
2011/12/01,109.44
2011/12/02,109.45
2011/12/03,109.45
2011/12/04,109.45
2011/12/05,110.5
2011/12/06,109.88
2011/12/07,110.78
2011/12/08,107.89
2011/12/09,109.37
2011/12/10,109.37
2011/12/11,109.37
2011/12/12,106.96
2011/12/13,105.76
2011/12/14,104.67
2011/12/15,104.8
2011/12/16,104.71
2011/12/17,104.71
2011/12/18,104.71
2011/12/19,103.77
2011/12/20,105.58
2011/12/21,105.46
2011/12/22,106.06
2011/12/23,106.91
2011/12/24,106.91
2011/12/25,106.91
2011/12/26,106.91
2011/12/27,106.91
2011/12/28,104.89
2011/12/29,106.76
2011/12/30,107.2
2011/12/31,107.2
2012/01/01,107.2
2012/01/02,107.2
2012/01/03,110.02
2012/01/04,109.36
2012/01/05,108.18
2012/01/06,106.73
2012/01/07,106.73
2012/01/08,106.73
2012/01/09,107.43
2012/01/10,108.75
2012/01/11,108.7
2012/01/12,108.97
2012/01/13,108.15
2012/01/14,108.15
2012/01/15,108.15
2012/01/16,107.93
2012/01/17,109.42
2012/01/18,110.72
2012/01/19,112.08
2012/01/20,112.61
2012/01/21,112.61
2012/01/22,112.61
2012/01/23,112.61
2012/01/24,112.61
2012/01/25,112.61
2012/01/26,113.64
2012/01/27,113.87
2012/01/28,113.87
2012/01/29,113.87
2012/01/30,112.22
2012/01/31,112.92
2012/02/01,113.88
2012/02/02,114.27
2012/02/03,116.2
2012/02/04,116.2
2012/02/05,116.2
2012/02/06,115.65
2012/02/07,116.1
2012/02/08,116.69
2012/02/09,116.89
2012/02/10,115.01
2012/02/11,115.01
2012/02/12,115.01
2012/02/13,115.97
2012/02/14,115.41
2012/02/15,116.04
2012/02/16,117.09
2012/02/17,117.7
2012/02/18,117.7
2012/02/19,117.7
2012/02/20,117.65
2012/02/21,117.76
2012/02/22,117.46
2012/02/23,118.12
2012/02/24,118.61
2012/02/25,118.61
2012/02/26,118.61
2012/02/27,117.96
2012/02/28,119.27
2012/02/29,118.11
2012/03/01,118.78
2012/03/02,118.12
2012/03/03,118.12
2012/03/04,118.12
2012/03/05,117.14
2012/03/06,113.82
2012/03/07,114.67
2012/03/08,116.76
2012/03/09,116.61
2012/03/10,116.61
2012/03/11,116.61
2012/03/12,116.43
2012/03/13,118.2
2012/03/14,117.38
2012/03/15,118.4
2012/03/16,119.08
2012/03/17,119.08
2012/03/18,119.08
2012/03/19,119.25
2012/03/20,117.99
2012/03/21,117.39
2012/03/22,116.76
