Date,亞洲債券基金_Price
2011/09/23,100.0
2011/09/24,100.0
2011/09/25,100.0
2011/09/26,100.0
2011/09/27,100.0
2011/09/28,99.86
2011/09/29,99.86
2011/09/30,99.44
2011/10/01,99.44
2011/10/02,99.44
2011/10/03,99.39
2011/10/04,99.34
2011/10/05,99.34
2011/10/06,99.62
2011/10/07,99.89
2011/10/08,99.89
2011/10/09,99.89
2011/10/10,100.28
2011/10/11,100.11
2011/10/12,100.49
2011/10/13,100.4
2011/10/14,100.86
2011/10/15,100.86
2011/10/16,100.86
2011/10/17,100.77
2011/10/18,100.69
2011/10/19,100.95
2011/10/20,100.61
2011/10/21,100.7
2011/10/22,100.7
2011/10/23,100.7
2011/10/24,100.91
2011/10/25,101.02
2011/10/26,100.92
2011/10/27,101.6
2011/10/28,101.69
2011/10/29,101.69
2011/10/30,101.69
2011/10/31,101.61
2011/11/01,101.17
2011/11/02,101.25
2011/11/03,101.14
2011/11/04,101.48
2011/11/05,101.48
2011/11/06,101.48
2011/11/07,101.39
2011/11/08,101.48
2011/11/09,101.21
2011/11/10,101.03
2011/11/11,101.2
2011/11/12,101.2
2011/11/13,101.2
2011/11/14,101.11
2011/11/15,101.11
2011/11/16,101.11
2011/11/17,101.01
2011/11/18,100.91
2011/11/19,100.91
2011/11/20,100.91
2011/11/21,100.54
2011/11/22,100.54
2011/11/23,100.34
2011/11/24,100.25
2011/11/25,100.06
2011/11/26,100.06
2011/11/27,100.06
2011/11/28,100.45
2011/11/29,100.64
2011/11/30,101.13
2011/12/01,101.21
2011/12/02,101.3
2011/12/03,101.3
2011/12/04,101.3
2011/12/05,101.39
2011/12/06,101.39
2011/12/07,101.39
2011/12/08,101.19
2011/12/09,100.98
2011/12/10,100.98
2011/12/11,100.98
2011/12/12,100.78
2011/12/13,100.6
2011/12/14,100.33
2011/12/15,100.33
2011/12/16,100.52
2011/12/17,100.52
2011/12/18,100.52
2011/12/19,100.34
2011/12/20,100.7
2011/12/21,100.8
2011/12/22,100.8
2011/12/23,100.8
2011/12/24,100.8
2011/12/25,100.8
2011/12/26,100.8
2011/12/27,100.8
2011/12/28,100.52
2011/12/29,100.52
2011/12/30,100.89
2011/12/31,100.89
2012/01/01,100.89
2012/01/02,100.89
2012/01/03,101.17
2012/01/04,101.08
2012/01/05,100.8
2012/01/06,100.8
2012/01/07,100.8
2012/01/08,100.8
2012/01/09,100.8
2012/01/10,101.1
2012/01/11,101.1
2012/01/12,101.19
2012/01/13,101.19
2012/01/14,101.19
2012/01/15,101.19
2012/01/16,101.38
2012/01/17,101.57
2012/01/18,101.86
2012/01/19,101.95
2012/01/20,101.95
2012/01/21,101.95
2012/01/22,101.95
2012/01/23,101.95
2012/01/24,101.95
2012/01/25,101.95
2012/01/26,102.75
2012/01/27,102.93
2012/01/28,102.93
2012/01/29,102.93
2012/01/30,102.84
2012/01/31,103.2
2012/02/01,103.38
2012/02/02,103.57
2012/02/03,103.66
2012/02/04,103.66
2012/02/05,103.66
2012/02/06,103.38
2012/02/07,103.38
2012/02/08,103.38
2012/02/09,103.38
2012/02/10,102.99
2012/02/11,102.99
2012/02/12,102.99
2012/02/13,103.09
2012/02/14,102.91
2012/02/15,102.99
2012/02/16,102.9
2012/02/17,103.0
2012/02/18,103.0
2012/02/19,103.0
2012/02/20,103.19
2012/02/21,103.1
2012/02/22,102.92
2012/02/23,103.1
2012/02/24,103.2
2012/02/25,103.2
2012/02/26,103.2
2012/02/27,103.1
2012/02/28,103.39
2012/02/29,103.62
2012/03/01,103.42
2012/03/02,103.32
2012/03/03,103.32
2012/03/04,103.32
2012/03/05,103.03
2012/03/06,102.75
2012/03/07,102.84
2012/03/08,103.11
2012/03/09,103.1
2012/03/10,103.1
2012/03/11,103.1
2012/03/12,102.82
2012/03/13,102.91
2012/03/14,102.24
2012/03/15,102.14
2012/03/16,102.33
2012/03/17,102.33
2012/03/18,102.33
2012/03/19,102.42
2012/03/20,102.04
2012/03/21,101.84
