Date,亞洲股票基金_Price
2004/12/01,100.0
2004/12/02,99.99
2004/12/03,99.95
2004/12/04,99.95
2004/12/05,99.95
2004/12/06,99.96
2004/12/07,99.81
2004/12/08,98.56
2004/12/09,97.95
2004/12/10,97.47
2004/12/11,97.47
2004/12/12,97.47
2004/12/13,98.12
2004/12/14,98.79
2004/12/15,100.31
2004/12/16,100.32
2004/12/17,100.81
2004/12/18,100.81
2004/12/19,100.81
2004/12/20,101.37
2004/12/21,101.61
2004/12/22,101.9
2004/12/23,102.18
2004/12/24,102.75
2004/12/25,102.75
2004/12/26,102.75
2004/12/27,102.75
2004/12/28,102.66
2004/12/29,103.16
2004/12/30,103.72
2004/12/31,104.32
2005/01/01,104.32
2005/01/02,104.32
2005/01/03,104.41
2005/01/04,103.58
2005/01/05,102.88
2005/01/06,102.14
2005/01/07,102.47
2005/01/08,102.47
2005/01/09,102.47
2005/01/10,102.43
2005/01/11,103.16
2005/01/12,103.47
2005/01/13,103.81
2005/01/14,103.8
2005/01/15,103.8
2005/01/16,103.8
2005/01/17,104.81
2005/01/18,104.42
2005/01/19,104.41
2005/01/20,103.88
2005/01/21,104.23
2005/01/22,104.23
2005/01/23,104.23
2005/01/24,104.52
2005/01/25,104.4
2005/01/26,104.39
2005/01/27,106.07
2005/01/28,106.15
2005/01/29,106.15
2005/01/30,106.15
2005/01/31,106.62
2005/02/01,106.73
2005/02/02,107.04
2005/02/03,107.03
2005/02/04,107.33
2005/02/05,107.33
2005/02/06,107.33
2005/02/07,108.06
2005/02/08,107.39
2005/02/09,107.39
2005/02/10,107.39
2005/02/11,107.39
2005/02/12,107.39
2005/02/13,107.39
2005/02/14,109.34
2005/02/15,109.3
2005/02/16,109.09
2005/02/17,109.32
2005/02/18,109.7
2005/02/19,109.7
2005/02/20,109.7
2005/02/21,109.89
2005/02/22,110.38
2005/02/23,109.53
2005/02/24,109.83
2005/02/25,110.54
2005/02/26,110.54
2005/02/27,110.54
2005/02/28,112.11
2005/03/01,111.98
2005/03/02,110.94
2005/03/03,111.59
2005/03/04,112.1
2005/03/05,112.1
2005/03/06,112.1
2005/03/07,112.58
2005/03/08,112.78
2005/03/09,112.79
2005/03/10,112.0
2005/03/11,112.56
2005/03/12,112.56
2005/03/13,112.56
2005/03/14,111.92
2005/03/15,110.96
2005/03/16,111.63
2005/03/17,111.22
2005/03/18,111.26
2005/03/19,111.26
2005/03/20,111.26
2005/03/21,110.93
2005/03/22,110.25
2005/03/23,107.92
2005/03/24,106.99
2005/03/25,106.99
2005/03/26,106.99
2005/03/27,106.99
2005/03/28,106.99
2005/03/29,105.54
2005/03/30,105.26
2005/03/31,106.65
2005/04/01,107.76
2005/04/02,107.76
2005/04/03,107.76
2005/04/04,106.8
2005/04/05,106.8
2005/04/06,106.87
2005/04/07,107.48
2005/04/08,108.12
2005/04/09,108.12
2005/04/10,108.12
2005/04/11,108.12
2005/04/12,108.03
2005/04/13,108.5
2005/04/14,106.33
2005/04/15,104.83
2005/04/16,104.83
2005/04/17,104.83
2005/04/18,102.83
2005/04/19,103.86
2005/04/20,104.32
2005/04/21,104.32
2005/04/22,104.94
2005/04/23,104.94
2005/04/24,104.94
2005/04/25,104.95
2005/04/26,104.99
2005/04/27,104.46
2005/04/28,104.54
2005/04/29,104.25
2005/04/30,104.25
2005/05/01,104.25
2005/05/02,104.25
2005/05/03,103.98
2005/05/04,104.67
2005/05/05,105.37
2005/05/06,106.23
2005/05/07,106.23
2005/05/08,106.23
