Date,全球基金_Price
2007/12/01,100.0
2007/12/02,100.0
2007/12/03,100.0
2007/12/04,100.0
2007/12/05,100.47
2007/12/06,101.22
2007/12/07,101.1
2007/12/08,101.1
2007/12/09,101.1
2007/12/10,101.57
2007/12/11,99.36
2007/12/12,100.13
2007/12/13,99.46
2007/12/14,97.83
2007/12/15,97.83
2007/12/16,97.83
2007/12/17,95.93
2007/12/18,97.02
2007/12/19,96.77
2007/12/20,97.51
2007/12/21,99.1
2007/12/22,99.1
2007/12/23,99.1
2007/12/24,98.96
2007/12/25,98.96
2007/12/26,98.96
2007/12/27,98.6
2007/12/28,98.67
2007/12/29,98.67
2007/12/30,98.67
2007/12/31,98.09
2008/01/01,98.09
2008/01/02,97.28
2008/01/03,97.45
2008/01/04,94.94
2008/01/05,94.94
2008/01/06,94.94
2008/01/07,94.93
2008/01/08,94.12
2008/01/09,95.36
2008/01/10,96.07
2008/01/11,94.5
2008/01/12,94.5
2008/01/13,94.5
2008/01/14,95.55
2008/01/15,92.82
2008/01/16,91.32
2008/01/17,88.87
2008/01/18,89.04
2008/01/19,89.04
2008/01/20,89.04
2008/01/21,89.05
2008/01/22,87.54
2008/01/23,88.63
2008/01/24,90.46
2008/01/25,89.1
2008/01/26,89.1
2008/01/27,89.1
2008/01/28,90.62
2008/01/29,91.24
2008/01/30,90.95
2008/01/31,92.24
2008/02/01,93.52
2008/02/02,93.52
2008/02/03,93.52
2008/02/04,92.77
2008/02/05,89.34
2008/02/06,88.88
2008/02/07,88.88
2008/02/08,88.88
2008/02/09,88.88
2008/02/10,88.88
2008/02/11,89.86
2008/02/12,90.87
2008/02/13,92.14
2008/02/14,91.13
2008/02/15,91.06
2008/02/16,91.06
2008/02/17,91.06
2008/02/18,91.07
2008/02/19,91.73
2008/02/20,92.48
2008/02/21,91.8
2008/02/22,92.74
2008/02/23,92.74
2008/02/24,92.74
2008/02/25,94.0
2008/02/26,95.0
2008/02/27,95.3
2008/02/28,94.58
2008/02/29,91.77
2008/03/01,91.77
2008/03/02,91.77
2008/03/03,92.12
2008/03/04,91.23
2008/03/05,92.25
2008/03/06,90.15
2008/03/07,89.16
2008/03/08,89.16
2008/03/09,89.16
2008/03/10,87.91
2008/03/11,91.23
2008/03/12,90.89
2008/03/13,91.21
2008/03/14,89.3
2008/03/15,89.3
2008/03/16,89.3
2008/03/17,87.71
2008/03/18,91.2
2008/03/19,87.99
2008/03/20,89.37
2008/03/21,89.37
2008/03/22,89.37
2008/03/23,89.37
2008/03/24,89.37
2008/03/25,91.87
2008/03/26,91.42
2008/03/27,91.14
2008/03/28,90.64
2008/03/29,90.64
2008/03/30,90.64
2008/03/31,91.15
2008/04/01,94.32
2008/04/02,94.48
2008/04/03,94.79
2008/04/04,94.79
2008/04/05,94.79
2008/04/06,94.79
2008/04/07,95.33
2008/04/08,94.94
2008/04/09,94.1
2008/04/10,94.27
2008/04/11,92.73
2008/04/12,92.73
2008/04/13,92.73
2008/04/14,92.69
2008/04/15,93.33
2008/04/16,95.57
2008/04/17,95.55
2008/04/18,96.63
2008/04/19,96.63
2008/04/20,96.63
2008/04/21,97.14
2008/04/22,96.44
2008/04/23,96.53
2008/04/24,96.23
2008/04/25,96.6
2008/04/26,96.6
2008/04/27,96.6
2008/04/28,96.74
2008/04/29,95.59
2008/04/30,96.37
