Date,均衡組合_Price
2000/12/01,100.0
2000/12/02,100.0
2000/12/03,100.0
2000/12/04,99.89
2000/12/05,100.56
2000/12/06,101.04
2000/12/07,100.98
2000/12/08,101.22
2000/12/09,101.67
2000/12/10,101.67
2000/12/11,101.67
2000/12/12,101.41
2000/12/13,101.62
2000/12/14,101.43
2000/12/15,100.58
2000/12/16,100.62
2000/12/17,100.62
2000/12/18,100.62
2000/12/19,100.4
2000/12/20,100.06
2000/12/21,99.83
2000/12/22,100.22
2000/12/23,100.74
2000/12/24,100.74
2000/12/25,100.74
2000/12/26,100.74
2000/12/27,100.74
2000/12/28,100.76
2000/12/29,101.12
2000/12/30,100.95
2000/12/31,100.95
2001/01/01,100.95
2001/01/02,100.95
2001/01/03,101.11
2001/01/04,101.99
2001/01/05,102.35
2001/01/06,102.33
2001/01/07,102.33
2001/01/08,102.33
2001/01/09,101.97
2001/01/10,101.75
2001/01/11,101.45
2001/01/12,101.52
2001/01/13,101.35
2001/01/14,101.35
2001/01/15,101.35
2001/01/16,101.57
2001/01/17,101.7
2001/01/18,102.62
2001/01/19,102.83
2001/01/20,102.93
2001/01/21,102.93
2001/01/22,102.93
2001/01/23,103.0
2001/01/24,102.71
2001/01/25,102.71
2001/01/26,102.71
2001/01/27,102.71
2001/01/28,102.71
2001/01/29,102.71
2001/01/30,102.88
2001/01/31,103.38
2001/02/01,103.78
2001/02/02,103.17
2001/02/03,102.85
2001/02/04,102.85
2001/02/05,102.85
2001/02/06,102.77
2001/02/07,102.56
2001/02/08,102.06
2001/02/09,101.91
2001/02/10,102.2
2001/02/11,102.2
2001/02/12,102.2
2001/02/13,102.09
2001/02/14,101.75
2001/02/15,101.55
2001/02/16,101.37
2001/02/17,101.32
2001/02/18,101.32
2001/02/19,101.32
2001/02/20,100.99
2001/02/21,100.57
2001/02/22,100.17
2001/02/23,100.12
2001/02/24,100.53
2001/02/25,100.53
2001/02/26,100.53
2001/02/27,100.53
2001/02/28,100.36
2001/03/01,100.01
2001/03/02,99.54
2001/03/03,99.61
2001/03/04,99.61
2001/03/05,99.61
2001/03/06,100.18
2001/03/07,100.22
2001/03/08,100.24
2001/03/09,99.74
2001/03/10,98.32
2001/03/11,98.32
2001/03/12,98.32
2001/03/13,97.65
2001/03/14,97.05
2001/03/15,97.4
2001/03/16,96.93
2001/03/17,96.92
2001/03/18,96.92
2001/03/19,96.92
2001/03/20,96.66
2001/03/21,96.4
2001/03/22,95.27
2001/03/23,95.87
2001/03/24,96.85
2001/03/25,96.85
2001/03/26,96.85
