Date,基金經理精選退休基金_Price
2008/08/01,100.0
2008/08/02,100.0
2008/08/03,100.0
2008/08/04,100.0
2008/08/05,99.93
2008/08/06,99.93
2008/08/07,99.87
2008/08/08,99.81
2008/08/09,99.81
2008/08/10,99.81
2008/08/11,99.69
2008/08/12,99.41
2008/08/13,99.23
2008/08/14,99.26
2008/08/15,98.94
2008/08/16,98.94
2008/08/17,98.94
2008/08/18,98.66
2008/08/19,98.06
2008/08/20,98.47
2008/08/21,98.15
2008/08/22,98.15
2008/08/23,98.15
2008/08/24,98.15
2008/08/25,98.38
2008/08/26,98.32
2008/08/27,98.66
2008/08/28,98.67
2008/08/29,98.92
2008/08/30,98.92
2008/08/31,98.92
2008/09/01,98.52
2008/09/02,98.32
2008/09/03,97.91
2008/09/04,97.21
2008/09/05,96.68
2008/09/06,96.68
2008/09/07,96.68
2008/09/08,97.79
2008/09/09,96.58
2008/09/10,96.35
2008/09/11,95.5
2008/09/12,95.76
2008/09/13,95.76
2008/09/14,95.76
2008/09/15,95.76
2008/09/16,95.05
2008/09/17,93.79
2008/09/18,94.22
2008/09/19,95.78
2008/09/20,95.78
2008/09/21,95.78
2008/09/22,95.69
2008/09/23,95.57
2008/09/24,95.35
2008/09/25,95.35
2008/09/26,94.95
2008/09/27,94.95
2008/09/28,94.95
2008/09/29,92.11
2008/09/30,92.79
2008/10/01,92.79
2008/10/02,91.17
2008/10/03,90.74
2008/10/04,90.74
2008/10/05,90.74
2008/10/06,88.49
2008/10/07,88.49
2008/10/08,85.01
2008/10/09,84.15
2008/10/10,81.64
2008/10/11,81.64
2008/10/12,81.64
2008/10/13,85.21
2008/10/14,86.01
2008/10/15,83.56
2008/10/16,82.57
2008/10/17,81.87
2008/10/18,81.87
2008/10/19,81.87
2008/10/20,83.74
2008/10/21,83.04
2008/10/22,80.67
2008/10/23,80.14
2008/10/24,77.97
2008/10/25,77.97
2008/10/26,77.97
2008/10/27,75.47
2008/10/28,78.22
2008/10/29,78.7
2008/10/30,81.57
2008/10/31,80.98
2008/11/01,80.98
2008/11/02,80.98
2008/11/03,81.73
2008/11/04,82.83
2008/11/05,82.94
2008/11/06,80.47
2008/11/07,81.31
2008/11/08,81.31
2008/11/09,81.31
2008/11/10,82.08
2008/11/11,80.72
2008/11/12,79.68
2008/11/13,79.83
2008/11/14,79.77
2008/11/15,79.77
2008/11/16,79.77
2008/11/17,79.17
2008/11/18,78.46
2008/11/19,77.34
2008/11/20,75.65
2008/11/21,77.08
2008/11/22,77.08
2008/11/23,77.08
2008/11/24,78.05
2008/11/25,78.9
2008/11/26,80.41
2008/11/27,80.56
2008/11/28,81.14
2008/11/29,81.14
2008/11/30,81.14
2008/12/01,79.78
2008/12/02,79.74
2008/12/03,80.57
2008/12/04,79.99
2008/12/05,80.47
2008/12/06,80.47
2008/12/07,80.47
2008/12/08,82.87
2008/12/09,82.63
2008/12/10,84.0
2008/12/11,84.02
2008/12/12,83.18
2008/12/13,83.18
2008/12/14,83.18
2008/12/15,83.77
2008/12/16,85.1
2008/12/17,86.46
2008/12/18,87.11
2008/12/19,86.05
2008/12/20,86.05
2008/12/21,86.05
2008/12/22,84.7
2008/12/23,83.74
2008/12/24,83.57
2008/12/25,83.57
2008/12/26,83.57
2008/12/27,83.57
2008/12/28,83.57
2008/12/29,84.33
2008/12/30,84.79
2008/12/31,85.28
2009/01/01,85.28
2009/01/02,86.94
2009/01/03,86.94
2009/01/04,86.94
2009/01/05,87.26
2009/01/06,86.95
2009/01/07,85.56
2009/01/08,84.75
2009/01/09,84.61
2009/01/10,84.61
2009/01/11,84.61
2009/01/12,83.33
2009/01/13,82.42
2009/01/14,81.45
2009/01/15,80.54
2009/01/16,80.98
2009/01/17,80.98
2009/01/18,80.98
2009/01/19,81.06
2009/01/20,78.89
2009/01/21,78.8
2009/01/22,78.81
2009/01/23,78.28
2009/01/24,78.28
2009/01/25,78.28
2009/01/26,78.28
2009/01/27,78.28
2009/01/28,78.28
2009/01/29,80.12
2009/01/30,79.62
2009/01/31,79.62
2009/02/01,79.62
2009/02/02,78.69
2009/02/03,79.02
2009/02/04,79.71
2009/02/05,79.89
2009/02/06,81.08
2009/02/07,81.08
2009/02/08,81.08
2009/02/09,81.4
2009/02/10,80.49
2009/02/11,80.25
2009/02/12,79.55
2009/02/13,79.91
2009/02/14,79.91
2009/02/15,79.91
2009/02/16,79.44
2009/02/17,77.68
2009/02/18,77.43
2009/02/19,77.2
2009/02/20,76.12
2009/02/21,76.12
2009/02/22,76.12
2009/02/23,76.26
2009/02/24,76.18
2009/02/25,76.26
2009/02/26,75.71
2009/02/27,75.22
2009/02/28,75.22
2009/03/01,75.22
2009/03/02,73.11
2009/03/03,72.74
2009/03/04,73.57
2009/03/05,72.95
2009/03/06,72.44
2009/03/07,72.44
2009/03/08,72.44
2009/03/09,71.81
2009/03/10,73.21
2009/03/11,73.84
2009/03/12,74.65
2009/03/13,75.54
2009/03/14,75.54
2009/03/15,75.54
2009/03/16,76.29
2009/03/17,76.78
2009/03/18,77.41
2009/03/19,78.21
2009/03/20,77.8
2009/03/21,77.8
2009/03/22,77.8
2009/03/23,80.22
2009/03/24,80.32
2009/03/25,79.98
2009/03/26,81.46
2009/03/27,80.9
2009/03/28,80.9
2009/03/29,80.9
2009/03/30,78.5
2009/03/31,79.13
2009/04/01,79.61
2009/04/02,82.36
2009/04/03,82.43
2009/04/04,82.43
2009/04/05,82.43
2009/04/06,82.89
2009/04/07,82.06
2009/04/08,81.13
2009/04/09,83.02
2009/04/10,83.02
2009/04/11,83.02
2009/04/12,83.02
2009/04/13,83.02
2009/04/14,84.27
2009/04/15,84.55
2009/04/16,84.71
2009/04/17,84.83
2009/04/18,84.83
2009/04/19,84.83
2009/04/20,84.1
2009/04/21,83.77
2009/04/22,83.17
2009/04/23,84.08
2009/04/24,84.62
2009/04/25,84.62
2009/04/26,84.62
2009/04/27,83.82
2009/04/28,82.79
2009/04/29,84.25
2009/04/30,86.16
2009/05/01,86.16
