Date,富達增長基金_Price
2010/12/01,100.0
2010/12/02,99.99
2010/12/03,99.98
2010/12/04,99.98
2010/12/05,99.98
2010/12/06,99.89
2010/12/07,100.13
2010/12/08,99.54
2010/12/09,99.92
2010/12/10,99.92
2010/12/11,99.92
2010/12/12,99.92
2010/12/13,100.6
2010/12/14,100.69
2010/12/15,99.73
2010/12/16,99.17
2010/12/17,99.26
2010/12/18,99.26
2010/12/19,99.26
2010/12/20,99.15
2010/12/21,100.07
2010/12/22,100.44
2010/12/23,100.34
2010/12/24,100.24
2010/12/25,100.24
2010/12/26,100.24
2010/12/27,100.24
2010/12/28,100.13
2010/12/29,100.61
2010/12/30,100.69
2010/12/31,100.95
2011/01/01,100.95
2011/01/02,100.95
2011/01/03,101.67
2011/01/04,102.42
2011/01/05,101.99
2011/01/06,102.16
2011/01/07,101.68
2011/01/08,101.68
2011/01/09,101.68
2011/01/10,101.3
2011/01/11,101.65
2011/01/12,102.67
2011/01/13,103.09
2011/01/14,103.09
2011/01/15,103.09
2011/01/16,103.09
2011/01/17,102.79
2011/01/18,103.25
2011/01/19,103.34
2011/01/20,101.82
2011/01/21,101.54
2011/01/22,101.54
2011/01/23,101.54
2011/01/24,101.97
2011/01/25,102.04
2011/01/26,102.35
2011/01/27,102.35
2011/01/28,101.38
2011/01/29,101.38
2011/01/30,101.38
2011/01/31,101.08
2011/02/01,101.99
2011/02/02,102.85
2011/02/03,102.85
2011/02/04,102.85
2011/02/05,102.85
2011/02/06,102.85
2011/02/07,102.64
2011/02/08,102.82
2011/02/09,102.06
2011/02/10,101.07
2011/02/11,101.36
2011/02/12,101.36
2011/02/13,101.36
2011/02/14,102.27
2011/02/15,102.08
2011/02/16,102.68
2011/02/17,103.25
2011/02/18,103.61
2011/02/19,103.61
2011/02/20,103.61
2011/02/21,103.31
2011/02/22,101.33
2011/02/23,100.76
2011/02/24,100.02
2011/02/25,101.34
2011/02/26,101.34
2011/02/27,101.34
2011/02/28,102.3
2011/03/01,102.49
2011/03/02,101.73
2011/03/03,102.48
2011/03/04,102.95
2011/03/05,102.95
2011/03/06,102.95
2011/03/07,102.16
2011/03/08,102.64
2011/03/09,102.73
2011/03/10,101.19
2011/03/11,100.61
2011/03/12,100.61
2011/03/13,100.61
2011/03/14,99.73
2011/03/15,97.08
2011/03/16,97.55
2011/03/17,97.54
2011/03/18,97.96
2011/03/19,97.96
2011/03/20,97.96
2011/03/21,99.42
2011/03/22,100.06
2011/03/23,100.05
2011/03/24,100.82
2011/03/25,101.28
2011/03/26,101.28
2011/03/27,101.28
2011/03/28,100.89
2011/03/29,100.88
2011/03/30,101.92
2011/03/31,102.01
2011/04/01,102.56
2011/04/02,102.56
2011/04/03,102.56
2011/04/04,103.32
2011/04/05,103.32
2011/04/06,103.5
2011/04/07,103.4
2011/04/08,103.98
2011/04/09,103.98
2011/04/10,103.98
2011/04/11,103.69
2011/04/12,102.66
2011/04/13,103.4
2011/04/14,103.3
2011/04/15,103.29
2011/04/16,103.29
2011/04/17,103.29
2011/04/18,102.28
2011/04/19,102.18
2011/04/20,103.88
2011/04/21,104.93
2011/04/22,104.93
2011/04/23,104.93
2011/04/24,104.93
2011/04/25,104.93
2011/04/26,104.81
2011/04/27,104.71
2011/04/28,105.36
2011/04/29,105.45
2011/04/30,105.45
2011/05/01,105.45
2011/05/02,105.45
2011/05/03,104.97
2011/05/04,104.01
2011/05/05,103.42
2011/05/06,103.23
2011/05/07,103.23
2011/05/08,103.23
2011/05/09,103.21
2011/05/10,103.21
2011/05/11,103.49
2011/05/12,102.54
2011/05/13,102.44
2011/05/14,102.44
2011/05/15,102.44
2011/05/16,101.78
2011/05/17,101.31
2011/05/18,102.14
2011/05/19,102.41
2011/05/20,102.13
2011/05/21,102.13
2011/05/22,102.13
2011/05/23,100.1
2011/05/24,100.28
2011/05/25,100.46
2011/05/26,101.31
2011/05/27,102.15
2011/05/28,102.15
2011/05/29,102.15
2011/05/30,102.33
2011/05/31,103.75
2011/06/01,103.18
2011/06/02,102.12
2011/06/03,101.72
2011/06/04,101.72
2011/06/05,101.72
2011/06/06,101.72
2011/06/07,101.42
2011/06/08,100.55
2011/06/09,100.64
2011/06/10,99.49
2011/06/11,99.49
2011/06/12,99.49
2011/06/13,99.38
2011/06/14,100.23
2011/06/15,99.29
2011/06/16,97.97
2011/06/17,97.87
2011/06/18,97.87
2011/06/19,97.87
2011/06/20,97.66
2011/06/21,98.87
2011/06/22,99.15
2011/06/23,98.0
2011/06/24,98.38
2011/06/25,98.38
2011/06/26,98.38
2011/06/27,98.17
2011/06/28,98.92
2011/06/29,99.97
2011/06/30,101.21
2011/07/01,101.21
2011/07/02,101.21
2011/07/03,101.21
2011/07/04,102.73
2011/07/05,102.63
2011/07/06,102.25
2011/07/07,102.72
2011/07/08,102.71
2011/07/09,102.71
2011/07/10,102.71
2011/07/11,100.99
2011/07/12,99.46
2011/07/13,100.7
2011/07/14,100.4
2011/07/15,100.49
2011/07/16,100.49
2011/07/17,100.49
2011/07/18,99.73
2011/07/19,100.29
2011/07/20,100.94
2011/07/21,101.7
2011/07/22,102.64
2011/07/23,102.64
2011/07/24,102.64
2011/07/25,102.06
2011/07/26,102.72
2011/07/27,101.96
2011/07/28,101.57
2011/07/29,101.09
2011/07/30,101.09
2011/07/31,101.09
2011/08/01,101.45
2011/08/02,99.86
2011/08/03,98.61
2011/08/04,95.91
2011/08/05,93.41
2011/08/06,93.41
2011/08/07,93.41
2011/08/08,90.27
2011/08/09,89.89
2011/08/10,89.51
2011/08/11,90.17
2011/08/12,90.89
2011/08/13,90.89
2011/08/14,90.89
2011/08/15,92.65
2011/08/16,92.36
2011/08/17,92.55
2011/08/18,90.11
2011/08/19,88.23
2011/08/20,88.23
2011/08/21,88.23
2011/08/22,87.55
2011/08/23,89.17
2011/08/24,88.97
2011/08/25,88.78
2011/08/26,89.06
2011/08/27,89.06
2011/08/28,89.06
2011/08/29,90.57
2011/08/30,91.43
2011/08/31,92.76
2011/09/01,92.66
2011/09/02,91.04
2011/09/03,91.04
2011/09/04,91.04
2011/09/05,88.94
2011/09/06,88.26
2011/09/07,90.27
2011/09/08,90.17
2011/09/09,88.56
2011/09/10,88.56
2011/09/11,88.56
2011/09/12,86.76
2011/09/13,86.76
2011/09/14,87.13
2011/09/15,88.27
2011/09/16,89.31
2011/09/17,89.31
2011/09/18,89.31
2011/09/19,87.59
2011/09/20,87.68
2011/09/21,86.62
2011/09/22,82.96
2011/09/23,82.66
2011/09/24,82.66
2011/09/25,82.66
2011/09/26,82.08
2011/09/27,84.82
2011/09/28,84.43
2011/09/29,84.43
2011/09/30,82.88
2011/10/01,82.88
2011/10/02,82.88
2011/10/03,80.49
2011/10/04,79.44
2011/10/05,79.44
2011/10/06,82.77
2011/10/07,83.72
