Date,富達穩定增長基金_Price
2010/12/01,100.0
2010/12/02,99.99
2010/12/03,99.98
2010/12/04,99.98
2010/12/05,99.98
2010/12/06,99.95
2010/12/07,100.01
2010/12/08,99.46
2010/12/09,99.65
2010/12/10,99.64
2010/12/11,99.64
2010/12/12,99.64
2010/12/13,100.23
2010/12/14,100.23
2010/12/15,99.6
2010/12/16,99.14
2010/12/17,99.33
2010/12/18,99.33
2010/12/19,99.33
2010/12/20,99.32
2010/12/21,99.9
2010/12/22,100.2
2010/12/23,100.09
2010/12/24,100.09
2010/12/25,100.09
2010/12/26,100.09
2010/12/27,100.09
2010/12/28,100.07
2010/12/29,100.48
2010/12/30,100.78
2010/12/31,101.15
2011/01/01,101.15
2011/01/02,101.15
2011/01/03,101.44
2011/01/04,101.67
2011/01/05,101.12
2011/01/06,101.01
2011/01/07,100.91
2011/01/08,100.91
2011/01/09,100.91
2011/01/10,100.6
2011/01/11,100.79
2011/01/12,101.47
2011/01/13,102.2
2011/01/14,102.2
2011/01/15,102.2
2011/01/16,102.2
2011/01/17,101.98
2011/01/18,102.28
2011/01/19,102.47
2011/01/20,101.33
2011/01/21,101.42
2011/01/22,101.42
2011/01/23,101.42
2011/01/24,101.8
2011/01/25,101.88
2011/01/26,101.97
2011/01/27,101.96
2011/01/28,101.46
2011/01/29,101.46
2011/01/30,101.46
2011/01/31,101.45
2011/02/01,102.0
2011/02/02,102.51
2011/02/03,102.51
2011/02/04,102.51
2011/02/05,102.51
2011/02/06,102.51
2011/02/07,102.01
2011/02/08,102.19
2011/02/09,101.76
2011/02/10,101.16
2011/02/11,101.25
2011/02/12,101.25
2011/02/13,101.25
2011/02/14,101.73
2011/02/15,101.63
2011/02/16,102.03
2011/02/17,102.55
2011/02/18,102.84
2011/02/19,102.84
2011/02/20,102.84
2011/02/21,102.73
2011/02/22,101.71
2011/02/23,101.51
2011/02/24,101.21
2011/02/25,101.86
2011/02/26,101.86
2011/02/27,101.86
2011/02/28,102.51
2011/03/01,102.51
2011/03/02,102.1
2011/03/03,102.39
2011/03/04,102.69
2011/03/05,102.69
2011/03/06,102.69
2011/03/07,102.37
2011/03/08,102.36
2011/03/09,102.56
2011/03/10,101.49
2011/03/11,101.49
2011/03/12,101.49
2011/03/13,101.49
2011/03/14,101.19
2011/03/15,99.76
2011/03/16,100.15
2011/03/17,100.42
2011/03/18,100.42
2011/03/19,100.42
2011/03/20,100.42
2011/03/21,101.1
2011/03/22,101.57
2011/03/23,101.47
2011/03/24,101.96
2011/03/25,102.06
2011/03/26,102.06
2011/03/27,102.06
2011/03/28,101.74
2011/03/29,101.64
2011/03/30,102.13
2011/03/31,102.23
2011/04/01,102.42
2011/04/02,102.42
2011/04/03,102.42
2011/04/04,102.99
2011/04/05,102.99
2011/04/06,102.88
2011/04/07,102.78
2011/04/08,103.24
2011/04/09,103.24
2011/04/10,103.24
2011/04/11,103.12
2011/04/12,102.72
2011/04/13,103.12
2011/04/14,103.22
2011/04/15,103.12
2011/04/16,103.12
2011/04/17,103.12
2011/04/18,102.64
2011/04/19,102.73
2011/04/20,103.84
2011/04/21,104.65
2011/04/22,104.65
2011/04/23,104.65
2011/04/24,104.65
2011/04/25,104.65
2011/04/26,104.72
2011/04/27,104.52
2011/04/28,105.3
2011/04/29,105.39
2011/04/30,105.39
2011/05/01,105.39
2011/05/02,105.39
2011/05/03,105.07
2011/05/04,104.59
2011/05/05,104.19
2011/05/06,103.99
2011/05/07,103.99
2011/05/08,103.99
2011/05/09,103.88
2011/05/10,103.88
2011/05/11,104.06
2011/05/12,103.47
2011/05/13,103.36
2011/05/14,103.36
2011/05/15,103.36
2011/05/16,102.95
2011/05/17,102.65
2011/05/18,103.03
2011/05/19,103.22
2011/05/20,103.02
2011/05/21,103.02
2011/05/22,103.02
2011/05/23,101.74
2011/05/24,101.93
2011/05/25,102.01
2011/05/26,102.68
2011/05/27,103.48
2011/05/28,103.48
2011/05/29,103.48
2011/05/30,103.57
2011/05/31,104.38
2011/06/01,104.19
2011/06/02,103.64
2011/06/03,103.54
2011/06/04,103.54
2011/06/05,103.54
2011/06/06,103.54
2011/06/07,103.42
2011/06/08,103.01
2011/06/09,102.91
2011/06/10,102.23
2011/06/11,102.23
2011/06/12,102.23
2011/06/13,102.12
2011/06/14,102.61
2011/06/15,101.93
2011/06/16,101.15
2011/06/17,101.24
2011/06/18,101.24
2011/06/19,101.24
2011/06/20,101.03
2011/06/21,101.91
2011/06/22,102.1
2011/06/23,101.2
2011/06/24,101.4
2011/06/25,101.4
2011/06/26,101.4
2011/06/27,101.29
2011/06/28,101.66
2011/06/29,102.25
2011/06/30,103.03
2011/07/01,103.03
2011/07/02,103.03
2011/07/03,103.03
2011/07/04,103.89
2011/07/05,103.79
2011/07/06,103.5
2011/07/07,103.78
2011/07/08,103.87
2011/07/09,103.87
2011/07/10,103.87
2011/07/11,102.8
2011/07/12,102.02
2011/07/13,103.02
2011/07/14,102.81
2011/07/15,102.8
2011/07/16,102.8
2011/07/17,102.8
2011/07/18,102.3
2011/07/19,102.88
2011/07/20,103.17
2011/07/21,103.73
2011/07/22,104.39
2011/07/23,104.39
2011/07/24,104.39
2011/07/25,103.98
2011/07/26,104.56
2011/07/27,103.97
2011/07/28,103.87
2011/07/29,103.86
2011/07/30,103.86
2011/07/31,103.86
2011/08/01,104.06
2011/08/02,103.17
2011/08/03,102.69
2011/08/04,100.69
2011/08/05,99.21
2011/08/06,99.21
2011/08/07,99.21
2011/08/08,97.56
2011/08/09,97.35
2011/08/10,97.34
2011/08/11,97.64
2011/08/12,98.01
2011/08/13,98.01
2011/08/14,98.01
2011/08/15,99.21
2011/08/16,99.11
2011/08/17,99.49
2011/08/18,98.09
2011/08/19,97.06
2011/08/20,97.06
2011/08/21,97.06
2011/08/22,96.55
2011/08/23,97.43
2011/08/24,97.13
2011/08/25,96.93
2011/08/26,97.12
2011/08/27,97.12
2011/08/28,97.12
2011/08/29,98.17
2011/08/30,98.66
2011/08/31,99.34
2011/09/01,99.14
2011/09/02,98.35
2011/09/03,98.35
2011/09/04,98.35
2011/09/05,97.15
2011/09/06,96.67
2011/09/07,97.73
2011/09/08,97.73
2011/09/09,96.53
2011/09/10,96.53
2011/09/11,96.53
2011/09/12,95.34
2011/09/13,95.34
2011/09/14,95.63
2011/09/15,96.3
2011/09/16,96.88
2011/09/17,96.88
2011/09/18,96.88
2011/09/19,95.88
2011/09/20,95.97
2011/09/21,95.37
2011/09/22,93.21
2011/09/23,93.01
2011/09/24,93.01
2011/09/25,93.01
2011/09/26,92.5
2011/09/27,94.16
2011/09/28,93.86
2011/09/29,93.86
2011/09/30,92.77
2011/10/01,92.77
2011/10/02,92.77
2011/10/03,91.39
2011/10/04,90.69
2011/10/05,90.69
2011/10/06,92.66
2011/10/07,93.25
