Date,富達穩定資本基金_Price
2010/12/01,100.0
2010/12/02,99.99
2010/12/03,99.98
2010/12/04,99.98
2010/12/05,99.98
2010/12/06,99.96
2010/12/07,99.92
2010/12/08,99.19
2010/12/09,99.35
2010/12/10,99.34
2010/12/11,99.34
2010/12/12,99.34
2010/12/13,99.84
2010/12/14,99.75
2010/12/15,99.38
2010/12/16,99.14
2010/12/17,99.4
2010/12/18,99.4
2010/12/19,99.4
2010/12/20,99.52
2010/12/21,99.82
2010/12/22,100.02
2010/12/23,100.02
2010/12/24,100.1
2010/12/25,100.1
2010/12/26,100.1
2010/12/27,100.1
2010/12/28,100.18
2010/12/29,100.38
2010/12/30,100.77
2010/12/31,101.19
2011/01/01,101.19
2011/01/02,101.19
2011/01/03,101.26
2011/01/04,101.35
2011/01/05,100.69
2011/01/06,100.59
2011/01/07,100.58
2011/01/08,100.58
2011/01/09,100.58
2011/01/10,100.37
2011/01/11,100.37
2011/01/12,100.87
2011/01/13,101.42
2011/01/14,101.42
2011/01/15,101.42
2011/01/16,101.42
2011/01/17,101.22
2011/01/18,101.4
2011/01/19,101.81
2011/01/20,100.76
2011/01/21,101.07
2011/01/22,101.07
2011/01/23,101.07
2011/01/24,101.39
2011/01/25,101.48
2011/01/26,101.47
2011/01/27,101.47
2011/01/28,101.19
2011/01/29,101.19
2011/01/30,101.19
2011/01/31,101.27
2011/02/01,101.8
2011/02/02,102.06
2011/02/03,102.06
2011/02/04,102.06
2011/02/05,102.06
2011/02/06,102.06
2011/02/07,101.54
2011/02/08,101.69
2011/02/09,101.24
2011/02/10,100.24
2011/02/11,100.31
2011/02/12,100.31
2011/02/13,100.31
2011/02/14,100.5
2011/02/15,100.4
2011/02/16,100.68
2011/02/17,101.15
2011/02/18,101.25
2011/02/19,101.25
2011/02/20,101.25
2011/02/21,101.23
2011/02/22,100.8
2011/02/23,100.8
2011/02/24,100.69
2011/02/25,101.01
2011/02/26,101.01
2011/02/27,101.01
2011/02/28,101.42
2011/03/01,101.42
2011/03/02,101.21
2011/03/03,101.21
2011/03/04,101.5
2011/03/05,101.5
2011/03/06,101.5
2011/03/07,101.28
2011/03/08,101.07
2011/03/09,101.27
2011/03/10,100.46
2011/03/11,100.62
2011/03/12,100.62
2011/03/13,100.62
2011/03/14,100.52
2011/03/15,99.81
2011/03/16,100.09
2011/03/17,100.5
2011/03/18,100.27
2011/03/19,100.27
2011/03/20,100.27
2011/03/21,100.81
2011/03/22,101.13
2011/03/23,101.02
2011/03/24,101.27
2011/03/25,101.27
2011/03/26,101.27
2011/03/27,101.27
2011/03/28,100.94
2011/03/29,100.73
2011/03/30,101.06
2011/03/31,101.17
2011/04/01,101.08
2011/04/02,101.08
2011/04/03,101.08
2011/04/04,101.55
2011/04/05,101.55
2011/04/06,101.32
2011/04/07,101.22
2011/04/08,101.58
2011/04/09,101.58
2011/04/10,101.58
2011/04/11,101.56
2011/04/12,101.46
2011/04/13,101.76
2011/04/14,101.86
2011/04/15,101.85
2011/04/16,101.85
2011/04/17,101.85
2011/04/18,101.56
2011/04/19,101.65
2011/04/20,102.45
2011/04/21,103.06
2011/04/22,103.06
2011/04/23,103.06
2011/04/24,103.06
2011/04/25,103.06
2011/04/26,103.24
2011/04/27,102.95
2011/04/28,103.85
2011/04/29,104.05
2011/04/30,104.05
2011/05/01,104.05
2011/05/02,104.05
2011/05/03,103.83
2011/05/04,103.52
2011/05/05,103.21
2011/05/06,103.0
2011/05/07,103.0
2011/05/08,103.0
2011/05/09,102.79
2011/05/10,102.79
2011/05/11,102.98
2011/05/12,102.46
2011/05/13,102.46
2011/05/14,102.46
2011/05/15,102.46
2011/05/16,102.22
2011/05/17,101.91
2011/05/18,102.2
2011/05/19,102.2
2011/05/20,102.09
2011/05/21,102.09
2011/05/22,102.09
2011/05/23,101.21
2011/05/24,101.3
2011/05/25,101.48
2011/05/26,101.95
2011/05/27,102.63
2011/05/28,102.63
2011/05/29,102.63
2011/05/30,102.71
2011/05/31,103.15
2011/06/01,103.15
2011/06/02,102.73
2011/06/03,102.82
2011/06/04,102.82
2011/06/05,102.82
2011/06/06,102.82
2011/06/07,102.8
2011/06/08,102.47
2011/06/09,102.36
2011/06/10,101.7
2011/06/11,101.7
2011/06/12,101.7
2011/06/13,101.68
2011/06/14,101.96
2011/06/15,101.46
2011/06/16,100.95
2011/06/17,101.05
2011/06/18,101.05
2011/06/19,101.05
2011/06/20,100.93
2011/06/21,101.53
2011/06/22,101.72
2011/06/23,101.04
2011/06/24,101.14
2011/06/25,101.14
2011/06/26,101.14
2011/06/27,101.02
2011/06/28,101.32
2011/06/29,101.63
2011/06/30,102.24
2011/07/01,102.24
2011/07/02,102.24
2011/07/03,102.24
2011/07/04,102.72
2011/07/05,102.71
2011/07/06,102.43
2011/07/07,102.53
2011/07/08,102.72
2011/07/09,102.72
2011/07/10,102.72
2011/07/11,101.92
2011/07/12,101.63
2011/07/13,102.38
2011/07/14,102.17
2011/07/15,102.17
2011/07/16,102.17
2011/07/17,102.17
2011/07/18,101.74
2011/07/19,102.3
2011/07/20,102.49
2011/07/21,103.01
2011/07/22,103.41
2011/07/23,103.41
2011/07/24,103.41
2011/07/25,103.12
2011/07/26,103.59
2011/07/27,103.28
2011/07/28,103.19
2011/07/29,103.37
2011/07/30,103.37
2011/07/31,103.37
2011/08/01,103.46
2011/08/02,102.92
2011/08/03,102.81
2011/08/04,101.34
2011/08/05,100.64
2011/08/06,100.64
2011/08/07,100.64
2011/08/08,99.81
2011/08/09,99.7
2011/08/10,99.89
2011/08/11,99.89
2011/08/12,100.08
2011/08/13,100.08
2011/08/14,100.08
2011/08/15,101.03
2011/08/16,101.02
2011/08/17,101.41
2011/08/18,100.49
2011/08/19,99.87
2011/08/20,99.87
2011/08/21,99.87
2011/08/22,99.47
2011/08/23,99.98
2011/08/24,99.65
2011/08/25,99.45
2011/08/26,99.63
2011/08/27,99.63
2011/08/28,99.63
2011/08/29,100.37
2011/08/30,100.66
2011/08/31,101.05
2011/09/01,100.86
2011/09/02,100.45
2011/09/03,100.45
2011/09/04,100.45
2011/09/05,99.61
2011/09/06,99.21
2011/09/07,99.92
2011/09/08,99.91
2011/09/09,99.01
2011/09/10,99.01
2011/09/11,99.01
2011/09/12,98.2
2011/09/13,98.2
2011/09/14,98.29
2011/09/15,98.79
2011/09/16,99.28
2011/09/17,99.28
2011/09/18,99.28
2011/09/19,98.68
2011/09/20,98.77
2011/09/21,98.36
2011/09/22,96.93
2011/09/23,96.72
2011/09/24,96.72
2011/09/25,96.72
2011/09/26,96.32
2011/09/27,97.5
2011/09/28,97.16
2011/09/29,97.16
2011/09/30,96.35
2011/10/01,96.35
2011/10/02,96.35
2011/10/03,95.54
2011/10/04,95.07
2011/10/05,95.07
2011/10/06,96.17
2011/10/07,96.56
