Date,日本股票基金_Price
2002/01/01,100.0
2002/01/02,100.0
2002/01/31,90.18
2002/02/01,88.73
2002/02/28,93.08
2002/03/01,94.92
2002/03/19,103.38
2002/03/20,102.09
2002/03/21,102.08
2002/03/22,99.28
2002/03/23,98.68
2002/03/24,98.68
2002/03/25,98.68
2002/03/26,98.6
2002/03/27,99.58
2002/03/28,100.03
2002/03/29,99.36
2002/03/30,99.36
2002/03/31,99.36
2002/04/01,99.36
2002/04/02,99.36
2002/04/03,101.11
2002/04/04,102.03
2002/04/05,101.96
2002/04/06,101.96
2002/04/07,101.96
2002/04/08,101.96
2002/04/09,100.33
2002/04/10,100.9
2002/04/11,100.25
2002/04/12,99.54
2002/04/13,100.91
2002/04/14,100.91
2002/04/15,100.91
2002/04/16,102.49
2002/04/17,104.3
2002/04/18,105.03
2002/04/19,104.1
2002/04/20,106.27
2002/04/21,106.27
2002/04/22,106.27
2002/04/23,106.27
2002/04/24,106.05
2002/04/25,107.8
2002/04/26,106.78
2002/04/27,106.78
2002/04/28,106.78
2002/04/29,106.78
2002/04/30,106.04
2002/05/01,106.78
2002/05/02,106.78
2002/05/03,106.78
2002/05/04,106.78
2002/05/05,106.78
2002/05/06,106.78
2002/05/07,105.51
2002/05/08,106.25
2002/05/09,106.8
2002/05/10,107.08
2002/05/11,105.94
2002/05/12,105.94
2002/05/13,105.94
2002/05/14,105.34
2002/05/15,106.78
2002/05/16,107.61
2002/05/17,109.4
2002/05/18,110.82
2002/05/19,110.82
2002/05/20,110.82
2002/05/21,110.82
2002/05/22,111.74
2002/05/23,110.96
2002/05/24,111.34
2002/05/25,110.95
2002/05/26,110.95
2002/05/27,110.95
2002/05/28,111.18
2002/05/29,110.72
2002/05/30,111.38
2002/05/31,110.64
2002/06/01,111.48
2002/06/02,111.48
2002/06/03,111.48
2002/06/04,110.03
2002/06/05,109.11
2002/06/06,108.65
2002/06/07,107.6
2002/06/08,106.72
2002/06/09,106.72
2002/06/10,106.72
2002/06/11,106.31
2002/06/12,105.64
2002/06/13,104.43
2002/06/14,103.15
2002/06/15,100.65
2002/06/16,100.65
2002/06/17,100.65
2002/06/18,101.9
2002/06/19,99.7
2002/06/20,101.12
2002/06/21,100.99
2002/06/22,102.01
2002/06/23,102.01
2002/06/24,102.01
2002/06/25,101.79
2002/06/26,100.98
2002/06/27,101.51
2002/06/28,104.31
2002/06/29,104.08
2002/06/30,104.08
2002/07/01,104.08
