Date,環球債券基金_Price
2007/12/01,100.0
2007/12/02,100.0
2007/12/03,100.0
2007/12/04,100.0
2007/12/05,99.96
2007/12/06,99.39
2007/12/07,99.16
2007/12/08,99.16
2007/12/09,99.16
2007/12/10,98.95
2007/12/11,99.33
2007/12/12,99.07
2007/12/13,99.13
2007/12/14,98.49
2007/12/15,98.49
2007/12/16,98.49
2007/12/17,97.88
2007/12/18,97.92
2007/12/19,98.06
2007/12/20,97.98
2007/12/21,97.53
2007/12/22,97.53
2007/12/23,97.53
2007/12/24,97.48
2007/12/25,97.48
2007/12/26,97.48
2007/12/27,97.67
2007/12/28,98.6
2007/12/29,98.6
2007/12/30,98.6
2007/12/31,99.66
2008/01/01,99.66
2008/01/02,99.83
2008/01/03,100.69
2008/01/04,100.89
2008/01/05,100.89
2008/01/06,100.89
2008/01/07,100.96
2008/01/08,100.68
2008/01/09,100.89
2008/01/10,100.47
2008/01/11,101.0
2008/01/12,101.0
2008/01/13,101.0
2008/01/14,101.31
2008/01/15,101.85
2008/01/16,101.84
2008/01/17,101.66
2008/01/18,101.58
2008/01/19,101.58
2008/01/20,101.58
2008/01/21,101.48
2008/01/22,101.11
2008/01/23,101.57
2008/01/24,101.08
2008/01/25,101.78
2008/01/26,101.78
2008/01/27,101.78
2008/01/28,101.71
2008/01/29,101.68
2008/01/30,101.67
2008/01/31,102.21
2008/02/01,102.32
2008/02/02,102.32
2008/02/03,102.32
2008/02/04,101.94
2008/02/05,102.35
2008/02/06,101.72
2008/02/07,101.72
2008/02/08,101.72
2008/02/09,101.72
2008/02/10,101.72
2008/02/11,101.32
2008/02/12,100.92
2008/02/13,101.01
2008/02/14,100.53
2008/02/15,100.97
2008/02/16,100.97
2008/02/17,100.97
2008/02/18,100.92
2008/02/19,100.65
2008/02/20,100.86
2008/02/21,100.9
2008/02/22,101.31
2008/02/23,101.31
2008/02/24,101.31
2008/02/25,101.17
2008/02/26,101.05
2008/02/27,101.67
2008/02/28,102.69
2008/02/29,103.7
2008/03/01,103.7
2008/03/02,103.7
2008/03/03,104.11
2008/03/04,103.99
2008/03/05,103.67
2008/03/06,104.08
2008/03/07,104.63
2008/03/08,104.63
2008/03/09,104.63
2008/03/10,105.14
2008/03/11,104.66
2008/03/12,104.59
2008/03/13,105.41
2008/03/14,105.88
2008/03/15,105.88
2008/03/16,105.88
2008/03/17,107.26
2008/03/18,106.62
2008/03/19,106.24
2008/03/20,106.11
2008/03/21,106.11
2008/03/22,106.11
2008/03/23,106.11
2008/03/24,106.11
2008/03/25,104.86
2008/03/26,105.64
2008/03/27,106.25
2008/03/28,106.07
2008/03/29,106.07
2008/03/30,106.07
2008/03/31,106.16
2008/04/01,105.69
2008/04/02,104.73
2008/04/03,104.9
2008/04/04,104.9
2008/04/05,104.9
2008/04/06,104.9
2008/04/07,105.19
2008/04/08,105.38
2008/04/09,105.19
2008/04/10,105.87
2008/04/11,105.83
2008/04/12,105.83
2008/04/13,105.83
2008/04/14,105.67
2008/04/15,105.86
2008/04/16,105.27
2008/04/17,105.3
2008/04/18,105.01
2008/04/19,105.01
2008/04/20,105.01
2008/04/21,104.54
2008/04/22,104.91
2008/04/23,105.22
2008/04/24,104.46
2008/04/25,103.53
2008/04/26,103.53
2008/04/27,103.53
2008/04/28,103.4
2008/04/29,103.86
2008/04/30,103.88
