Date,穩定資本組合_Price
2000/12/01,100.0
2000/12/02,100.0
2000/12/03,100.0
2000/12/04,99.89
2000/12/05,100.29
2000/12/06,100.7
2000/12/07,100.76
2000/12/08,100.85
2000/12/09,101.1
2000/12/10,101.1
2000/12/11,101.1
2000/12/12,100.88
2000/12/13,101.06
2000/12/14,101.14
2000/12/15,100.74
2000/12/16,100.8
2000/12/17,100.8
2000/12/18,100.8
2000/12/19,100.64
2000/12/20,100.51
2000/12/21,100.4
2000/12/22,100.69
2000/12/23,100.98
2000/12/24,100.98
2000/12/25,100.98
2000/12/26,100.98
2000/12/27,100.98
2000/12/28,100.92
2000/12/29,101.24
2000/12/30,101.31
2000/12/31,101.31
2001/01/01,101.31
2001/01/02,101.31
2001/01/03,101.45
2001/01/04,102.02
2001/01/05,102.4
2001/01/06,102.46
2001/01/07,102.46
2001/01/08,102.46
2001/01/09,102.14
2001/01/10,101.96
2001/01/11,101.8
2001/01/12,101.72
2001/01/13,101.52
2001/01/14,101.52
2001/01/15,101.52
2001/01/16,101.64
2001/01/17,101.66
2001/01/18,102.38
2001/01/19,102.47
2001/01/20,102.54
2001/01/21,102.54
2001/01/22,102.54
2001/01/23,102.56
2001/01/24,102.31
2001/01/25,102.31
2001/01/26,102.31
2001/01/27,102.31
2001/01/28,102.31
2001/01/29,102.31
2001/01/30,102.48
2001/01/31,102.92
2001/02/01,103.33
2001/02/02,102.88
2001/02/03,102.72
2001/02/04,102.72
2001/02/05,102.72
2001/02/06,102.63
2001/02/07,102.48
2001/02/08,102.08
2001/02/09,102.03
2001/02/10,102.26
2001/02/11,102.26
2001/02/12,102.26
2001/02/13,102.17
2001/02/14,101.89
2001/02/15,101.58
2001/02/16,101.57
2001/02/17,101.63
2001/02/18,101.63
2001/02/19,101.63
2001/02/20,101.33
2001/02/21,101.07
2001/02/22,100.79
2001/02/23,100.76
2001/02/24,101.11
2001/02/25,101.11
2001/02/26,101.11
2001/02/27,101.26
2001/02/28,101.22
2001/03/01,101.13
2001/03/02,100.87
2001/03/03,100.83
2001/03/04,100.83
2001/03/05,100.83
2001/03/06,101.16
2001/03/07,101.2
2001/03/08,101.24
2001/03/09,100.93
2001/03/10,100.02
2001/03/11,100.02
2001/03/12,100.02
2001/03/13,99.53
2001/03/14,99.15
2001/03/15,99.37
2001/03/16,99.02
2001/03/17,98.98
2001/03/18,98.98
2001/03/19,98.98
2001/03/20,98.82
2001/03/21,98.68
2001/03/22,97.86
2001/03/23,98.16
2001/03/24,98.74
2001/03/25,98.74
2001/03/26,98.74
