Date,綠色退休基金_Price
2006/03/31,100.0
2006/04/01,100.0
2006/04/02,100.0
2006/04/03,100.0
2006/04/04,100.0
2006/04/05,100.0
2006/04/06,100.09
2006/04/07,99.7
2006/04/08,99.7
2006/04/09,99.7
2006/04/10,99.7
2006/04/11,99.15
2006/04/12,99.0
2006/04/13,99.0
2006/04/14,99.0
2006/04/15,99.0
2006/04/16,99.0
2006/04/17,99.0
2006/04/18,100.6
2006/04/19,101.09
2006/04/20,101.18
2006/04/21,101.66
2006/04/22,101.66
2006/04/23,101.66
2006/04/24,101.5
2006/04/25,101.44
2006/04/26,101.65
2006/04/27,102.14
2006/04/28,102.14
2006/04/29,102.14
2006/04/30,102.14
2006/05/01,102.14
2006/05/02,102.85
2006/05/03,102.5
2006/05/04,102.85
2006/05/05,102.85
2006/05/06,102.85
2006/05/07,102.85
2006/05/08,103.92
2006/05/09,104.16
2006/05/10,103.61
2006/05/11,102.83
2006/05/12,101.53
2006/05/13,101.53
2006/05/14,101.53
2006/05/15,100.77
2006/05/16,100.55
2006/05/17,98.45
2006/05/18,97.59
2006/05/19,97.5
2006/05/20,97.5
2006/05/21,97.5
2006/05/22,96.49
2006/05/23,96.98
2006/05/24,96.39
2006/05/25,97.3
2006/05/26,98.02
2006/05/27,98.02
2006/05/28,98.02
2006/05/29,98.22
2006/05/30,97.24
2006/05/31,97.24
2006/06/01,98.21
2006/06/02,98.98
2006/06/03,98.98
2006/06/04,98.98
2006/06/05,97.8
2006/06/06,96.4
2006/06/07,95.99
2006/06/08,94.15
2006/06/09,94.85
2006/06/10,94.85
2006/06/11,94.85
2006/06/12,93.75
2006/06/13,91.86
2006/06/14,92.35
2006/06/15,94.28
2006/06/16,94.38
2006/06/17,94.38
2006/06/18,94.38
2006/06/19,93.87
2006/06/20,93.97
2006/06/21,94.75
2006/06/22,94.65
2006/06/23,94.65
2006/06/24,94.65
2006/06/25,94.65
2006/06/26,94.86
2006/06/27,94.26
2006/06/28,94.36
2006/06/29,96.15
2006/06/30,97.62
2006/07/01,97.62
2006/07/02,97.62
2006/07/03,98.12
2006/07/04,98.43
2006/07/05,97.3
2006/07/06,97.6
2006/07/07,97.8
2006/07/08,97.8
2006/07/09,97.8
2006/07/10,97.6
2006/07/11,97.5
2006/07/12,96.61
2006/07/13,95.43
2006/07/14,94.23
2006/07/15,94.23
2006/07/16,94.23
2006/07/17,93.64
2006/07/18,93.25
2006/07/19,94.96
2006/07/20,95.26
2006/07/21,94.77
2006/07/22,94.77
2006/07/23,94.77
2006/07/24,95.96
2006/07/25,96.55
2006/07/26,96.55
2006/07/27,97.05
2006/07/28,98.04
2006/07/29,98.04
2006/07/30,98.04
2006/07/31,97.94
2006/08/01,97.45
2006/08/02,98.53
2006/08/03,98.33
2006/08/04,98.82
2006/08/05,98.82
2006/08/06,98.82
2006/08/07,98.04
2006/08/08,98.04
2006/08/09,98.33
2006/08/10,97.95
2006/08/11,97.66
2006/08/12,97.66
2006/08/13,97.66
2006/08/14,98.15
2006/08/15,99.15
2006/08/16,100.05
2006/08/17,100.25
2006/08/18,100.25
2006/08/19,100.25
2006/08/20,100.25
2006/08/21,100.25
2006/08/22,100.15
2006/08/23,99.86
2006/08/24,99.86
2006/08/25,99.56
2006/08/26,99.56
2006/08/27,99.56
2006/08/28,100.05
2006/08/29,100.35
2006/08/30,100.75
2006/08/31,100.75
2006/09/01,101.24
2006/09/02,101.24
2006/09/03,101.24
2006/09/04,101.73
2006/09/05,101.64
2006/09/06,100.64
2006/09/07,99.73
2006/09/08,99.93
2006/09/09,99.93
2006/09/10,99.93
2006/09/11,99.43
2006/09/12,100.33
2006/09/13,100.73
2006/09/14,100.93
2006/09/15,100.93
2006/09/16,100.93
2006/09/17,100.93
2006/09/18,101.03
2006/09/19,100.83
2006/09/20,101.33
2006/09/21,101.43
2006/09/22,100.94
2006/09/23,100.94
2006/09/24,100.94
2006/09/25,101.24
2006/09/26,101.96
2006/09/27,102.66
2006/09/28,102.76
2006/09/29,102.66
2006/09/30,102.66
2006/10/01,102.66
2006/10/02,102.66
2006/10/03,102.76
2006/10/04,103.44
2006/10/05,104.09
2006/10/06,103.53
2006/10/07,103.53
2006/10/08,103.53
2006/10/09,103.62
2006/10/10,103.81
2006/10/11,103.51
2006/10/12,104.2
2006/10/13,104.4
2006/10/14,104.4
2006/10/15,104.4
2006/10/16,104.92
2006/10/17,104.33
2006/10/18,104.82
2006/10/19,105.22
2006/10/20,105.32
2006/10/21,105.32
2006/10/22,105.32
2006/10/23,105.63
2006/10/24,105.63
2006/10/25,106.02
2006/10/26,106.51
2006/10/27,106.21
2006/10/28,106.21
2006/10/29,106.21
2006/10/30,106.21
2006/10/31,106.01
2006/11/01,105.81
2006/11/02,105.81
2006/11/03,105.53
2006/11/04,105.53
2006/11/05,105.53
2006/11/06,106.51
2006/11/07,107.13
2006/11/08,106.92
2006/11/09,106.63
2006/11/10,106.73
2006/11/11,106.73
2006/11/12,106.73
2006/11/13,106.73
2006/11/14,107.12
2006/11/15,107.52
2006/11/16,107.52
2006/11/17,107.42
2006/11/18,107.42
2006/11/19,107.42
2006/11/20,107.13
2006/11/21,107.43
2006/11/22,108.12
2006/11/23,108.02
2006/11/24,107.81
2006/11/25,107.81
2006/11/26,107.81
2006/11/27,106.66
2006/11/28,106.86
2006/11/29,108.06
2006/11/30,108.44
2006/12/01,108.25
2006/12/02,108.25
2006/12/03,108.25
2006/12/04,108.65
2006/12/05,109.03
2006/12/06,109.12
2006/12/07,109.12
2006/12/08,109.12
2006/12/09,109.12
2006/12/10,109.12
2006/12/11,109.22
2006/12/12,109.42
2006/12/13,109.71
2006/12/14,110.4
2006/12/15,110.4
2006/12/16,110.4
2006/12/17,110.4
2006/12/18,110.3
2006/12/19,110.4
2006/12/20,110.6
2006/12/21,110.3
2006/12/22,110.01
2006/12/23,110.01
2006/12/24,110.01
2006/12/25,110.01
2006/12/26,110.01
2006/12/27,110.91
2006/12/28,110.91
2006/12/29,110.71
2006/12/30,110.71
2006/12/31,110.71
2007/01/01,110.71
2007/01/02,111.4
2007/01/03,111.1
2007/01/04,110.91
2007/01/05,109.84
2007/01/06,109.84
2007/01/07,109.84
2007/01/08,109.94
2007/01/09,109.94
2007/01/10,109.43
2007/01/11,110.14
2007/01/12,110.95
2007/01/13,110.95
2007/01/14,110.95
2007/01/15,111.34
2007/01/16,111.15
2007/01/17,111.24
2007/01/18,111.15
2007/01/19,111.54
2007/01/20,111.54
2007/01/21,111.54
