Date,美洲基金_Price
2011/09/23,100.0
2011/09/24,100.0
2011/09/25,100.0
2011/09/26,100.0
2011/09/27,100.0
2011/09/28,100.01
2011/09/29,100.01
2011/09/30,100.01
2011/10/01,100.01
2011/10/02,100.01
2011/10/03,100.01
2011/10/04,100.01
2011/10/05,100.01
2011/10/06,100.01
2011/10/07,100.01
2011/10/08,100.01
2011/10/09,100.01
2011/10/10,100.01
2011/10/11,99.99
2011/10/12,100.39
2011/10/13,100.29
2011/10/14,100.43
2011/10/15,100.43
2011/10/16,100.43
2011/10/17,100.24
2011/10/18,102.21
2011/10/19,100.95
2011/10/20,101.1
2011/10/21,102.92
2011/10/22,102.92
2011/10/23,102.92
2011/10/24,104.5
2011/10/25,102.49
2011/10/26,103.8
2011/10/27,107.47
2011/10/28,107.93
2011/10/29,107.93
2011/10/30,107.93
2011/10/31,105.11
2011/11/01,103.31
2011/11/02,104.37
2011/11/03,105.88
2011/11/04,105.38
2011/11/05,105.38
2011/11/06,105.38
2011/11/07,106.66
2011/11/08,108.77
2011/11/09,104.82
2011/11/10,105.79
2011/11/11,107.68
2011/11/12,107.68
2011/11/13,107.68
2011/11/14,106.56
2011/11/15,107.11
2011/11/16,105.45
2011/11/17,103.79
2011/11/18,103.64
2011/11/19,103.64
2011/11/20,103.64
2011/11/21,101.75
2011/11/22,101.27
2011/11/23,98.89
2011/11/24,98.89
2011/11/25,98.58
2011/11/26,98.58
2011/11/27,98.58
2011/11/28,100.55
2011/11/29,100.82
2011/11/30,104.71
2011/12/01,104.68
2011/12/02,104.66
2011/12/03,104.66
2011/12/04,104.66
2011/12/05,105.85
2011/12/06,105.82
2011/12/07,106.1
2011/12/08,103.73
2011/12/09,105.66
2011/12/10,105.66
2011/12/11,105.66
2011/12/12,103.85
2011/12/13,102.88
2011/12/14,101.8
2011/12/15,102.14
2011/12/16,102.29
2011/12/17,102.29
2011/12/18,102.29
2011/12/19,101.0
2011/12/20,103.71
2011/12/21,104.01
2011/12/22,104.6
2011/12/23,105.31
2011/12/24,105.31
2011/12/25,105.31
2011/12/26,105.31
2011/12/27,105.31
2011/12/28,104.08
2011/12/29,105.13
2011/12/30,104.81
2011/12/31,104.81
2012/01/01,104.81
2012/01/02,104.81
2012/01/03,106.7
2012/01/04,106.81
2012/01/05,106.82
2012/01/06,106.52
2012/01/07,106.52
2012/01/08,106.52
2012/01/09,106.85
2012/01/10,107.93
2012/01/11,108.07
2012/01/12,108.37
2012/01/13,107.75
2012/01/14,107.75
2012/01/15,107.75
2012/01/16,107.76
2012/01/17,108.12
2012/01/18,109.06
2012/01/19,109.54
2012/01/20,109.51
2012/01/21,109.51
2012/01/22,109.51
2012/01/23,109.51
2012/01/24,109.51
2012/01/25,109.51
2012/01/26,109.98
2012/01/27,109.98
2012/01/28,109.98
2012/01/29,109.98
2012/01/30,109.45
2012/01/31,109.42
2012/02/01,110.49
2012/02/02,110.76
2012/02/03,112.19
2012/02/04,112.19
2012/02/05,112.19
2012/02/06,112.01
2012/02/07,112.44
2012/02/08,112.73
2012/02/09,112.92
2012/02/10,111.84
2012/02/11,111.84
2012/02/12,111.84
2012/02/13,112.74
2012/02/14,112.31
2012/02/15,111.75
2012/02/16,112.99
2012/02/17,113.38
2012/02/18,113.38
2012/02/19,113.38
2012/02/20,113.38
2012/02/21,113.32
2012/02/22,113.01
2012/02/23,113.52
2012/02/24,113.72
2012/02/25,113.72
2012/02/26,113.72
2012/02/27,113.79
2012/02/28,114.41
2012/02/29,113.6
2012/03/01,114.58
2012/03/02,114.27
2012/03/03,114.27
2012/03/04,114.27
2012/03/05,113.56
2012/03/06,111.5
2012/03/07,112.3
2012/03/08,113.53
2012/03/09,113.64
2012/03/10,113.64
2012/03/11,113.64
2012/03/12,113.4
2012/03/13,115.6
2012/03/14,115.33
2012/03/15,116.08
2012/03/16,116.26
2012/03/17,116.26
2012/03/18,116.26
2012/03/19,116.59
2012/03/20,116.1
2012/03/21,115.96
2012/03/22,115.06
