Date, Open, High, Low, Close
10/22/20,24696.31,24817.01,24556.55,24786.13
10/21/20,24695.54,24903,24653.16,24754.42
10/20/20,24571.64,24600.39,24456.84,24569.54
10/19/20,24565.43,24771.85,24478.47,24542.26
10/16/20,24194.41,24456.97,24194.41,24386.79
10/15/20,24533.75,24573.25,24102.21,24158.54
10/14/20,24808.85,24808.85,24498.94,24667.09
10/12/2020,24217.25,24702.81,24196.8,24649.68
10/9/2020,24343.81,24343.81,24059.29,24119.13
10/8/2020,24263.33,24263.33,24021.93,24193.35
10/7/2020,23999.79,24243.91,23905.42,24242.86
10/6/2020,23895.21,24005.03,23842.25,23980.65
10/5/2020,24039.39,24039.39,23674.52,23767.78
09/30/20,23548.89,23780.87,23368.49,23459.05
09/29/20,23584.61,23601.4,23256.92,23275.53
09/28/20,23284.09,23523.81,23250.34,23476.05
09/25/20,23425.75,23495.26,23124.25,23235.42
09/24/20,23537.83,23590.42,23225.33,23311.07
09/23/20,23701.12,23795.19,23559.99,23742.51
09/22/20,23839.67,23908.51,23675.62,23716.85
09/21/20,24483.91,24542.55,23928.02,23950.69
09/18/20,24381.13,24501.16,24295.01,24455.41
09/17/20,24676.41,24713.79,24250.9,24340.85
09/16/20,24823.96,24829.87,24635.24,24725.63
09/15/20,24621.65,24826.87,24621.65,24732.76
09/14/20,24569.03,24750.95,24556.52,24640.28
9/11/2020,24352.63,24572.66,24293.03,24503.31
9/10/2020,24584.94,24615.6,24293.21,24313.54
9/9/2020,24295.42,24520.92,24213.36,24468.93
9/8/2020,24785.26,24785.26,24341.32,24624.34
9/7/2020,24621.02,24908.29,24475.61,24589.65
9/4/2020,24668.8,24813.96,24488.64,24695.45
9/3/2020,25026.99,25216.02,24854.58,25007.6
9/2/2020,25239.86,25239.86,24931.17,25120.09
9/1/2020,25085.67,25254.14,24995.45,25184.85
08/31/20,25732.49,25847.11,25177.05,25177.05
08/28/20,25330.77,25749.4,25258.16,25422.06
08/27/20,25469.77,25469.77,25186.42,25281.15
08/26/20,25520.41,25603.17,25360.03,25491.79
08/25/20,25586.99,25621.08,25352.26,25486.22
08/24/20,25352.79,25551.58,25325.15,25551.58
08/21/20,25007.13,25178.79,24885.86,25113.84
08/20/20,25055.35,25055.35,24621.32,24791.39
08/19/20,25359.03,25382.51,25079.25,25178.91
08/18/20,25470.97,25470.97,25257.88,25367.38
08/17/20,25212.28,25588.67,25163.29,25347.34
08/14/20,25072.45,25378.53,25040.55,25183.01
08/13/20,25490.02,25490.02,25144.46,25230.67
8/12/2020,24868.63,25291.8,24685.44,25244.02
8/11/2020,24662.04,25031.57,24662.04,24890.68
8/10/2020,24376.82,24536.01,24272.67,24377.43
8/7/2020,24909.37,24909.37,24167.79,24531.62
8/6/2020,25201.44,25201.44,24641.09,24930.58
8/5/2020,25029.39,25167.22,24868.29,25102.54
8/4/2020,24664.6,25062.41,24539.44,24946.63
8/3/2020,24566.81,24647.28,24250.98,24458.13
07/31/20,24747.29,24938.85,24534.79,24595.35
07/30/20,24979.24,25197.31,24616.05,24710.59
07/29/20,24710.51,24905.44,24671.51,24883.14
07/28/20,24942.74,24942.74,24642.35,24772.76
07/27/20,24909.96,24972.46,24526.91,24603.26
07/24/20,25040.76,25101.1,24598.46,24705.33
07/23/20,25235.9,25346.36,24992.37,25263
07/22/20,25575.25,25779.66,25057.94,25057.94
07/21/20,25427.06,25635.66,25378.38,25635.66
07/20/20,25019.6,25222.11,24766.17,25057.99
07/17/20,25142.06,25263.97,25015.28,25089.17
07/16/20,25549.4,25576.49,24919.95,24970.69
07/15/20,25888.78,25888.78,25299.36,25481.58
07/14/20,25663.16,25663.16,25254.32,25477.89
07/13/20,25848.8,26103.84,25715.24,25772.12
7/10/2020,25931.78,26137.91,25570.36,25727.41
7/9/2020,26351.13,26374.94,26016.75,26210.16
7/8/2020,26078.61,26299.84,25849.78,26129.18
7/7/2020,26571.08,26782.62,25911.74,25975.66
7/6/2020,25545.54,26453.61,25543.15,26339.16
7/3/2020,25319.28,25453.58,25182.6,25373.12
7/2/2020,24563.57,25124.19,24563.57,25124.19
06/30/20,24468.24,24598.61,24271.77,24427.19
06/29/20,24627.64,24627.64,24148.62,24301.28
06/26/20,24697.98,24756.58,24537.77,24549.99
06/24/20,25034.87,25071.32,24770.95,24781.58
06/23/20,24541.44,24907.34,24184.88,24907.34
06/22/20,24528.53,24628.95,24391.17,24511.34
06/19/20,24373.36,24776.54,24334.36,24643.89
06/18/20,24464.94,24464.94,24121.89,24464.94
06/17/20,24363.39,24532.01,24195.82,24481.41
06/16/20,24318.15,24534.77,24302.25,24344.09
06/15/20,23991.38,24242.97,23684.96,23776.95
6/12/2020,23920.7,24317.72,23895.03,24301.38
6/11/2020,24997.84,25059.32,24480.15,24480.15
6/10/2020,25179.03,25303.78,24968.3,25049.73
6/9/2020,24906.01,25253.67,24837.73,25057.22
6/8/2020,25018.05,25018.78,24678.55,24776.77
6/5/2020,24388.18,24810.22,24253.56,24770.41
6/4/2020,24643.84,24643.84,24204.1,24366.3
6/3/2020,24303.56,24364.01,24219.96,24325.62
6/2/2020,23792.24,23995.94,23766.15,23995.94
6/1/2020,23539.91,23806.32,23539.91,23732.52
05/29/20,22781.11,23089.77,22781.11,22961.47
05/28/20,23206.75,23451.78,22779.62,23132.76
05/27/20,23515.14,23515.14,23134.61,23301.36
05/26/20,23198.34,23481.48,23165.49,23384.66
05/25/20,22725.7,22968.65,22519.73,22952.24
05/22/20,23756.91,23756.91,22878.26,22930.14
05/21/20,24528.91,24528.91,24208.16,24280.03
05/20/20,24462.9,24514.87,24315.75,24399.95
05/19/20,24489.55,24552.55,24314.45,24388.13
05/18/20,23736.67,23952.05,23722.17,23934.77
05/15/20,23834.68,23985.12,23671.61,23797.47
05/14/20,24038.07,24081.19,23790.27,23829.74
05/13/20,24111.67,24320.2,23979.37,24180.3
5/12/2020,24358,24411.04,24136.2,24245.68
5/11/2020,24470.18,24766.83,24470.18,24602.06
5/8/2020,24193.36,24263.73,24097.12,24230.17
5/7/2020,24120.81,24120.81,23913.5,23980.63
5/6/2020,23868.02,24235.03,23868.02,24137.48
5/5/2020,23755.77,23928.45,23697.88,23868.66
5/4/2020,23895.11,23897.53,23584.95,23613.8
04/29/20,24786.02,24855.47,24549.62,24643.59
04/28/20,24401.12,24582.66,24176.88,24575.96
04/27/20,24030.66,24318.81,24030.54,24280.14
04/24/20,23844.55,23957.17,23730.49,23831.33
04/23/20,23983.65,24107.88,23806.3,23977.32
04/22/20,23540.54,23939.29,23483.31,23893.36
04/21/20,24247.84,24247.84,23676.13,23793.55
04/20/20,24503.56,24503.56,24225.55,24330.02
04/17/20,24457.83,24666.64,24308.78,24380
04/16/20,24025.45,24102.91,23854.79,24006.45
04/15/20,24499.86,24603.6,24090.5,24145.34
04/14/20,24347.61,24546.39,24283.13,24435.4
4/9/2020,24181.32,24308.69,24045.18,24300.33
4/8/2020,24191.32,24191.32,23897.4,23970.37
4/7/2020,24093.05,24262.01,23796.03,24253.29
4/6/2020,23558.83,23832.93,23271.47,23749.12
4/3/2020,23072.95,23236.11,23030.58,23236.11
4/2/2020,22838.67,23280.06,22756.13,23280.06
4/1/2020,23365.9,23540.01,22947.64,23085.79
03/31/20,23613.27,23627.53,23238.04,23603.48
03/30/20,23020.85,23491.51,22973.33,23175.11
03/27/20,23768.41,23791.2,23354.01,23484.28
03/26/20,23604.83,23604.83,23163.67,23352.34
03/25/20,23255.91,23569.45,23062.23,23527.19
03/24/20,22497.57,22753.01,22383.25,22663.49
03/23/20,21659.55,22064.31,21659.55,21696.13
03/20/20,22147.34,22805.07,22147.34,22805.07
03/19/20,22221.38,22380.34,21139.26,21709.13
03/18/20,23023.34,23425.03,22167.42,22291.82
03/17/20,23001.76,23401.2,22676.46,23263.73
03/16/20,23317.81,23631.53,22842.25,23063.57
03/13/20,22519.32,24184.48,22519.32,24032.91
3/12/2020,24657.67,24657.67,24117.94,24309.07
3/11/2020,25459.96,25493.23,25140.38,25231.61
3/10/2020,25285.68,25578.61,24978.97,25392.51
3/9/2020,25134.02,25321.28,24948.38,25040.46
3/6/2020,26397.78,26408.8,26084.23,26146.67
3/5/2020,26348.16,26805.58,26315.36,26767.87
3/4/2020,26321.56,26372.48,26038.39,26222.07
3/3/2020,26419.13,26527.75,26233.39,26284.82
3/2/2020,26077.73,26375.91,26077.73,26291.68
02/28/20,26249.06,26313.55,25989.41,26129.93
02/27/20,26529.17,26849.57,26419.97,26778.62
02/26/20,26479.9,26776.06,26479.9,26696.49
02/25/20,26722.39,26914.05,26667.04,26893.23
02/24/20,27105.35,27105.35,26813.22,26820.88
02/21/20,27450.46,27484.53,27264.78,27308.81
02/20/20,27767.28,27767.28,27383.13,27609.16
02/19/20,27486.46,27697.46,27448.6,27655.81
02/18/20,27766.5,27771.3,27496.25,27530.2
02/17/20,27766.71,28055.58,27766.71,27959.6
02/14/20,27698.56,27960.66,27695.59,27815.6
02/13/20,27953.65,27953.65,27695.6,27730
2/12/2020,27717.22,27892.48,27614.83,27823.66
2/11/2020,27514.25,27674.81,27436.99,27583.88
2/10/2020,27092.15,27314.64,27044.88,27241.34
2/7/2020,27356.28,27410.58,27224.12,27404.27
2/6/2020,27174.53,27608.22,27029.49,27493.7
2/5/2020,26869.32,26926.12,26641.92,26786.74
2/4/2020,26491.66,26730.26,26491.66,26675.98
2/3/2020,26189.61,26512.58,26145.59,26356.98
01/31/20,26757.61,26818.84,26295.49,26312.63
01/30/20,27030.61,27134.55,26330.05,26449.13
01/29/20,27101.54,27333.3,27101.54,27160.63
01/24/20,27935.42,27977.63,27774.5,27949.64
01/23/20,28109.75,28133.03,27706.37,27909.12
01/22/20,28116.5,28393.93,27937.68,28341.04
01/21/20,28449.38,28492.03,27980.5,27985.33
01/20/20,29169.12,29174.92,28795.42,28795.91
01/17/20,28988.16,29101.15,28813.13,29056.42
01/16/20,28806.12,28987.73,28709.57,28883.04
01/15/20,28891.07,28972.68,28619.1,28773.59
01/14/20,29149.53,29149.53,28790.49,28885.14
01/13/20,28772.37,28971.4,28671.84,28954.94
1/10/2020,28665.14,28665.14,28504.27,28638.2
1/9/2020,28367.65,28561,28325.86,28561
1/8/2020,27999.58,28198.61,27857.73,28087.92
1/7/2020,28352.68,28473.08,28264.07,28322.06
1/6/2020,28326.5,28367.87,28054.29,28226.19
1/3/2020,28828.36,28883.3,28428.17,28451.5
1/2/2020,28249.37,28543.52,28245.97,28543.52
12/31/19,28241.43,28298.46,28123.86,28189.75
12/30/19,28250.48,28418.65,28165.13,28319.39
12/27/19,28033.66,28226.11,28000.62,28225.42
12/24/19,27901.51,27921.29,27792.66,27864.21
